品目,数量,単位,高値,安値,主な産地,日付,元ファイル
あじ,1330,1kg,1700,140,,令和元年5月8日（水）,suiexcel-3 (6).xls
さば,3137,1kg,700,100,,令和元年5月8日（水）,suiexcel-3 (6).xls
まいわし,2050,1kg,270,120,,令和元年5月8日（水）,suiexcel-3 (6).xls
養成ぶり,349,1kg,1630,800,,令和元年5月8日（水）,suiexcel-3 (6).xls
かつお,2854,1kg,1450,140,,令和元年5月8日（水）,suiexcel-3 (6).xls
養成まだい,3897,1kg,1404,800,,令和元年5月8日（水）,suiexcel-3 (6).xls
さわら,1700,1kg,756,540,,令和元年5月8日（水）,suiexcel-3 (6).xls
かれい,151,1kg,1000,570,,令和元年5月8日（水）,suiexcel-3 (6).xls
養成はまち,789,1kg,1242,972,,令和元年5月8日（水）,suiexcel-3 (6).xls
養成かんぱち,805,1kg,1836,1100,,令和元年5月8日（水）,suiexcel-3 (6).xls
するめいか,706,1kg,2220,756,,令和元年5月8日（水）,suiexcel-3 (6).xls
さけ,3094,1kg,1600,840,,令和元年5月8日（水）,suiexcel-3 (6).xls
しじみ,755,1kg,1296,324,,令和元年5月8日（水）,suiexcel-3 (6).xls
あさり,2393,1kg,1300,360,,令和元年5月8日（水）,suiexcel-3 (6).xls
さざえ,250,1kg,1080,702,,令和元年5月8日（水）,suiexcel-3 (6).xls
ほたて貝,352,1kg,5600,230,,令和元年5月8日（水）,suiexcel-3 (6).xls
冷凍もんごいか,430,1kg,4104,702,,令和元年5月8日（水）,suiexcel-3 (6).xls
冷凍たこ,180,1kg,2268,1080,,令和元年5月8日（水）,suiexcel-3 (6).xls
冷凍えび,1083,1kg,4320,720,,令和元年5月8日（水）,suiexcel-3 (6).xls
塩さば,7030,1kg,760,260,,令和元年5月8日（水）,suiexcel-3 (6).xls
塩さけ,548,1kg,2350,850,,令和元年5月8日（水）,suiexcel-3 (6).xls
塩すけそうこ,447,1kg,2750,1700,,令和元年5月8日（水）,suiexcel-3 (6).xls
開干さんま,238,1kg,1400,350,,令和元年5月8日（水）,suiexcel-3 (6).xls
開干あじ,323,1kg,1080,150,,令和元年5月8日（水）,suiexcel-3 (6).xls
若干かれい,172,1kg,3400,972,,令和元年5月8日（水）,suiexcel-3 (6).xls
ちりめん,2379,1kg,3564,1000,,令和元年5月8日（水）,suiexcel-3 (6).xls
なまりぶし,29,1kg,930,520,,令和元年5月8日（水）,suiexcel-3 (6).xls
ほたるいか,935,1kg,4320,864,,令和元年5月8日（水）,suiexcel-3 (6).xls
くろまぐろ,219,1kg,1500,500,,令和元年5月9日（木）,suiexcel-4 (6).xls
きわだ,2051,1kg,2640,270,,令和元年5月9日（木）,suiexcel-4 (6).xls
あじ,1329,1kg,1600,140,,令和元年5月9日（木）,suiexcel-4 (6).xls
さば,3017,1kg,700,120,,令和元年5月9日（木）,suiexcel-4 (6).xls
まいわし,2600,1kg,270,120,,令和元年5月9日（木）,suiexcel-4 (6).xls
養成ぶり,276,1kg,2430,800,,令和元年5月9日（木）,suiexcel-4 (6).xls
かつお,2353,1kg,1450,216,,令和元年5月9日（木）,suiexcel-4 (6).xls
養成まだい,4074,1kg,1404,700,,令和元年5月9日（木）,suiexcel-4 (6).xls
さわら,2003,1kg,1050,648,,令和元年5月9日（木）,suiexcel-4 (6).xls
かれい,1047,1kg,1400,340,,令和元年5月9日（木）,suiexcel-4 (6).xls
養成はまち,770,1kg,1242,972,,令和元年5月9日（木）,suiexcel-4 (6).xls
養成かんぱち,940,1kg,1836,1100,,令和元年5月9日（木）,suiexcel-4 (6).xls
するめいか,1147,1kg,1060,470,,令和元年5月9日（木）,suiexcel-4 (6).xls
さけ,2152,1kg,1600,450,,令和元年5月9日（木）,suiexcel-4 (6).xls
しじみ,720,1kg,1296,324,,令和元年5月9日（木）,suiexcel-4 (6).xls
あさり,2538,1kg,972,300,,令和元年5月9日（木）,suiexcel-4 (6).xls
さざえ,305,1kg,1080,450,,令和元年5月9日（木）,suiexcel-4 (6).xls
ほたて貝,455,1kg,5780,230,,令和元年5月9日（木）,suiexcel-4 (6).xls
冷凍もんごいか,370,1kg,4104,702,,令和元年5月9日（木）,suiexcel-4 (6).xls
冷凍たこ,150,1kg,2268,1080,,令和元年5月9日（木）,suiexcel-4 (6).xls
冷凍えび,957,1kg,4320,720,,令和元年5月9日（木）,suiexcel-4 (6).xls
塩さば,1524,1kg,3550,410,,令和元年5月9日（木）,suiexcel-4 (6).xls
塩さけ,882,1kg,2052,950,,令和元年5月9日（木）,suiexcel-4 (6).xls
塩すけそうこ,231,1kg,2750,1080,,令和元年5月9日（木）,suiexcel-4 (6).xls
開干さんま,420,1kg,1400,430,,令和元年5月9日（木）,suiexcel-4 (6).xls
開干あじ,157,1kg,1080,550,,令和元年5月9日（木）,suiexcel-4 (6).xls
若干かれい,50,1kg,1944,972,,令和元年5月9日（木）,suiexcel-4 (6).xls
ちりめん,1093,1kg,2808,1600,,令和元年5月9日（木）,suiexcel-4 (6).xls
なまりぶし,117,1kg,1250,800,,令和元年5月9日（木）,suiexcel-4 (6).xls
ほたるいか,1081,1kg,4000,650,,令和元年5月9日（木）,suiexcel-4 (6).xls
くろまぐろ,251,1kg,2900,1800,,令和元年5月10日（金）,suiexcel-5 (6).xls
きわだ,1202,1kg,2550,540,,令和元年5月10日（金）,suiexcel-5 (6).xls
あじ,1627,1kg,648,200,,令和元年5月10日（金）,suiexcel-5 (6).xls
さば,3131,1kg,1200,50,,令和元年5月10日（金）,suiexcel-5 (6).xls
まいわし,2300,1kg,216,90,,令和元年5月10日（金）,suiexcel-5 (6).xls
養成ぶり,572,1kg,2430,800,,令和元年5月10日（金）,suiexcel-5 (6).xls
かつお,3209,1kg,900,190,,令和元年5月10日（金）,suiexcel-5 (6).xls
養成まだい,4069,1kg,3330,860,,令和元年5月10日（金）,suiexcel-5 (6).xls
さわら,1565,1kg,850,540,,令和元年5月10日（金）,suiexcel-5 (6).xls
かれい,976,1kg,900,330,,令和元年5月10日（金）,suiexcel-5 (6).xls
養成はまち,861,1kg,1242,800,,令和元年5月10日（金）,suiexcel-5 (6).xls
養成かんぱち,1148,1kg,1836,1100,,令和元年5月10日（金）,suiexcel-5 (6).xls
するめいか,1555,1kg,1000,470,,令和元年5月10日（金）,suiexcel-5 (6).xls
さけ,2913,1kg,1850,300,,令和元年5月10日（金）,suiexcel-5 (6).xls
しじみ,645,1kg,1296,324,,令和元年5月10日（金）,suiexcel-5 (6).xls
あさり,2728,1kg,1300,350,,令和元年5月10日（金）,suiexcel-5 (6).xls
さざえ,445,1kg,1100,350,,令和元年5月10日（金）,suiexcel-5 (6).xls
ほたて貝,486,1kg,5110,230,,令和元年5月10日（金）,suiexcel-5 (6).xls
冷凍もんごいか,527,1kg,4104,702,,令和元年5月10日（金）,suiexcel-5 (6).xls
冷凍たこ,180,1kg,2268,1080,,令和元年5月10日（金）,suiexcel-5 (6).xls
冷凍えび,950,1kg,4320,720,,令和元年5月10日（金）,suiexcel-5 (6).xls
塩さば,1522,1kg,680,410,,令和元年5月10日（金）,suiexcel-5 (6).xls
塩さけ,938,1kg,1700,660,,令和元年5月10日（金）,suiexcel-5 (6).xls
塩すけそうこ,487,1kg,2916,850,,令和元年5月10日（金）,suiexcel-5 (6).xls
開干さんま,316,1kg,1400,350,,令和元年5月10日（金）,suiexcel-5 (6).xls
開干あじ,452,1kg,1100,550,,令和元年5月10日（金）,suiexcel-5 (6).xls
若干かれい,130,1kg,1296,972,,令和元年5月10日（金）,suiexcel-5 (6).xls
ちりめん,2533,1kg,3888,1090,,令和元年5月10日（金）,suiexcel-5 (6).xls
なまりぶし,63,1kg,1470,800,,令和元年5月10日（金）,suiexcel-5 (6).xls
ほたるいか,1550,1kg,4000,500,,令和元年5月10日（金）,suiexcel-5 (6).xls
くろまぐろ,232,1kg,2900,2000,,令和元年5月11日（土）,suiexcel-6 (6).xls
きわだ,1877,1kg,2320,600,,令和元年5月11日（土）,suiexcel-6 (6).xls
あじ,4236,1kg,2000,140,,令和元年5月11日（土）,suiexcel-6 (6).xls
さば,2651,1kg,1000,140,,令和元年5月11日（土）,suiexcel-6 (6).xls
まいわし,2440,1kg,216,108,,令和元年5月11日（土）,suiexcel-6 (6).xls
養成ぶり,648,1kg,2430,790,,令和元年5月11日（土）,suiexcel-6 (6).xls
かつお,4300,1kg,1450,200,,令和元年5月11日（土）,suiexcel-6 (6).xls
養成まだい,3443,1kg,3330,300,,令和元年5月11日（土）,suiexcel-6 (6).xls
さわら,1168,1kg,972,450,,令和元年5月11日（土）,suiexcel-6 (6).xls
かれい,910,1kg,2600,270,,令和元年5月11日（土）,suiexcel-6 (6).xls
養成はまち,1171,1kg,1242,750,,令和元年5月11日（土）,suiexcel-6 (6).xls
養成かんぱち,1370,1kg,1836,1100,,令和元年5月11日（土）,suiexcel-6 (6).xls
するめいか,1060,1kg,1000,810,,令和元年5月11日（土）,suiexcel-6 (6).xls
さけ,3634,1kg,1750,450,,令和元年5月11日（土）,suiexcel-6 (6).xls
しじみ,780,1kg,1296,324,,令和元年5月11日（土）,suiexcel-6 (6).xls
あさり,2526,1kg,1330,270,,令和元年5月11日（土）,suiexcel-6 (6).xls
さざえ,680,1kg,1100,700,,令和元年5月11日（土）,suiexcel-6 (6).xls
ほたて貝,680,1kg,5110,230,,令和元年5月11日（土）,suiexcel-6 (6).xls
冷凍もんごいか,400,1kg,4104,702,,令和元年5月11日（土）,suiexcel-6 (6).xls
冷凍たこ,170,1kg,2268,1080,,令和元年5月11日（土）,suiexcel-6 (6).xls
冷凍えび,1036,1kg,4320,720,,令和元年5月11日（土）,suiexcel-6 (6).xls
塩さば,1340,1kg,648,410,,令和元年5月11日（土）,suiexcel-6 (6).xls
塩さけ,578,1kg,2160,690,,令和元年5月11日（土）,suiexcel-6 (6).xls
塩すけそうこ,706,1kg,2750,1080,,令和元年5月11日（土）,suiexcel-6 (6).xls
開干さんま,345,1kg,1400,350,,令和元年5月11日（土）,suiexcel-6 (6).xls
開干あじ,557,1kg,1080,150,,令和元年5月11日（土）,suiexcel-6 (6).xls
若干かれい,100,1kg,1944,972,,令和元年5月11日（土）,suiexcel-6 (6).xls
ちりめん,1828,1kg,3996,950,,令和元年5月11日（土）,suiexcel-6 (6).xls
なまりぶし,108,1kg,1250,800,,令和元年5月11日（土）,suiexcel-6 (6).xls
ほたるいか,1269,1kg,4000,360,,令和元年5月11日（土）,suiexcel-6 (6).xls
くろまぐろ,490,1kg,2900,1110,,令和元年5月13日（月）,suiexcel-7 (6).xls
