品目,数量,単位,高値,安値,主な産地,日付,元ファイル
くろまぐろ,421,1kg,5114.893111638955,2000,,平成28年1月5日（火）,suiexcel (12).xls
きわだ,3144,1kg,2829.0705128205127,216,,平成28年1月5日（火）,suiexcel (12).xls
あじ,2010,1kg,2364.181818181818,270,,平成28年1月5日（火）,suiexcel (12).xls
さば,10,1kg,626,626,,平成28年1月5日（火）,suiexcel (12).xls
まいわし,2108,1kg,500,216,,平成28年1月5日（火）,suiexcel (12).xls
養成ぶり,20609,1kg,1188,762,,平成28年1月5日（火）,suiexcel (12).xls
養成まだい,12397,1kg,11500,864,,平成28年1月5日（火）,suiexcel (12).xls
さごし,1364,1kg,580.4375,400,,平成28年1月5日（火）,suiexcel (12).xls
養成はまち,2756,1kg,1697.44331797235,1026,,平成28年1月5日（火）,suiexcel (12).xls
養成かんぱち,6057,1kg,2062.3518072289157,1296,,平成28年1月5日（火）,suiexcel (12).xls
するめいか,465,1kg,2200,2200,,平成28年1月5日（火）,suiexcel (12).xls
さけ,5157,1kg,2122.220535357571,1224,,平成28年1月5日（火）,suiexcel (12).xls
養成ふぐ,3119,1kg,6609.840139616056,1123,,平成28年1月5日（火）,suiexcel (12).xls
たこ,403,1kg,10000,734,,平成28年1月5日（火）,suiexcel (12).xls
かに,160,1kg,4905.367346938776,2570,,平成28年1月5日（火）,suiexcel (12).xls
はまぐり,886,1kg,1836,432,,平成28年1月5日（火）,suiexcel (12).xls
あさり,3954,1kg,1121.9966914805625,432,,平成28年1月5日（火）,suiexcel (12).xls
かき,6557,1kg,3672,1347,,平成28年1月5日（火）,suiexcel (12).xls
冷凍もんごいか,240,1kg,3045,630,,平成28年1月5日（火）,suiexcel (12).xls
冷凍たこ,200,1kg,945,756,,平成28年1月5日（火）,suiexcel (12).xls
冷凍えび,800,1kg,3168.2,788,,平成28年1月5日（火）,suiexcel (12).xls
塩さば,1100,1kg,1086.7272727272727,628,,平成28年1月5日（火）,suiexcel (12).xls
塩さけ,256,1kg,1796.8515625,898,,平成28年1月5日（火）,suiexcel (12).xls
塩すけそうこ,825,1kg,3335.4853333333335,1080,,平成28年1月5日（火）,suiexcel (12).xls
開干あじ,179,1kg,1080,670,,平成28年1月5日（火）,suiexcel (12).xls
若干かれい,50,1kg,972,540,,平成28年1月5日（火）,suiexcel (12).xls
ちりめん,4171,1kg,4195.234765234765,1188,,平成28年1月5日（火）,suiexcel (12).xls
かますごかまあげ,20,1kg,864,756,,平成28年1月5日（火）,suiexcel (12).xls
くろまぐろ,76,1kg,3637,3637,,平成28年1月6日（水）,suiexcel1 (12).xls
きわだ,1345,1kg,2227.467213114754,216,,平成28年1月6日（水）,suiexcel1 (12).xls
あじ,1677,1kg,756,600,,平成28年1月6日（水）,suiexcel1 (12).xls
さば,4719,1kg,1076.4200323101777,324,,平成28年1月6日（水）,suiexcel1 (12).xls
まいわし,1400,1kg,432,324,,平成28年1月6日（水）,suiexcel1 (12).xls
養成ぶり,4626,1kg,1188,650,,平成28年1月6日（水）,suiexcel1 (12).xls
養成まだい,4757,1kg,1705.2122807017545,864,,平成28年1月6日（水）,suiexcel1 (12).xls
さごし,1718,1kg,2000,324,,平成28年1月6日（水）,suiexcel1 (12).xls
養成はまち,925,1kg,1483.7702702702702,942,,平成28年1月6日（水）,suiexcel1 (12).xls
養成かんぱち,1373,1kg,1828.6615776081426,900,,平成28年1月6日（水）,suiexcel1 (12).xls
するめいか,1040,1kg,2400,756,,平成28年1月6日（水）,suiexcel1 (12).xls
さけ,1641,1kg,2484.539164490862,1395,,平成28年1月6日（水）,suiexcel1 (12).xls
養成ふぐ,653,1kg,4275.4,3000,,平成28年1月6日（水）,suiexcel1 (12).xls
たこ,299,1kg,13000,659,,平成28年1月6日（水）,suiexcel1 (12).xls
かに,58,1kg,5894.415094339623,3017,,平成28年1月6日（水）,suiexcel1 (12).xls
はまぐり,470,1kg,1836,432,,平成28年1月6日（水）,suiexcel1 (12).xls
あさり,2158,1kg,983.0016051364366,432,,平成28年1月6日（水）,suiexcel1 (12).xls
かき,2346,1kg,3672,1340,,平成28年1月6日（水）,suiexcel1 (12).xls
冷凍もんごいか,264,1kg,3045,630,,平成28年1月6日（水）,suiexcel1 (12).xls
冷凍たこ,212,1kg,945,702,,平成28年1月6日（水）,suiexcel1 (12).xls
冷凍えび,1454,1kg,4040.470085470086,788,,平成28年1月6日（水）,suiexcel1 (12).xls
塩さば,7524,1kg,969.67383107089,110,,平成28年1月6日（水）,suiexcel1 (12).xls
塩さけ,388,1kg,1793.167597765363,897,,平成28年1月6日（水）,suiexcel1 (12).xls
塩すけそうこ,317,1kg,3664.3229571984434,1865,,平成28年1月6日（水）,suiexcel1 (12).xls
開干あじ,195,1kg,1362.7586206896551,716,,平成28年1月6日（水）,suiexcel1 (12).xls
若干かれい,118,1kg,1440,720,,平成28年1月6日（水）,suiexcel1 (12).xls
ちりめん,2860,1kg,3240,1379,,平成28年1月6日（水）,suiexcel1 (12).xls
茹かに,5,1kg,3240,3240,,平成28年1月6日（水）,suiexcel1 (12).xls
かますごかまあげ,50,1kg,756,648,,平成28年1月6日（水）,suiexcel1 (12).xls
くろまぐろ,188,1kg,4168.074468085107,2000,,平成28年1月7日（木）,suiexcel2 (12).xls
きわだ,1458,1kg,2437.737556561086,700,,平成28年1月7日（木）,suiexcel2 (12).xls
あじ,1914,1kg,5200,259,,平成28年1月7日（木）,suiexcel2 (12).xls
さば,2673,1kg,1600,432,,平成28年1月7日（木）,suiexcel2 (12).xls
まいわし,1975,1kg,250,108,,平成28年1月7日（木）,suiexcel2 (12).xls
養成ぶり,5970,1kg,1188,630,,平成28年1月7日（木）,suiexcel2 (12).xls
養成まだい,4559,1kg,1404,700,,平成28年1月7日（木）,suiexcel2 (12).xls
さごし,1974,1kg,1700,324,,平成28年1月7日（木）,suiexcel2 (12).xls
養成はまち,712,1kg,1394.328947368421,500,,平成28年1月7日（木）,suiexcel2 (12).xls
養成かんぱち,1703,1kg,1667.5300546448088,900,,平成28年1月7日（木）,suiexcel2 (12).xls
するめいか,920,1kg,2500,702,,平成28年1月7日（木）,suiexcel2 (12).xls
さけ,1764,1kg,2170.927115503397,1233,,平成28年1月7日（木）,suiexcel2 (12).xls
養成ふぐ,339,1kg,5454,2398,,平成28年1月7日（木）,suiexcel2 (12).xls
たこ,368,1kg,12300,670,,平成28年1月7日（木）,suiexcel2 (12).xls
かに,177,1kg,4660.343511450382,2403,,平成28年1月7日（木）,suiexcel2 (12).xls
はまぐり,445,1kg,1836,432,,平成28年1月7日（木）,suiexcel2 (12).xls
あさり,1962,1kg,997.6654804270463,432,,平成28年1月7日（木）,suiexcel2 (12).xls
かき,2779,1kg,2808,1080,,平成28年1月7日（木）,suiexcel2 (12).xls
冷凍もんごいか,282,1kg,3045,500,,平成28年1月7日（木）,suiexcel2 (12).xls
冷凍たこ,200,1kg,945,756,,平成28年1月7日（木）,suiexcel2 (12).xls
冷凍えび,1308,1kg,4193.775280898876,788,,平成28年1月7日（木）,suiexcel2 (12).xls
塩さば,4261,1kg,967.784528435182,540,,平成28年1月7日（木）,suiexcel2 (12).xls
塩さけ,1873,1kg,1880.4228510411106,940,,平成28年1月7日（木）,suiexcel2 (12).xls
塩すけそうこ,231,1kg,3730.626865671642,1910,,平成28年1月7日（木）,suiexcel2 (12).xls
開干あじ,93,1kg,1461,468,,平成28年1月7日（木）,suiexcel2 (12).xls
若干かれい,16,1kg,2268,1143,,平成28年1月7日（木）,suiexcel2 (12).xls
ちりめん,2978,1kg,2268,1728,,平成28年1月7日（木）,suiexcel2 (12).xls
茹かに,10,1kg,3780,3780,,平成28年1月7日（木）,suiexcel2 (12).xls
かますごかまあげ,62,1kg,3096,648,,平成28年1月7日（木）,suiexcel2 (12).xls
くろまぐろ,130,1kg,3944,3350,,平成28年1月8日（金）,suiexcel3 (12).xls
きわだ,2056,1kg,2686.0642857142857,1026,,平成28年1月8日（金）,suiexcel3 (12).xls
あじ,325,1kg,5100,600,,平成28年1月8日（金）,suiexcel3 (12).xls
さば,2893,1kg,766.8281750266808,330,,平成28年1月8日（金）,suiexcel3 (12).xls
まいわし,2325,1kg,324,149,,平成28年1月8日（金）,suiexcel3 (12).xls
養成ぶり,6323,1kg,1188,600,,平成28年1月8日（金）,suiexcel3 (12).xls
養成まだい,4875,1kg,1404,500,,平成28年1月8日（金）,suiexcel3 (12).xls
さごし,480,1kg,540,324,,平成28年1月8日（金）,suiexcel3 (12).xls
養成はまち,668,1kg,1521.070796460177,550,,平成28年1月8日（金）,suiexcel3 (12).xls
養成かんぱち,1626,1kg,2146.5296442687745,500,,平成28年1月8日（金）,suiexcel3 (12).xls
するめいか,902,1kg,864,400,,平成28年1月8日（金）,suiexcel3 (12).xls
さけ,2575,1kg,2113.360811394044,1109,,平成28年1月8日（金）,suiexcel3 (12).xls
養成ふぐ,623,1kg,4860,2700,,平成28年1月8日（金）,suiexcel3 (12).xls
たこ,567,1kg,13200,756,,平成28年1月8日（金）,suiexcel3 (12).xls
かに,328,1kg,4125.535031847134,2135,,平成28年1月8日（金）,suiexcel3 (12).xls
はまぐり,478,1kg,1836,432,,平成28年1月8日（金）,suiexcel3 (12).xls
あさり,1794,1kg,1093.1142061281337,432,,平成28年1月8日（金）,suiexcel3 (12).xls
かき,3225,1kg,2808,1080,,平成28年1月8日（金）,suiexcel3 (12).xls
冷凍もんごいか,248,1kg,3045,630,,平成28年1月8日（金）,suiexcel3 (12).xls
冷凍たこ,708,1kg,2184.235294117647,756,,平成28年1月8日（金）,suiexcel3 (12).xls
冷凍えび,972,1kg,3541.967741935484,788,,平成28年1月8日（金）,suiexcel3 (12).xls
塩さば,3724,1kg,976.7807424593968,170,,平成28年1月8日（金）,suiexcel3 (12).xls
塩さけ,1779,1kg,2500,844,,平成28年1月8日（金）,suiexcel3 (12).xls
塩すけそうこ,322,1kg,5400,1620,,平成28年1月8日（金）,suiexcel3 (12).xls
塩いわし,133,1kg,1209.9248120300751,605,,平成28年1月8日（金）,suiexcel3 (12).xls
開干あじ,474,1kg,1600,864,,平成28年1月8日（金）,suiexcel3 (12).xls
ちりめん,3087,1kg,4270.471321695761,1620,,平成28年1月8日（金）,suiexcel3 (12).xls
茹かに,5,1kg,3240,3240,,平成28年1月8日（金）,suiexcel3 (12).xls
かますごかまあげ,50,1kg,756,648,,平成28年1月8日（金）,suiexcel3 (12).xls
くろまぐろ,379,1kg,4219.679012345679,3300,,平成28年1月9日（土）,suiexcel4 (12).xls
きわだ,4268,1kg,2427.250210614996,756,,平成28年1月9日（土）,suiexcel4 (12).xls
あじ,779,1kg,630.6976744186047,378,,平成28年1月9日（土）,suiexcel4 (12).xls
さば,4225,1kg,2000,324,,平成28年1月9日（土）,suiexcel4 (12).xls
まいわし,2788,1kg,300,130,,平成28年1月9日（土）,suiexcel4 (12).xls
養成ぶり,9259,1kg,1188,630,,平成28年1月9日（土）,suiexcel4 (12).xls
養成まだい,6428,1kg,1404,700,,平成28年1月9日（土）,suiexcel4 (12).xls
さごし,1400,1kg,540,432,,平成28年1月9日（土）,suiexcel4 (12).xls
養成はまち,811,1kg,1482.5697329376853,600,,平成28年1月9日（土）,suiexcel4 (12).xls
養成かんぱち,2285,1kg,1730.8981723237598,1000,,平成28年1月9日（土）,suiexcel4 (12).xls
するめいか,1000,1kg,3800,756,,平成28年1月9日（土）,suiexcel4 (12).xls
さけ,1643,1kg,1771.5897748021912,680,,平成28年1月9日（土）,suiexcel4 (12).xls
養成ふぐ,903,1kg,6941.945799457994,3024,,平成28年1月9日（土）,suiexcel4 (12).xls
たこ,737,1kg,11500,745,,平成28年1月9日（土）,suiexcel4 (12).xls
かに,411,1kg,4960.384615384615,2376,,平成28年1月9日（土）,suiexcel4 (12).xls
はまぐり,843,1kg,1836,432,,平成28年1月9日（土）,suiexcel4 (12).xls
あさり,2373,1kg,1080.831013916501,432,,平成28年1月9日（土）,suiexcel4 (12).xls
かき,5609,1kg,2808,1066,,平成28年1月9日（土）,suiexcel4 (12).xls
冷凍もんごいか,200,1kg,3045,630,,平成28年1月9日（土）,suiexcel4 (12).xls
冷凍たこ,248,1kg,1512,756,,平成28年1月9日（土）,suiexcel4 (12).xls
冷凍えび,952,1kg,3718.5454545454545,788,,平成28年1月9日（土）,suiexcel4 (12).xls
塩さば,12652,1kg,879.9847853649701,140,,平成28年1月9日（土）,suiexcel4 (12).xls
塩さけ,529,1kg,2300,892,,平成28年1月9日（土）,suiexcel4 (12).xls
塩すけそうこ,323,1kg,4752,1893,,平成28年1月9日（土）,suiexcel4 (12).xls
塩いわし,178,1kg,554,554,,平成28年1月9日（土）,suiexcel4 (12).xls
開干あじ,432,1kg,1163.1818181818182,617,,平成28年1月9日（土）,suiexcel4 (12).xls
若干かれい,324,1kg,1944,594,,平成28年1月9日（土）,suiexcel4 (12).xls
ちりめん,3570,1kg,3928.3239669421487,1188,,平成28年1月9日（土）,suiexcel4 (12).xls
かますごかまあげ,50,1kg,756,648,,平成28年1月9日（土）,suiexcel4 (12).xls
くろまぐろ,127,1kg,3690.4881889763783,2000,,平成28年1月12日（火）,suiexcel5 (12).xls
きわだ,749,1kg,2047.8272980501392,1000,,平成28年1月12日（火）,suiexcel5 (12).xls
あじ,1334,1kg,4400,756,,平成28年1月12日（火）,suiexcel5 (12).xls
