品目,数量,単位,高値,安値,主な産地,日付,元ファイル
くろまぐろ,411,1kg,3996.6277372262775,2400,,平成29年1月5日（木）,suiexcel (24).xls
きわだ,2118,1kg,2508.8720066061105,360,,平成29年1月5日（木）,suiexcel (24).xls
あじ,706,1kg,834.8347826086956,432,,平成29年1月5日（木）,suiexcel (24).xls
さば,20,1kg,691.2,691.2,,平成29年1月5日（木）,suiexcel (24).xls
まいわし,300,1kg,378,270,,平成29年1月5日（木）,suiexcel (24).xls
養成ぶり,13917,1kg,1188,550,,平成29年1月5日（木）,suiexcel (24).xls
養成まだい,10947,1kg,1852.3494456762749,864,,平成29年1月5日（木）,suiexcel (24).xls
さごし,1435,1kg,648,432,,平成29年1月5日（木）,suiexcel (24).xls
養成はまち,2375,1kg,1675.4626865671644,500,,平成29年1月5日（木）,suiexcel (24).xls
養成かんぱち,6185,1kg,1659.6023391812864,900,,平成29年1月5日（木）,suiexcel (24).xls
するめいか,100,1kg,1188,1080,,平成29年1月5日（木）,suiexcel (24).xls
さけ,3570,1kg,3204.881906077348,756,,平成29年1月5日（木）,suiexcel (24).xls
養成ふぐ,3361,1kg,7576.569439355075,1080,,平成29年1月5日（木）,suiexcel (24).xls
たこ,211,1kg,13000,700,,平成29年1月5日（木）,suiexcel (24).xls
かに,41,1kg,7730.275862068966,3940,,平成29年1月5日（木）,suiexcel (24).xls
はまぐり,692,1kg,2160,432,,平成29年1月5日（木）,suiexcel (24).xls
あさり,3135,1kg,1110.3525691699604,378,,平成29年1月5日（木）,suiexcel (24).xls
かき,7226,1kg,3240,1241,,平成29年1月5日（木）,suiexcel (24).xls
冷凍もんごいか,589,1kg,2916,751.752808988764,,平成29年1月5日（木）,suiexcel (24).xls
冷凍たこ,500,1kg,1242,972,,平成29年1月5日（木）,suiexcel (24).xls
冷凍えび,2275,1kg,3382.502857142857,972,,平成29年1月5日（木）,suiexcel (24).xls
塩さば,1050,1kg,550.004210526316,550.0042105263158,,平成29年1月5日（木）,suiexcel (24).xls
塩さけ,1720,1kg,893.364644970414,893.3646449704142,,平成29年1月5日（木）,suiexcel (24).xls
塩すけそうこ,1261,1kg,3024,1134,,平成29年1月5日（木）,suiexcel (24).xls
開干あじ,357,1kg,1165.0661478599222,618,,平成29年1月5日（木）,suiexcel (24).xls
若干かれい,100,1kg,1836,648,,平成29年1月5日（木）,suiexcel (24).xls
ちりめん,2905,1kg,3780,756,,平成29年1月5日（木）,suiexcel (24).xls
茹かに,5,1kg,1080,1080,,平成29年1月5日（木）,suiexcel (24).xls
かますごかまあげ,50,1kg,756,756,,平成29年1月5日（木）,suiexcel (24).xls
くろまぐろ,121,1kg,3937.4049586776855,2900,,平成29年1月6日（金）,suiexcel1 (24).xls
きわだ,627,1kg,2911.6363636363635,1512,,平成29年1月6日（金）,suiexcel1 (24).xls
あじ,1486,1kg,1536.2211538461538,300,,平成29年1月6日（金）,suiexcel1 (24).xls
さば,3215,1kg,846.9308372334892,108,,平成29年1月6日（金）,suiexcel1 (24).xls
まいわし,1360,1kg,378,255.78666666666666,,平成29年1月6日（金）,suiexcel1 (24).xls
養成ぶり,5026,1kg,1188,700,,平成29年1月6日（金）,suiexcel1 (24).xls
養成まだい,4819,1kg,1404,800,,平成29年1月6日（金）,suiexcel1 (24).xls
さごし,819,1kg,648,432,,平成29年1月6日（金）,suiexcel1 (24).xls
養成はまち,617,1kg,1242,972,,平成29年1月6日（金）,suiexcel1 (24).xls
養成かんぱち,1974,1kg,1695.6400911161732,900,,平成29年1月6日（金）,suiexcel1 (24).xls
するめいか,870,1kg,1134,988.1239436619718,,平成29年1月6日（金）,suiexcel1 (24).xls
さけ,2321,1kg,2802.522245762712,756,,平成29年1月6日（金）,suiexcel1 (24).xls
養成ふぐ,789,1kg,5007.313320825516,1500,,平成29年1月6日（金）,suiexcel1 (24).xls
たこ,174,1kg,3589.285714285714,864,,平成29年1月6日（金）,suiexcel1 (24).xls
かに,108,1kg,5940,2785,,平成29年1月6日（金）,suiexcel1 (24).xls
はまぐり,677,1kg,2160,432,,平成29年1月6日（金）,suiexcel1 (24).xls
あさり,1829,1kg,1020.7372400756144,378,,平成29年1月6日（金）,suiexcel1 (24).xls
かき,3476,1kg,2592,1138,,平成29年1月6日（金）,suiexcel1 (24).xls
冷凍もんごいか,540,1kg,2916,700,,平成29年1月6日（金）,suiexcel1 (24).xls
冷凍たこ,500,1kg,1242,972,,平成29年1月6日（金）,suiexcel1 (24).xls
冷凍えび,2754,1kg,3362.9708222811673,972,,平成29年1月6日（金）,suiexcel1 (24).xls
塩さば,3348,1kg,648,432,,平成29年1月6日（金）,suiexcel1 (24).xls
塩さけ,160,1kg,1039.97794117647,1039.9779411764705,,平成29年1月6日（金）,suiexcel1 (24).xls
塩すけそうこ,809,1kg,3653.7603305785124,972,,平成29年1月6日（金）,suiexcel1 (24).xls
開干あじ,170,1kg,1080,555,,平成29年1月6日（金）,suiexcel1 (24).xls
若干かれい,78,1kg,1836,964.285714285714,,平成29年1月6日（金）,suiexcel1 (24).xls
ちりめん,1112,1kg,3722.823529411765,1296,,平成29年1月6日（金）,suiexcel1 (24).xls
かますごかまあげ,100,1kg,756,756,,平成29年1月6日（金）,suiexcel1 (24).xls
くろまぐろ,386,1kg,3974.7875647668398,2950,,平成29年1月7日（土）,suiexcel2 (24).xls
きわだ,1839,1kg,2489.5607196401797,880,,平成29年1月7日（土）,suiexcel2 (24).xls
あじ,2604,1kg,1255.9367945823928,300,,平成29年1月7日（土）,suiexcel2 (24).xls
さば,10645,1kg,594,486,,平成29年1月7日（土）,suiexcel2 (24).xls
まいわし,3210,1kg,270,162,,平成29年1月7日（土）,suiexcel2 (24).xls
養成ぶり,7641,1kg,1188,700,,平成29年1月7日（土）,suiexcel2 (24).xls
養成まだい,6233,1kg,1404,750,,平成29年1月7日（土）,suiexcel2 (24).xls
さごし,726,1kg,648,428,,平成29年1月7日（土）,suiexcel2 (24).xls
養成はまち,760,1kg,1253.2929936305732,900,,平成29年1月7日（土）,suiexcel2 (24).xls
養成かんぱち,2502,1kg,1787.0181219110377,800,,平成29年1月7日（土）,suiexcel2 (24).xls
するめいか,75,1kg,1031,1031,,平成29年1月7日（土）,suiexcel2 (24).xls
さけ,2190,1kg,2439.410650887574,756,,平成29年1月7日（土）,suiexcel2 (24).xls
養成ふぐ,723,1kg,5360.655913978495,1620,,平成29年1月7日（土）,suiexcel2 (24).xls
たこ,233,1kg,19000,918,,平成29年1月7日（土）,suiexcel2 (24).xls
かに,180,1kg,4104,3008,,平成29年1月7日（土）,suiexcel2 (24).xls
