品目,数量,単位,高値,安値,主な産地,日付,元ファイル
はまぐり,703,1kg,2160,432,,平成29年1月7日（土）,suiexcel2 (24).xls
あさり,2071,1kg,1026.8089500860585,378,,平成29年1月7日（土）,suiexcel2 (24).xls
かき,6440,1kg,2592,1096,,平成29年1月7日（土）,suiexcel2 (24).xls
冷凍もんごいか,500,1kg,2916,810,,平成29年1月7日（土）,suiexcel2 (24).xls
冷凍たこ,500,1kg,1242,972,,平成29年1月7日（土）,suiexcel2 (24).xls
冷凍えび,2145,1kg,3436.896551724138,972,,平成29年1月7日（土）,suiexcel2 (24).xls
塩さば,2074,1kg,648,432,,平成29年1月7日（土）,suiexcel2 (24).xls
塩さけ,2975,1kg,846,846,,平成29年1月7日（土）,suiexcel2 (24).xls
塩すけそうこ,855,1kg,3725.0423728813557,864,,平成29年1月7日（土）,suiexcel2 (24).xls
塩いわし,20,1kg,286,286,,平成29年1月7日（土）,suiexcel2 (24).xls
開干あじ,494,1kg,1519.919191919192,648,,平成29年1月7日（土）,suiexcel2 (24).xls
若干かれい,126,1kg,1836,1080,,平成29年1月7日（土）,suiexcel2 (24).xls
ちりめん,1903,1kg,3456,1404,,平成29年1月7日（土）,suiexcel2 (24).xls
かますごかまあげ,300,1kg,756,756,,平成29年1月7日（土）,suiexcel2 (24).xls
くろまぐろ,490,1kg,5630.887445887446,1300,,平成29年1月10日（火）,suiexcel3 (24).xls
きわだ,1487,1kg,2890.4697508896797,864,,平成29年1月10日（火）,suiexcel3 (24).xls
あじ,1601,1kg,651,540,,平成29年1月10日（火）,suiexcel3 (24).xls
さば,7844,1kg,540,360,,平成29年1月10日（火）,suiexcel3 (24).xls
まいわし,713,1kg,383,383,,平成29年1月10日（火）,suiexcel3 (24).xls
養成ぶり,7410,1kg,1206.8067885117493,500,,平成29年1月10日（火）,suiexcel3 (24).xls
養成まだい,6410,1kg,1834.3229502327247,864,,平成29年1月10日（火）,suiexcel3 (24).xls
さごし,1063,1kg,648,432,,平成29年1月10日（火）,suiexcel3 (24).xls
養成はまち,950,1kg,1660.6666666666665,500,,平成29年1月10日（火）,suiexcel3 (24).xls
養成かんぱち,2402,1kg,1733.5679389312977,800,,平成29年1月10日（火）,suiexcel3 (24).xls
するめいか,2550,1kg,1020,810,,平成29年1月10日（火）,suiexcel3 (24).xls
さけ,3178,1kg,2847.9133079847907,972,,平成29年1月10日（火）,suiexcel3 (24).xls
養成ふぐ,690,1kg,5334.32688172043,1620,,平成29年1月10日（火）,suiexcel3 (24).xls
たこ,410,1kg,12000,907,,平成29年1月10日（火）,suiexcel3 (24).xls
かに,218,1kg,5804.726708074534,2975,,平成29年1月10日（火）,suiexcel3 (24).xls
はまぐり,559,1kg,2160,432,,平成29年1月10日（火）,suiexcel3 (24).xls
あさり,3253,1kg,1082.068759342302,432,,平成29年1月10日（火）,suiexcel3 (24).xls
かき,7710,1kg,2700,1190,,平成29年1月10日（火）,suiexcel3 (24).xls
冷凍もんごいか,508,1kg,3348,810,,平成29年1月10日（火）,suiexcel3 (24).xls
冷凍たこ,500,1kg,1242,972,,平成29年1月10日（火）,suiexcel3 (24).xls
冷凍えび,3434,1kg,3730.1775147928993,972,,平成29年1月10日（火）,suiexcel3 (24).xls
塩さば,3140,1kg,648,432,,平成29年1月10日（火）,suiexcel3 (24).xls
塩さけ,566,1kg,2035.2685512367493,1048,,平成29年1月10日（火）,suiexcel3 (24).xls
塩すけそうこ,1383,1kg,4752,1404,,平成29年1月10日（火）,suiexcel3 (24).xls
塩いわし,26,1kg,341,341,,平成29年1月10日（火）,suiexcel3 (24).xls
開干あじ,764,1kg,1519.1792452830189,648,,平成29年1月10日（火）,suiexcel3 (24).xls
若干かれい,50,1kg,1836,1080,,平成29年1月10日（火）,suiexcel3 (24).xls
ちりめん,2708,1kg,3780,756,,平成29年1月10日（火）,suiexcel3 (24).xls
かますごかまあげ,150,1kg,756,756,,平成29年1月10日（火）,suiexcel3 (24).xls
きわだ,2592,1kg,2768.065573770492,440,,平成29年1月11日（水）,suiexcel4 (24).xls
あじ,1192,1kg,787.9769673704415,150,,平成29年1月11日（水）,suiexcel4 (24).xls
さば,5051,1kg,486,343,,平成29年1月11日（水）,suiexcel4 (24).xls
まいわし,1706,1kg,250,108,,平成29年1月11日（水）,suiexcel4 (24).xls
養成ぶり,3258,1kg,1188,700,,平成29年1月11日（水）,suiexcel4 (24).xls
養成まだい,4395,1kg,1404,800,,平成29年1月11日（水）,suiexcel4 (24).xls
さごし,515,1kg,713,324,,平成29年1月11日（水）,suiexcel4 (24).xls
養成はまち,471,1kg,1633.072463768116,350,,平成29年1月11日（水）,suiexcel4 (24).xls
養成かんぱち,1521,1kg,1748.0921409214093,300,,平成29年1月11日（水）,suiexcel4 (24).xls
するめいか,600,1kg,1134,1026,,平成29年1月11日（水）,suiexcel4 (24).xls
さけ,1112,1kg,2188.5536480686696,972,,平成29年1月11日（水）,suiexcel4 (24).xls
養成ふぐ,380,1Kg,5282.661016949152,1500,,平成29年1月11日（水）,suiexcel4 (24).xls
たこ,216,1kg,7200,918,,平成29年1月11日（水）,suiexcel4 (24).xls
かに,303,1kg,5508,1810,,平成29年1月11日（水）,suiexcel4 (24).xls
はまぐり,495,1kg,2160,432,,平成29年1月11日（水）,suiexcel4 (24).xls
あさり,2404,1kg,972,378,,平成29年1月11日（水）,suiexcel4 (24).xls
かき,2959,1kg,2700,1113,,平成29年1月11日（水）,suiexcel4 (24).xls
冷凍もんごいか,740,1kg,2916,630,,平成29年1月11日（水）,suiexcel4 (24).xls
冷凍たこ,500,1kg,1242,972,,平成29年1月11日（水）,suiexcel4 (24).xls
冷凍えび,2988,1kg,3305.4736842105262,972,,平成29年1月11日（水）,suiexcel4 (24).xls
塩さば,4872,1kg,756,432,,平成29年1月11日（水）,suiexcel4 (24).xls
塩さけ,296,1kg,917,917,,平成29年1月11日（水）,suiexcel4 (24).xls
塩すけそうこ,663,1kg,3609.3722627737225,864,,平成29年1月11日（水）,suiexcel4 (24).xls
塩いわし,9,1kg,518,518,,平成29年1月11日（水）,suiexcel4 (24).xls
開干あじ,260,1kg,1080,648,,平成29年1月11日（水）,suiexcel4 (24).xls
若干かれい,98,1kg,1836,1080,,平成29年1月11日（水）,suiexcel4 (24).xls
ちりめん,913,1kg,2106,1512,,平成29年1月11日（水）,suiexcel4 (24).xls
かますごかまあげ,80,1kg,792,756,,平成29年1月11日（水）,suiexcel4 (24).xls
くろまぐろ,182,1kg,3428.1007194244603,2400,,平成29年1月12日（木）,suiexcel5 (24).xls
きわだ,1615,1kg,2811.428082191781,1000,,平成29年1月12日（木）,suiexcel5 (24).xls
あじ,540,1kg,586.8577878103838,500,,平成29年1月12日（木）,suiexcel5 (24).xls
さば,4496,1kg,432,324,,平成29年1月12日（木）,suiexcel5 (24).xls
まいわし,2322,1kg,216,108,,平成29年1月12日（木）,suiexcel5 (24).xls
養成ぶり,3718,1kg,1188,650,,平成29年1月12日（木）,suiexcel5 (24).xls
養成まだい,4205,1kg,1742.4407796101948,864,,平成29年1月12日（木）,suiexcel5 (24).xls
さごし,347,1kg,864,648,,平成29年1月12日（木）,suiexcel5 (24).xls
養成はまち,486,1kg,1242,900,,平成29年1月12日（木）,suiexcel5 (24).xls
養成かんぱち,1454,1kg,1995.6575682382136,1248,,平成29年1月12日（木）,suiexcel5 (24).xls
さけ,2162,1kg,1956.0488656195462,972,,平成29年1月12日（木）,suiexcel5 (24).xls
養成ふぐ,280,1kg,4104,1620,,平成29年1月12日（木）,suiexcel5 (24).xls
たこ,295,1kg,18000,918,,平成29年1月12日（木）,suiexcel5 (24).xls
かに,280,1kg,5508,2354,,平成29年1月12日（木）,suiexcel5 (24).xls
はまぐり,528,1kg,2160,432,,平成29年1月12日（木）,suiexcel5 (24).xls
あさり,1877,1kg,1024.5885558583107,378,,平成29年1月12日（木）,suiexcel5 (24).xls
かき,3516,1kg,2700,1149,,平成29年1月12日（木）,suiexcel5 (24).xls
冷凍もんごいか,650,1kg,2916,700,,平成29年1月12日（木）,suiexcel5 (24).xls
冷凍たこ,500,1kg,1242,972,,平成29年1月12日（木）,suiexcel5 (24).xls
冷凍えび,2067,1kg,3460.686567164179,972,,平成29年1月12日（木）,suiexcel5 (24).xls
塩さば,1712,1kg,850.6470588235294,432,,平成29年1月12日（木）,suiexcel5 (24).xls
塩さけ,576,1kg,1593.8993055555557,827,,平成29年1月12日（木）,suiexcel5 (24).xls
塩すけそうこ,211,1kg,3304.777777777778,864,,平成29年1月12日（木）,suiexcel5 (24).xls
塩いわし,32,1kg,532,532,,平成29年1月12日（木）,suiexcel5 (24).xls
開干あじ,326,1kg,1080,648,,平成29年1月12日（木）,suiexcel5 (24).xls
若干かれい,112,1kg,1080,810,,平成29年1月12日（木）,suiexcel5 (24).xls
ちりめん,2630,1kg,3564,756,,平成29年1月12日（木）,suiexcel5 (24).xls
かますごかまあげ,200,1kg,756,756,,平成29年1月12日（木）,suiexcel5 (24).xls
くろまぐろ,10,1kg,6843,6843,,平成29年1月13日（金）,suiexcel6 (24).xls
きわだ,1482,1kg,3014.7652173913043,648,,平成29年1月13日（金）,suiexcel6 (24).xls
あじ,142,1kg,1350,424,,平成29年1月13日（金）,suiexcel6 (24).xls
さば,5890,1kg,540,269,,平成29年1月13日（金）,suiexcel6 (24).xls
まいわし,1693,1kg,216,108,,平成29年1月13日（金）,suiexcel6 (24).xls
養成ぶり,5112,1kg,1188,700,,平成29年1月13日（金）,suiexcel6 (24).xls
養成まだい,5010,1kg,1740.0428449014566,864,,平成29年1月13日（金）,suiexcel6 (24).xls
さごし,850,1kg,864,648,,平成29年1月13日（金）,suiexcel6 (24).xls
養成はまち,687,1kg,1242,972,,平成29年1月13日（金）,suiexcel6 (24).xls
養成かんぱち,1703,1kg,1591.4863636363634,1000,,平成29年1月13日（金）,suiexcel6 (24).xls
するめいか,100,1kg,1080,972,,平成29年1月13日（金）,suiexcel6 (24).xls
さけ,1415,1kg,2161.939512195122,850,,平成29年1月13日（金）,suiexcel6 (24).xls
養成ふぐ,929,1kg,4104,2700,,平成29年1月13日（金）,suiexcel6 (24).xls
たこ,264,1kg,5500,918,,平成29年1月13日（金）,suiexcel6 (24).xls
かに,171,1kg,5400,2224,,平成29年1月13日（金）,suiexcel6 (24).xls
はまぐり,614,1kg,2160,432,,平成29年1月13日（金）,suiexcel6 (24).xls
あさり,1784,1kg,972,378,,平成29年1月13日（金）,suiexcel6 (24).xls
かき,3092,1kg,2700,1163,,平成29年1月13日（金）,suiexcel6 (24).xls
冷凍もんごいか,666,1kg,2916,620,,平成29年1月13日（金）,suiexcel6 (24).xls
冷凍たこ,524,1kg,1242,702,,平成29年1月13日（金）,suiexcel6 (24).xls
冷凍えび,2252,1kg,3780.4285714285716,972,,平成29年1月13日（金）,suiexcel6 (24).xls
塩さば,4472,1kg,648,432,,平成29年1月13日（金）,suiexcel6 (24).xls
塩さけ,2621,1kg,848,848,,平成29年1月13日（金）,suiexcel6 (24).xls
塩すけそうこ,469,1kg,3075.205673758865,1582,,平成29年1月13日（金）,suiexcel6 (24).xls
塩いわし,66,1kg,495,495,,平成29年1月13日（金）,suiexcel6 (24).xls
開干あじ,267,1kg,1197.641791044776,634,,平成29年1月13日（金）,suiexcel6 (24).xls
若干かれい,50,1kg,1296,864,,平成29年1月13日（金）,suiexcel6 (24).xls
ちりめん,4097,1kg,3456,648,,平成29年1月13日（金）,suiexcel6 (24).xls
かますごかまあげ,190,1kg,790,756,,平成29年1月13日（金）,suiexcel6 (24).xls
くろまぐろ,366,1kg,3997.644808743169,2500,,平成29年1月14日（土）,suiexcel7 (24).xls
きわだ,2257,1kg,2923.5481986368063,700,,平成29年1月14日（土）,suiexcel7 (24).xls
あじ,402,1kg,3240,810,,平成29年1月14日（土）,suiexcel7 (24).xls
さば,5532,1kg,540,372,,平成29年1月14日（土）,suiexcel7 (24).xls
まいわし,2720,1kg,216,108,,平成29年1月14日（土）,suiexcel7 (24).xls
養成ぶり,6358,1kg,1188,700,,平成29年1月14日（土）,suiexcel7 (24).xls
養成まだい,5667,1kg,1847.2146294513955,864,,平成29年1月14日（土）,suiexcel7 (24).xls
さごし,400,1kg,940,724,,平成29年1月14日（土）,suiexcel7 (24).xls
養成はまち,691,1kg,1279.3783783783783,900,,平成29年1月14日（土）,suiexcel7 (24).xls
養成かんぱち,2330,1kg,1796.1150159744411,600,,平成29年1月14日（土）,suiexcel7 (24).xls
さけ,1660,1kg,2141.397631133672,820,,平成29年1月14日（土）,suiexcel7 (24).xls
養成ふぐ,527,1Kg,4104,1620,,平成29年1月14日（土）,suiexcel7 (24).xls
たこ,220,1kg,17200,918,,平成29年1月14日（土）,suiexcel7 (24).xls
かに,410,1kg,5400,1499,,平成29年1月14日（土）,suiexcel7 (24).xls
はまぐり,333,1kg,2160,432,,平成29年1月14日（土）,suiexcel7 (24).xls
あさり,1993,1kg,1052,378,,平成29年1月14日（土）,suiexcel7 (24).xls
かき,7045,1kg,2700,832,,平成29年1月14日（土）,suiexcel7 (24).xls
冷凍もんごいか,634,1kg,2916,810,,平成29年1月14日（土）,suiexcel7 (24).xls
冷凍たこ,500,1kg,1242,972,,平成29年1月14日（土）,suiexcel7 (24).xls
冷凍えび,2293,1kg,3888.985915492958,972,,平成29年1月14日（土）,suiexcel7 (24).xls
塩さば,1746,1kg,648,432,,平成29年1月14日（土）,suiexcel7 (24).xls
塩さけ,768,1kg,819,819,,平成29年1月14日（土）,suiexcel7 (24).xls
塩すけそうこ,480,1kg,3742.0444444444443,1080,,平成29年1月14日（土）,suiexcel7 (24).xls
塩いわし,150,1kg,567,567,,平成29年1月14日（土）,suiexcel7 (24).xls
開干あじ,343,1kg,864,648,,平成29年1月14日（土）,suiexcel7 (24).xls
若干かれい,248,1kg,2160,1080,,平成29年1月14日（土）,suiexcel7 (24).xls
ちりめん,2914,1kg,3456,1080,,平成29年1月14日（土）,suiexcel7 (24).xls
かますごかまあげ,263,1kg,1584,792,,平成29年1月14日（土）,suiexcel7 (24).xls
くろまぐろ,101,1kg,3607.7821782178216,2400,,平成29年1月16日（月）,suiexcel8 (24).xls
きわだ,1233,1kg,2583.991825613079,540,,平成29年1月16日（月）,suiexcel8 (24).xls
あじ,210,1kg,3240,1188,,平成29年1月16日（月）,suiexcel8 (24).xls
さば,4937,1kg,540,422,,平成29年1月16日（月）,suiexcel8 (24).xls
まいわし,1948,1kg,324,216,,平成29年1月16日（月）,suiexcel8 (24).xls
養成ぶり,7024,1kg,1188,700,,平成29年1月16日（月）,suiexcel8 (24).xls
養成まだい,5225,1kg,1716.789349112426,864,,平成29年1月16日（月）,suiexcel8 (24).xls
養成はまち,669,1kg,1507.8465346534654,600,,平成29年1月16日（月）,suiexcel8 (24).xls
養成かんぱち,2212,1kg,1633.2614445574773,700,,平成29年1月16日（月）,suiexcel8 (24).xls
さけ,4024,1kg,2231.0032701111836,972,,平成29年1月16日（月）,suiexcel8 (24).xls
養成ふぐ,489,1kg,4145.394366197183,1620,,平成29年1月16日（月）,suiexcel8 (24).xls
たこ,184,1kg,3430.793103448276,918,,平成29年1月16日（月）,suiexcel8 (24).xls
かに,143,1kg,5807.059701492537,2976,,平成29年1月16日（月）,suiexcel8 (24).xls
はまぐり,314,1kg,2160,432,,平成29年1月16日（月）,suiexcel8 (24).xls
あさり,2306,1kg,1044.7875354107648,378,,平成29年1月16日（月）,suiexcel8 (24).xls
かき,2816,1kg,2700,45,,平成29年1月16日（月）,suiexcel8 (24).xls
冷凍もんごいか,529,1kg,2916,751,,平成29年1月16日（月）,suiexcel8 (24).xls
冷凍たこ,500,1kg,1242,972,,平成29年1月16日（月）,suiexcel8 (24).xls
冷凍えび,2193,1kg,3650.0745341614906,972,,平成29年1月16日（月）,suiexcel8 (24).xls
塩さば,3912,1kg,655,432,,平成29年1月16日（月）,suiexcel8 (24).xls
塩さけ,681,1kg,1770.688524590164,915,,平成29年1月16日（月）,suiexcel8 (24).xls
塩すけそうこ,1276,1kg,3246.4347826086955,972,,平成29年1月16日（月）,suiexcel8 (24).xls
塩いわし,329,1kg,439,439,,平成29年1月16日（月）,suiexcel8 (24).xls
開干あじ,496,1kg,1398.7205882352941,648,,平成29年1月16日（月）,suiexcel8 (24).xls
若干かれい,200,1kg,864,648,,平成29年1月16日（月）,suiexcel8 (24).xls
ちりめん,2871,1kg,3456,1410,,平成29年1月16日（月）,suiexcel8 (24).xls
かますごかまあげ,200,1kg,756,756,,平成29年1月16日（月）,suiexcel8 (24).xls
くろまぐろ,42,1kg,11037.52380952381,6219,,平成29年1月17日（火）,suiexcel9 (24).xls
きわだ,2315,1kg,2234.3804463336874,756,,平成29年1月17日（火）,suiexcel9 (24).xls
あじ,1934,1kg,1795.551219512195,324,,平成29年1月17日（火）,suiexcel9 (24).xls
さば,1909,1kg,493,324,,平成29年1月17日（火）,suiexcel9 (24).xls
まいわし,3420,1kg,270,162,,平成29年1月17日（火）,suiexcel9 (24).xls
養成ぶり,6572,1kg,1188,700,,平成29年1月17日（火）,suiexcel9 (24).xls
養成まだい,4560,1kg,1883.5191146881289,864,,平成29年1月17日（火）,suiexcel9 (24).xls
さごし,85,1kg,1188,605,,平成29年1月17日（火）,suiexcel9 (24).xls
養成はまち,474,1kg,1554.5591397849462,500,,平成29年1月17日（火）,suiexcel9 (24).xls
養成かんぱち,1782,1kg,1701.2036363636362,500,,平成29年1月17日（火）,suiexcel9 (24).xls
するめいか,275,1kg,1134,1026,,平成29年1月17日（火）,suiexcel9 (24).xls
さけ,3921,1kg,1620,290,,平成29年1月17日（火）,suiexcel9 (24).xls
養成ふぐ,539,1Kg,5798.591397849463,1620,,平成29年1月17日（火）,suiexcel9 (24).xls
たこ,202,1kg,5800,195,,平成29年1月17日（火）,suiexcel9 (24).xls
かに,72,1kg,6588,2687,,平成29年1月17日（火）,suiexcel9 (24).xls
はまぐり,332,1kg,2160,432,,平成29年1月17日（火）,suiexcel9 (24).xls
あさり,2318,1kg,995.6932153392331,378,,平成29年1月17日（火）,suiexcel9 (24).xls
かき,6123,1kg,2700,1149,,平成29年1月17日（火）,suiexcel9 (24).xls
冷凍もんごいか,551,1kg,2916,757,,平成29年1月17日（火）,suiexcel9 (24).xls
冷凍たこ,500,1kg,1242,972,,平成29年1月17日（火）,suiexcel9 (24).xls
冷凍えび,2131,1kg,4259,972,,平成29年1月17日（火）,suiexcel9 (24).xls
塩さば,2870,1kg,648,432,,平成29年1月17日（火）,suiexcel9 (24).xls
塩さけ,2055,1kg,862,862,,平成29年1月17日（火）,suiexcel9 (24).xls
塩すけそうこ,712,1kg,3585.09,540,,平成29年1月17日（火）,suiexcel9 (24).xls
塩いわし,100,1kg,1097.28,549,,平成29年1月17日（火）,suiexcel9 (24).xls
開干あじ,666,1kg,1681.6587030716723,648,,平成29年1月17日（火）,suiexcel9 (24).xls
若干かれい,50,1kg,1836,864,,平成29年1月17日（火）,suiexcel9 (24).xls
ちりめん,2790,1kg,3565.9764492753625,1080,,平成29年1月17日（火）,suiexcel9 (24).xls
かますごかまあげ,300,1kg,756,756,,平成29年1月17日（火）,suiexcel9 (24).xls
くろまぐろ,224,1kg,3913.4234234234236,2400,,平成29年1月19日（木）,suiexcel10 (24).xls
きわだ,2181,1kg,2349.0366492146595,864,,平成29年1月19日（木）,suiexcel10 (24).xls
あじ,2472,1kg,613.6662621359224,486,,平成29年1月19日（木）,suiexcel10 (24).xls
さば,8961,1kg,545.1997966446365,324,,平成29年1月19日（木）,suiexcel10 (24).xls
まいわし,2233,1kg,270,162,,平成29年1月19日（木）,suiexcel10 (24).xls
養成ぶり,7341,1kg,1188,650,,平成29年1月19日（木）,suiexcel10 (24).xls
養成まだい,5038,1kg,1746.3211875843456,864,,平成29年1月19日（木）,suiexcel10 (24).xls
さごし,1790,1kg,724,477,,平成29年1月19日（木）,suiexcel10 (24).xls
養成はまち,849,1kg,1242,900,,平成29年1月19日（木）,suiexcel10 (24).xls
養成かんぱち,1908,1kg,1744.9234507897936,700,,平成29年1月19日（木）,suiexcel10 (24).xls
するめいか,385,1kg,1023,1023,,平成29年1月19日（木）,suiexcel10 (24).xls
さけ,2298,1kg,1968.6525198938994,972,,平成29年1月19日（木）,suiexcel10 (24).xls
養成ふぐ,729,1kg,4086.715789473684,2800,,平成29年1月19日（木）,suiexcel10 (24).xls
たこ,349,1kg,8500,864,,平成29年1月19日（木）,suiexcel10 (24).xls
かに,146,1kg,6385.459016393443,3265,,平成29年1月19日（木）,suiexcel10 (24).xls
はまぐり,336,1kg,2160,432,,平成29年1月19日（木）,suiexcel10 (24).xls
あさり,3530,1kg,1002.3698744769874,100,,平成29年1月19日（木）,suiexcel10 (24).xls
かき,5777,1kg,2700,1132,,平成29年1月19日（木）,suiexcel10 (24).xls
冷凍もんごいか,583,1kg,2916,758,,平成29年1月19日（木）,suiexcel10 (24).xls
冷凍たこ,524,1kg,1242,702,,平成29年1月19日（木）,suiexcel10 (24).xls
冷凍えび,2300,1kg,3753.3469387755104,972,,平成29年1月19日（木）,suiexcel10 (24).xls
塩さば,1666,1kg,648,432,,平成29年1月19日（木）,suiexcel10 (24).xls
