品目,数量,単位,高値,安値,主な産地,日付,元ファイル
くろまぐろ,440,1kg,2900,1800,,令和3年1月5日（火）,suiexcel (74).xls
きわだ,1591,1kg,2500,540,,令和3年1月5日（火）,suiexcel (74).xls
あじ,753,1kg,1400,350,,令和3年1月5日（火）,suiexcel (74).xls
さば,1835,1kg,756,150,,令和3年1月5日（火）,suiexcel (74).xls
まいわし,500,1kg,486,378,,令和3年1月5日（火）,suiexcel (74).xls
養成ぶり,6868,1kg,1188,550,,令和3年1月5日（火）,suiexcel (74).xls
養成まだい,14350,1kg,1188,540,,令和3年1月5日（火）,suiexcel (74).xls
さごし,1468,1kg,432,216,,令和3年1月5日（火）,suiexcel (74).xls
養成はまち,2487,1kg,1134,648,,令和3年1月5日（火）,suiexcel (74).xls
養成かんぱち,2970,1kg,1512,648,,令和3年1月5日（火）,suiexcel (74).xls
するめいか,1658,1kg,702,550,,令和3年1月5日（火）,suiexcel (74).xls
さけ,7414,1kg,1450,500,,令和3年1月5日（火）,suiexcel (74).xls
養成ふぐ,5991,1kg,4000,1080,,令和3年1月5日（火）,suiexcel (74).xls
たこ,288,1kg,1728,970,,令和3年1月5日（火）,suiexcel (74).xls
かに,70,1kg,8640,2150,,令和3年1月5日（火）,suiexcel (74).xls
はまぐり,485,1kg,2160,450,,令和3年1月5日（火）,suiexcel (74).xls
あさり,2391,1kg,972,324,,令和3年1月5日（火）,suiexcel (74).xls
かき,6278,1kg,3000,550,,令和3年1月5日（火）,suiexcel (74).xls
冷凍もんごいか,200,1kg,3456,972,,令和3年1月5日（火）,suiexcel (74).xls
冷凍たこ,100,1kg,2376,1080,,令和3年1月5日（火）,suiexcel (74).xls
冷凍えび,1022,1kg,3996,648,,令和3年1月5日（火）,suiexcel (74).xls
塩さば,648,1kg,550,450,,令和3年1月5日（火）,suiexcel (74).xls
塩さけ,1118,1kg,750,600,,令和3年1月5日（火）,suiexcel (74).xls
塩すけそうこ,512,1kg,2800,1250,,令和3年1月5日（火）,suiexcel (74).xls
開干あじ,291,1kg,1620,650,,令和3年1月5日（火）,suiexcel (74).xls
若干かれい,50,1kg,1944,972,,令和3年1月5日（火）,suiexcel (74).xls
ちりめん,2582,1kg,4644,54,,令和3年1月5日（火）,suiexcel (74).xls
かますごかまあげ,100,1kg,1080,1080,,令和3年1月5日（火）,suiexcel (74).xls
きわだ,528,1kg,1700,756,,令和3年1月6日（水）,suiexcel-1 (26).xls
あじ,1079,1kg,1500,250,,令和3年1月6日（水）,suiexcel-1 (26).xls
さば,1160,1kg,700,300,,令和3年1月6日（水）,suiexcel-1 (26).xls
まいわし,1147,1kg,324,200,,令和3年1月6日（水）,suiexcel-1 (26).xls
養成ぶり,2564,1kg,1188,550,,令和3年1月6日（水）,suiexcel-1 (26).xls
養成まだい,4640,1kg,1188,540,,令和3年1月6日（水）,suiexcel-1 (26).xls
さごし,1412,1kg,600,216,,令和3年1月6日（水）,suiexcel-1 (26).xls
養成はまち,376,1kg,1134,648,,令和3年1月6日（水）,suiexcel-1 (26).xls
養成かんぱち,861,1kg,1512,850,,令和3年1月6日（水）,suiexcel-1 (26).xls
するめいか,766,1kg,1250,750,,令和3年1月6日（水）,suiexcel-1 (26).xls
さけ,1785,1kg,1404,500,,令和3年1月6日（水）,suiexcel-1 (26).xls
