品目,数量,単位,高値,安値,主な産地,日付,元ファイル
くろまぐろ,741,1kg,3761.9728629579377,2300,,平成30年1月5日（金）,suiexcel (36).xls
きわだ,2780,1kg,2873.3831123517098,460,,平成30年1月5日（金）,suiexcel (36).xls
あじ,764,1kg,882,486,,平成30年1月5日（金）,suiexcel (36).xls
さば,3501,1kg,756,326,,平成30年1月5日（金）,suiexcel (36).xls
まいわし,180,1kg,1188,117,,平成30年1月5日（金）,suiexcel (36).xls
養成ぶり,13147,1kg,1528.2489476849069,500,,平成30年1月5日（金）,suiexcel (36).xls
養成まだい,12023,1kg,2113.997309296381,972,,平成30年1月5日（金）,suiexcel (36).xls
さごし,116,1kg,832,616,,平成30年1月5日（金）,suiexcel (36).xls
養成はまち,2452,1kg,1866.6480558325025,400,,平成30年1月5日（金）,suiexcel (36).xls
養成かんぱち,5827,1kg,2048.0452286282307,400,,平成30年1月5日（金）,suiexcel (36).xls
するめいか,1515,1kg,864,684,,平成30年1月5日（金）,suiexcel (36).xls
さけ,5559,1kg,1810.0592509782,700,,平成30年1月5日（金）,suiexcel (36).xls
養成ふぐ,5100,1kg,4241.809471965161,864,,平成30年1月5日（金）,suiexcel (36).xls
たこ,182,1kg,6500,1000,,平成30年1月5日（金）,suiexcel (36).xls
かに,40,1kg,6373.2,3262,,平成30年1月5日（金）,suiexcel (36).xls
はまぐり,688,1kg,1836,432,,平成30年1月5日（金）,suiexcel (36).xls
あさり,2766,1kg,1117.0266808964782,378,,平成30年1月5日（金）,suiexcel (36).xls
かき,7939,1kg,2700,972,,平成30年1月5日（金）,suiexcel (36).xls
冷凍もんごいか,900,1kg,3564,864,,平成30年1月5日（金）,suiexcel (36).xls
冷凍たこ,300,1kg,1350,1242,,平成30年1月5日（金）,suiexcel (36).xls
冷凍えび,2826,1kg,2808.37558685446,1296,,平成30年1月5日（金）,suiexcel (36).xls
塩さば,1382,1kg,435,435,,平成30年1月5日（金）,suiexcel (36).xls
塩さけ,2320,1kg,1110,1110,,平成30年1月5日（金）,suiexcel (36).xls
塩すけそうこ,938,1kg,3238.5226480836236,1134,,平成30年1月5日（金）,suiexcel (36).xls
塩いわし,22,1kg,530,530,,平成30年1月5日（金）,suiexcel (36).xls
開干あじ,406,1kg,1080,468,,平成30年1月5日（金）,suiexcel (36).xls
ちりめん,1218,1kg,4940.132029339853,2225,,平成30年1月5日（金）,suiexcel (36).xls
かますごかまあげ,250,1kg,1620,1620,,平成30年1月5日（金）,suiexcel (36).xls
くろまぐろ,383,1kg,3932.4908616187986,2500,,平成30年1月6日（土）,suiexcel1 (36).xls
きわだ,1858,1kg,2844.5307443365696,1080,,平成30年1月6日（土）,suiexcel1 (36).xls
あじ,1170,1kg,677.5121951219512,378,,平成30年1月6日（土）,suiexcel1 (36).xls
さば,4973,1kg,756,350,,平成30年1月6日（土）,suiexcel1 (36).xls
まいわし,3128,1kg,270,162,,平成30年1月6日（土）,suiexcel1 (36).xls
養成ぶり,5698,1kg,1210.8684444444445,750,,平成30年1月6日（土）,suiexcel1 (36).xls
養成まだい,5727,1kg,1404,900,,平成30年1月6日（土）,suiexcel1 (36).xls
さごし,375,1kg,832,616,,平成30年1月6日（土）,suiexcel1 (36).xls
養成はまち,1123,1kg,1554.6062992125985,700,,平成30年1月6日（土）,suiexcel1 (36).xls
養成かんぱち,2424,1kg,1926.5426829268295,500,,平成30年1月6日（土）,suiexcel1 (36).xls
するめいか,1230,1kg,1044,756,,平成30年1月6日（土）,suiexcel1 (36).xls
さけ,2404,1kg,2195.275768535262,1178,,平成30年1月6日（土）,suiexcel1 (36).xls
養成ふぐ,1302,1kg,4424.846153846154,1512,,平成30年1月6日（土）,suiexcel1 (36).xls
たこ,330,1kg,7700,1080,,平成30年1月6日（土）,suiexcel1 (36).xls
かに,60,1kg,5149.36,2650,,平成30年1月6日（土）,suiexcel1 (36).xls
はまぐり,4184,1kg,2700,432,,平成30年1月6日（土）,suiexcel1 (36).xls
あさり,2246,1kg,1014.1345794392523,324,,平成30年1月6日（土）,suiexcel1 (36).xls
かき,6849,1kg,2700,954,,平成30年1月6日（土）,suiexcel1 (36).xls
