品目,数量,単位,高値,安値,主な産地,日付,元ファイル
養成まだい,4510,1kg,2019.3709327548809,972,,平成31年1月8日（火）,suiexcel2 (48).xls
さごし,1216,1kg,540,432,,平成31年1月8日（火）,suiexcel2 (48).xls
養成はまち,509,1kg,1514.1285714285714,700,,平成31年1月8日（火）,suiexcel2 (48).xls
養成かんぱち,1452,1kg,1812.321513002364,540,,平成31年1月8日（火）,suiexcel2 (48).xls
するめいか,387,1kg,1026,911,,平成31年1月8日（火）,suiexcel2 (48).xls
さけ,3197,1kg,2264.779623961522,1165,,平成31年1月8日（火）,suiexcel2 (48).xls
養成ふぐ,444,1kg,4153.033816425121,1836,,平成31年1月8日（火）,suiexcel2 (48).xls
たこ,270,1kg,12300,700,,平成31年1月8日（火）,suiexcel2 (48).xls
かに,136,1kg,5616,2744,,平成31年1月8日（火）,suiexcel2 (48).xls
はまぐり,510,1kg,1836,540,,平成31年1月8日（火）,suiexcel2 (48).xls
あさり,1675,1kg,1067.1827956989248,432,,平成31年1月8日（火）,suiexcel2 (48).xls
かき,5019,1kg,2700,864,,平成31年1月8日（火）,suiexcel2 (48).xls
冷凍もんごいか,400,1kg,2808,864,,平成31年1月8日（火）,suiexcel2 (48).xls
冷凍たこ,400,1kg,2700,1296,,平成31年1月8日（火）,suiexcel2 (48).xls
冷凍えび,1882,1kg,2700,972,,平成31年1月8日（火）,suiexcel2 (48).xls
塩さば,3508,1kg,891.5036927621861,432,,平成31年1月8日（火）,suiexcel2 (48).xls
塩さけ,1848,1kg,1096,1096,,平成31年1月8日（火）,suiexcel2 (48).xls
塩すけそうこ,489,1kg,3873.517786561265,1080,,平成31年1月8日（火）,suiexcel2 (48).xls
塩いわし,500,1kg,648,432,,平成31年1月8日（火）,suiexcel2 (48).xls
開干あじ,210,1kg,1218.3454545454545,644,,平成31年1月8日（火）,suiexcel2 (48).xls
若干かれい,123,1kg,2537.5652173913045,972,,平成31年1月8日（火）,suiexcel2 (48).xls
ちりめん,349,1kg,4257.74672489083,1944,,平成31年1月8日（火）,suiexcel2 (48).xls
かますごかまあげ,100,1kg,1080,864,,平成31年1月8日（火）,suiexcel2 (48).xls
くろまぐろ,216,1kg,3245.508982035928,2700,,平成31年1月10日（木）,suiexcel3 (48).xls
きわだ,1901,1kg,3383.6533864541834,450,,平成31年1月10日（木）,suiexcel3 (48).xls
あじ,1109,1kg,1081.771217712177,330,,平成31年1月10日（木）,suiexcel3 (48).xls
さば,4661,1kg,460,270,,平成31年1月10日（木）,suiexcel3 (48).xls
まいわし,2870,1kg,324,216,,平成31年1月10日（木）,suiexcel3 (48).xls
養成ぶり,2714,1kg,1303.6940602115542,860,,平成31年1月10日（木）,suiexcel3 (48).xls
養成まだい,4792,1kg,2186.0286195286194,972,,平成31年1月10日（木）,suiexcel3 (48).xls
さごし,170,1kg,756,480,,平成31年1月10日（木）,suiexcel3 (48).xls
養成はまち,746,1kg,1496.6501547987618,800,,平成31年1月10日（木）,suiexcel3 (48).xls
養成かんぱち,1812,1kg,1863.0087173100874,900,,平成31年1月10日（木）,suiexcel3 (48).xls
するめいか,735,1kg,1080,794,,平成31年1月10日（木）,suiexcel3 (48).xls
さけ,2818,1kg,2534.85736196319,1296,,平成31年1月10日（木）,suiexcel3 (48).xls
養成ふぐ,691,1kg,4390.380368098159,1836,,平成31年1月10日（木）,suiexcel3 (48).xls
たこ,321,1kg,14600,1404,,平成31年1月10日（木）,suiexcel3 (48).xls
かに,80,1kg,5943.454545454545,3047,,平成31年1月10日（木）,suiexcel3 (48).xls
はまぐり,468,1kg,1836,540,,平成31年1月10日（木）,suiexcel3 (48).xls
あさり,1853,1kg,1047.453488372093,432,,平成31年1月10日（木）,suiexcel3 (48).xls
かき,4703,1kg,2700,864,,平成31年1月10日（木）,suiexcel3 (48).xls
冷凍もんごいか,400,1kg,2808,864,,平成31年1月10日（木）,suiexcel3 (48).xls
冷凍たこ,400,1kg,2700,1296,,平成31年1月10日（木）,suiexcel3 (48).xls
冷凍えび,1669,1kg,3172.097222222222,972,,平成31年1月10日（木）,suiexcel3 (48).xls
塩さば,3382,1kg,648,324,,平成31年1月10日（木）,suiexcel3 (48).xls
塩さけ,1648,1kg,2164.452290076336,950,,平成31年1月10日（木）,suiexcel3 (48).xls
塩すけそうこ,1693,1kg,3982.8672566371683,1242,,平成31年1月10日（木）,suiexcel3 (48).xls
開干あじ,510,1kg,1663.6842105263158,867,,平成31年1月10日（木）,suiexcel3 (48).xls
若干かれい,100,1kg,1620,972,,平成31年1月10日（木）,suiexcel3 (48).xls
ちりめん,975,1kg,5741.534814814815,1080,,平成31年1月10日（木）,suiexcel3 (48).xls
かますごかまあげ,200,1kg,1080,972,,平成31年1月10日（木）,suiexcel3 (48).xls
くろまぐろ,221,1kg,3938.9365853658537,2650,,平成31年1月11日（金）,suiexcel4 (48).xls
きわだ,2597,1kg,2669.642307692308,1450,,平成31年1月11日（金）,suiexcel4 (48).xls
あじ,1145,1kg,540,432,,平成31年1月11日（金）,suiexcel4 (48).xls
さば,6706,1kg,565.2618453865337,216,,平成31年1月11日（金）,suiexcel4 (48).xls
まいわし,2672,1kg,270,162,,平成31年1月11日（金）,suiexcel4 (48).xls
養成ぶり,2526,1kg,1188,830,,平成31年1月11日（金）,suiexcel4 (48).xls
養成まだい,4675,1kg,2205.782258064516,972,,平成31年1月11日（金）,suiexcel4 (48).xls
さごし,710,1kg,648,432,,平成31年1月11日（金）,suiexcel4 (48).xls
養成はまち,513,1kg,1263.5616438356165,972,,平成31年1月11日（金）,suiexcel4 (48).xls
養成かんぱち,1638,1kg,1779.3016627078387,1000,,平成31年1月11日（金）,suiexcel4 (48).xls
するめいか,625,1kg,918,810,,平成31年1月11日（金）,suiexcel4 (48).xls
さけ,3246,1kg,2584.8773987206823,1188,,平成31年1月11日（金）,suiexcel4 (48).xls
養成ふぐ,1022,1kg,3623.675906183369,1728,,平成31年1月11日（金）,suiexcel4 (48).xls
たこ,216,1kg,14600,1404,,平成31年1月11日（金）,suiexcel4 (48).xls
かに,175,1kg,6107.72972972973,3129,,平成31年1月11日（金）,suiexcel4 (48).xls
はまぐり,474,1kg,1836,540,,平成31年1月11日（金）,suiexcel4 (48).xls
あさり,1817,1kg,1022.0549828178694,432,,平成31年1月11日（金）,suiexcel4 (48).xls
かき,4389,1kg,2700,864,,平成31年1月11日（金）,suiexcel4 (48).xls
冷凍もんごいか,500,1kg,3888,864,,平成31年1月11日（金）,suiexcel4 (48).xls
冷凍たこ,400,1kg,2700,1296,,平成31年1月11日（金）,suiexcel4 (48).xls
冷凍えび,1691,1kg,3571.1284916201116,972,,平成31年1月11日（金）,suiexcel4 (48).xls
塩さば,1316,1kg,1010.2156862745098,432,,平成31年1月11日（金）,suiexcel4 (48).xls
塩さけ,1970,1kg,1096,648,,平成31年1月11日（金）,suiexcel4 (48).xls
