品目,数量,単位,高値,中値,安値,主な産地,日付,元ファイル
くろまぐろ,1194,1Kg,4104,3780,2916,長崎  他,令和6年1月6日（土）,suiexcel (120).xls
きわだ,1182,1Kg,2700,1944,1512,和歌山  沖縄  他,令和6年1月6日（土）,suiexcel (120).xls
あじ,1069,1kg,1800,0,300,兵庫  長崎  他,令和6年1月6日（土）,suiexcel (120).xls
さば,2154,1Kg,864,0,540,佐賀  ﾉﾙｳｪｰ  他,令和6年1月6日（土）,suiexcel (120).xls
まいわし,1203,1Kg,486,0,378,宮城  静岡  他,令和6年1月6日（土）,suiexcel (120).xls
養成ぶり,2142,1kg,1720,0,910,愛媛  大分  他,令和6年1月6日（土）,suiexcel (120).xls
養成まだい,5408,1Kg,1350,0,540,愛媛  他,令和6年1月6日（土）,suiexcel (120).xls
さごし,396,1Kg,972,0,756,京都  他,令和6年1月6日（土）,suiexcel (120).xls
養成はまち,1135,1Kg,1404,0,1188,徳島  高知  他,令和6年1月6日（土）,suiexcel (120).xls
養成かんぱち,1386,1Kg,2106,0,1080,鹿児島  愛媛  他,令和6年1月6日（土）,suiexcel (120).xls
するめいか,1160,1Kg,1404,0,1296,和歌山  富山  他,令和6年1月6日（土）,suiexcel (120).xls
さけ,2222,1Kg,2268,0,2052,ﾉﾙｳｪｰ  他,令和6年1月6日（土）,suiexcel (120).xls
養成ふぐ,319,1kg,0,0,0,長崎  他,令和6年1月6日（土）,suiexcel (120).xls
たこ,241,1kg,3900,0,1400,宮城  他,令和6年1月6日（土）,suiexcel (120).xls
かに,391,1Kg,4320,0,4104,ﾛｼｱ  兵庫  他,令和6年1月6日（土）,suiexcel (120).xls
はまぐり,300,1Kg,2484,0,756,千葉  中国  他,令和6年1月6日（土）,suiexcel (120).xls
あさり,504,1Kg,1620,0,432,中國  熊本  他,令和6年1月6日（土）,suiexcel (120).xls
かき,3676,1kg,3250,0,500,広島  他,令和6年1月6日（土）,suiexcel (120).xls
冷凍もんごいか,190,1Kg,4320,3240,1080,ﾓﾛｯｺ  青森  他,令和6年1月6日（土）,suiexcel (120).xls
冷凍たこ,0,0,0,0,0,,令和6年1月6日（土）,suiexcel (120).xls
冷凍えび,2428,1kg,4000,0,860,ｲﾝﾄﾞ  他,令和6年1月6日（土）,suiexcel (120).xls
塩さば,2676,1kg,930,0,590,ﾉﾙｳｪｰ  他,令和6年1月6日（土）,suiexcel (120).xls
塩さけ,1365,1kg,2100,0,700,ﾁﾘ  他,令和6年1月6日（土）,suiexcel (120).xls
塩すけそうこ,185,1kg,2640,0,1000,ﾛｼｱ  他,令和6年1月6日（土）,suiexcel (120).xls
塩いわし,0,0,0,0,0,,令和6年1月6日（土）,suiexcel (120).xls
開干あじ,431,1Kg,1620,0,972,長崎  他,令和6年1月6日（土）,suiexcel (120).xls
若干かれい,200,1Kg,1944,0,972,島根  他,令和6年1月6日（土）,suiexcel (120).xls
ちりめん,1613,1Kg,2160,0,1836,鹿児島  兵庫  他,令和6年1月6日（土）,suiexcel (120).xls
茹かに,50,1Kg,4320,0,3240,兵庫  他,令和6年1月6日（土）,suiexcel (120).xls
かますごかまあげ,138,1kg,1100,0,970,香川  他,令和6年1月6日（土）,suiexcel (120).xls
くろまぐろ,741,1Kg,3888,3240,3024,長崎  他,令和6年1月8日（月）,suiexcel-1 (72).xls
きわだ,932,1Kg,2700,1944,864,和歌山  沖縄  他,令和6年1月8日（月）,suiexcel-1 (72).xls
あじ,2032,1Kg,540,0,432,長崎  兵庫  他,令和6年1月8日（月）,suiexcel-1 (72).xls
さば,1948,1Kg,540,0,432,佐賀  ﾉﾙｳｪｰ  他,令和6年1月8日（月）,suiexcel-1 (72).xls
まいわし,270,1kg,430,0,400,静岡  他,令和6年1月8日（月）,suiexcel-1 (72).xls
養成ぶり,1706,1kg,1650,0,950,愛媛  大分  他,令和6年1月8日（月）,suiexcel-1 (72).xls
養成まだい,5186,1kg,1300,0,870,愛媛  他,令和6年1月8日（月）,suiexcel-1 (72).xls
さごし,492,1Kg,864,0,648,京都  富山  他,令和6年1月8日（月）,suiexcel-1 (72).xls
養成はまち,717,1kg,1300,0,900,高知  徳島  他,令和6年1月8日（月）,suiexcel-1 (72).xls
養成かんぱち,1521,1kg,1880,0,1550,愛媛  鹿児島  他,令和6年1月8日（月）,suiexcel-1 (72).xls
するめいか,325,1Kg,1512,0,1404,和歌山  富山  他,令和6年1月8日（月）,suiexcel-1 (72).xls
さけ,2147,1Kg,2268,0,2052,ﾉﾙｳｪｰ  他,令和6年1月8日（月）,suiexcel-1 (72).xls
養成ふぐ,318,1Kg,3780,0,3240,熊本  長崎  他,令和6年1月8日（月）,suiexcel-1 (72).xls
たこ,121,1Kg,3024,0,1296,宮城  他,令和6年1月8日（月）,suiexcel-1 (72).xls
かに,196,1Kg,2484,0,2268,北海道  兵庫  他,令和6年1月8日（月）,suiexcel-1 (72).xls
はまぐり,380,1Kg,2700,0,756,千葉  中国  他,令和6年1月8日（月）,suiexcel-1 (72).xls
あさり,811,1Kg,1512,0,432,中國  熊本  他,令和6年1月8日（月）,suiexcel-1 (72).xls
かき,2725,1kg,6000,0,500,広島  他,令和6年1月8日（月）,suiexcel-1 (72).xls
冷凍もんごいか,140,1Kg,4320,3240,1080,ﾓﾛｯｺ  他,令和6年1月8日（月）,suiexcel-1 (72).xls
冷凍たこ,0,0,0,0,0,,令和6年1月8日（月）,suiexcel-1 (72).xls
冷凍えび,1658,1Kg,4320,1944,972,ｲﾝﾄﾞ  他,令和6年1月8日（月）,suiexcel-1 (72).xls
塩さば,934,1kg,1430,0,410,ﾉﾙｳｪｰ  他,令和6年1月8日（月）,suiexcel-1 (72).xls
塩さけ,2550,1kg,2450,0,700,ﾁﾘ  他,令和6年1月8日（月）,suiexcel-1 (72).xls
塩すけそうこ,288,1kg,2780,0,1000,ﾛｼｱ  他,令和6年1月8日（月）,suiexcel-1 (72).xls
塩いわし,20,1kg,640,0,600,宮城  他,令和6年1月8日（月）,suiexcel-1 (72).xls
開干あじ,238,1Kg,1944,0,1080,長崎  国産  他,令和6年1月8日（月）,suiexcel-1 (72).xls
若干かれい,164,1Kg,1620,0,972,兵庫  島根  他,令和6年1月8日（月）,suiexcel-1 (72).xls
ちりめん,470,1kg,2710,0,1100,兵庫  高知  他,令和6年1月8日（月）,suiexcel-1 (72).xls
茹かに,30,1Kg,3240,0,2700,兵庫  他,令和6年1月8日（月）,suiexcel-1 (72).xls
かますごかまあげ,100,1Kg,1296,0,972,香川  他,令和6年1月8日（月）,suiexcel-1 (72).xls
くろまぐろ,459,1Kg,3996,0,3888,和歌山  長崎  他,令和6年1月9日（火）,suiexcel-2 (71).xls
きわだ,1176,1Kg,2700,1674,1350,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和6年1月9日（火）,suiexcel-2 (71).xls
あじ,1100,1Kg,756,0,648,長崎  兵庫  他,令和6年1月9日（火）,suiexcel-2 (71).xls
さば,3441,1Kg,486,0,378,愛媛  ﾉﾙｳｪｰ  他,令和6年1月9日（火）,suiexcel-2 (71).xls
まいわし,0,0,0,0,0,,令和6年1月9日（火）,suiexcel-2 (71).xls
養成ぶり,1350,1kg,1650,0,930,愛媛  大分  他,令和6年1月9日（火）,suiexcel-2 (71).xls
養成まだい,2938,1Kg,1350,0,540,愛媛  他,令和6年1月9日（火）,suiexcel-2 (71).xls
さごし,528,1Kg,972,0,756,京都  他,令和6年1月9日（火）,suiexcel-2 (71).xls
養成はまち,398,1kg,1200,0,900,高知  徳島  他,令和6年1月9日（火）,suiexcel-2 (71).xls
養成かんぱち,928,1Kg,2106,0,1080,鹿児島  愛媛  他,令和6年1月9日（火）,suiexcel-2 (71).xls
するめいか,172,1Kg,1566,0,1458,和歌山  他,令和6年1月9日（火）,suiexcel-2 (71).xls
さけ,1349,1Kg,2160,0,1944,ﾉﾙｳｪｰ  他,令和6年1月9日（火）,suiexcel-2 (71).xls
養成ふぐ,135,1Kg,3780,0,3564,香川  長崎  他,令和6年1月9日（火）,suiexcel-2 (71).xls
たこ,184,1kg,3200,0,1800,宮城  他,令和6年1月9日（火）,suiexcel-2 (71).xls
かに,69,1Kg,6480,0,6264,島根  兵庫  他,令和6年1月9日（火）,suiexcel-2 (71).xls
はまぐり,325,1Kg,2700,0,756,千葉  中国  他,令和6年1月9日（火）,suiexcel-2 (71).xls
あさり,663,1Kg,1620,0,432,中國  熊本  他,令和6年1月9日（火）,suiexcel-2 (71).xls
かき,3294,1kg,5000,0,600,広島  他,令和6年1月9日（火）,suiexcel-2 (71).xls
冷凍もんごいか,120,1Kg,4320,3240,1080,ﾓﾛｯｺ  他,令和6年1月9日（火）,suiexcel-2 (71).xls
冷凍たこ,0,0,0,0,0,,令和6年1月9日（火）,suiexcel-2 (71).xls
冷凍えび,1952,1Kg,4320,1944,972,ｲﾝﾄﾞ  他,令和6年1月9日（火）,suiexcel-2 (71).xls
塩さば,580,1kg,1110,0,530,ﾉﾙｳｪｰ  他,令和6年1月9日（火）,suiexcel-2 (71).xls
塩さけ,1514,1kg,1500,0,800,ﾁﾘ  他,令和6年1月9日（火）,suiexcel-2 (71).xls
塩すけそうこ,111,1kg,2250,0,2190,ﾛｼｱ  他,令和6年1月9日（火）,suiexcel-2 (71).xls
