品目,数量,単位,高値,中値,安値,主な産地,日付,元ファイル
塩いわし,0,0,0,0,0,,令和6年1月9日（火）,suiexcel-2 (71).xls
開干あじ,236,1Kg,1944,0,1080,長崎  他,令和6年1月9日（火）,suiexcel-2 (71).xls
若干かれい,100,1Kg,1620,0,972,島根  他,令和6年1月9日（火）,suiexcel-2 (71).xls
ちりめん,515,1kg,3650,0,1000,兵庫  宮崎  他,令和6年1月9日（火）,suiexcel-2 (71).xls
茹かに,50,1Kg,3240,0,2700,兵庫  他,令和6年1月9日（火）,suiexcel-2 (71).xls
かますごかまあげ,30,1Kg,1296,0,972,香川  他,令和6年1月9日（火）,suiexcel-2 (71).xls
くろまぐろ,920,1Kg,3996,3888,2700,三重  長崎  他,令和6年1月11日（木）,suiexcel-3 (70).xls
きわだ,789,1Kg,2700,1728,1458,和歌山  沖縄  他,令和6年1月11日（木）,suiexcel-3 (70).xls
あじ,1942,1Kg,648,0,540,長崎  兵庫  他,令和6年1月11日（木）,suiexcel-3 (70).xls
さば,2388,1Kg,648,0,540,鹿児島  ﾉﾙｳｪｰ  他,令和6年1月11日（木）,suiexcel-3 (70).xls
まいわし,1522,1Kg,540,0,432,千葉  静岡  他,令和6年1月11日（木）,suiexcel-3 (70).xls
養成ぶり,1517,1kg,1650,0,950,愛媛  大分  他,令和6年1月11日（木）,suiexcel-3 (70).xls
養成まだい,4260,1Kg,1350,0,540,愛媛  他,令和6年1月11日（木）,suiexcel-3 (70).xls
さごし,540,1Kg,864,0,648,富山  他,令和6年1月11日（木）,suiexcel-3 (70).xls
養成はまち,536,1kg,1370,0,900,高知  徳島  他,令和6年1月11日（木）,suiexcel-3 (70).xls
養成かんぱち,1157,1kg,1800,0,1550,愛媛  鹿児島  他,令和6年1月11日（木）,suiexcel-3 (70).xls
するめいか,432,1Kg,1404,0,1296,和歌山  富山  他,令和6年1月11日（木）,suiexcel-3 (70).xls
さけ,1887,1kg,2600,0,1300,ﾉﾙｳｪｰ  他,令和6年1月11日（木）,suiexcel-3 (70).xls
養成ふぐ,469,1kg,8000,0,3000,長崎  香川  他,令和6年1月11日（木）,suiexcel-3 (70).xls
たこ,155,1kg,3900,0,1400,宮城  他,令和6年1月11日（木）,suiexcel-3 (70).xls
かに,179,1Kg,2376,0,2160,北海道  兵庫  他,令和6年1月11日（木）,suiexcel-3 (70).xls
はまぐり,300,1Kg,2700,0,756,千葉  他,令和6年1月11日（木）,suiexcel-3 (70).xls
あさり,627,1Kg,1620,0,432,中國  熊本  他,令和6年1月11日（木）,suiexcel-3 (70).xls
かき,2439,1kg,6000,0,600,広島  他,令和6年1月11日（木）,suiexcel-3 (70).xls
冷凍もんごいか,130,1Kg,4320,3240,1080,ﾓﾛｯｺ  他,令和6年1月11日（木）,suiexcel-3 (70).xls
冷凍たこ,0,0,0,0,0,,令和6年1月11日（木）,suiexcel-3 (70).xls
冷凍えび,1842,1Kg,4320,1944,972,ｲﾝﾄﾞ  他,令和6年1月11日（木）,suiexcel-3 (70).xls
塩さば,4160,1kg,920,0,340,ﾉﾙｳｪｰ  他,令和6年1月11日（木）,suiexcel-3 (70).xls
塩さけ,1484,1kg,2100,0,800,ﾁﾘ  他,令和6年1月11日（木）,suiexcel-3 (70).xls
塩すけそうこ,91,1kg,2780,0,1000,ﾛｼｱ  他,令和6年1月11日（木）,suiexcel-3 (70).xls
塩いわし,50,1kg,640,0,460,宮城  他,令和6年1月11日（木）,suiexcel-3 (70).xls
開干あじ,277,1Kg,1944,0,1080,長崎  他,令和6年1月11日（木）,suiexcel-3 (70).xls
若干かれい,248,1Kg,1944,0,972,島根  他,令和6年1月11日（木）,suiexcel-3 (70).xls
ちりめん,468,1Kg,2592,0,1944,宮崎  兵庫  他,令和6年1月11日（木）,suiexcel-3 (70).xls
茹かに,50,1Kg,3780,0,3240,兵庫  他,令和6年1月11日（木）,suiexcel-3 (70).xls
かますごかまあげ,60,1kg,970,970,970,香川  他,令和6年1月11日（木）,suiexcel-3 (70).xls
くろまぐろ,814,1kg,3700,0,2700,長崎  他,令和6年1月12日（金）,suiexcel-4 (68).xls
きわだ,1038,1Kg,2700,1944,1080,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和6年1月12日（金）,suiexcel-4 (68).xls
あじ,485,1kg,1270,0,300,兵庫  長崎  他,令和6年1月12日（金）,suiexcel-4 (68).xls
さば,2579,1Kg,594,0,486,鹿児島  ﾉﾙｳｪｰ  他,令和6年1月12日（金）,suiexcel-4 (68).xls
まいわし,1038,1Kg,486,0,378,千葉  他,令和6年1月12日（金）,suiexcel-4 (68).xls
養成ぶり,1186,1kg,1650,0,850,愛媛  大分  他,令和6年1月12日（金）,suiexcel-4 (68).xls
養成まだい,3436,1Kg,1350,0,540,愛媛  他,令和6年1月12日（金）,suiexcel-4 (68).xls
さごし,425,1Kg,864,0,648,富山  他,令和6年1月12日（金）,suiexcel-4 (68).xls
養成はまち,419,1kg,1300,0,900,高知  徳島  他,令和6年1月12日（金）,suiexcel-4 (68).xls
養成かんぱち,911,1Kg,2106,0,1080,鹿児島  愛媛  他,令和6年1月12日（金）,suiexcel-4 (68).xls
するめいか,656,1Kg,1188,0,1080,宮城  他,令和6年1月12日（金）,suiexcel-4 (68).xls
さけ,1495,1Kg,2052,0,1836,ﾉﾙｳｪｰ  他,令和6年1月12日（金）,suiexcel-4 (68).xls
養成ふぐ,416,1kg,4200,0,1600,長崎  香川  他,令和6年1月12日（金）,suiexcel-4 (68).xls
たこ,133,1kg,3900,0,1400,宮城  他,令和6年1月12日（金）,suiexcel-4 (68).xls
かに,311,1Kg,1836,0,1620,北海道  兵庫  他,令和6年1月12日（金）,suiexcel-4 (68).xls
はまぐり,265,1Kg,2376,0,1080,千葉  他,令和6年1月12日（金）,suiexcel-4 (68).xls
あさり,152,1Kg,1620,0,432,中國  熊本  他,令和6年1月12日（金）,suiexcel-4 (68).xls
かき,2432,1kg,6000,0,430,広島  他,令和6年1月12日（金）,suiexcel-4 (68).xls
冷凍もんごいか,150,1Kg,4320,3240,1080,ﾓﾛｯｺ  他,令和6年1月12日（金）,suiexcel-4 (68).xls
冷凍たこ,0,0,0,0,0,,令和6年1月12日（金）,suiexcel-4 (68).xls
冷凍えび,1686,1Kg,4320,1944,972,ｲﾝﾄﾞ  他,令和6年1月12日（金）,suiexcel-4 (68).xls
塩さば,1118,1Kg,756,648,540,ﾉﾙｳｪｰ  他,令和6年1月12日（金）,suiexcel-4 (68).xls
塩さけ,2644,1kg,2100,0,800,ﾁﾘ  他,令和6年1月12日（金）,suiexcel-4 (68).xls
塩すけそうこ,66,1kg,2250,0,1600,ﾛｼｱ  他,令和6年1月12日（金）,suiexcel-4 (68).xls
塩いわし,30,1kg,660,0,560,宮城  他,令和6年1月12日（金）,suiexcel-4 (68).xls
開干あじ,314,1Kg,1944,0,1080,長崎  他,令和6年1月12日（金）,suiexcel-4 (68).xls
若干かれい,200,1Kg,2160,0,972,島根  他,令和6年1月12日（金）,suiexcel-4 (68).xls
ちりめん,65,1kg,3800,3800,3800,兵庫  他,令和6年1月12日（金）,suiexcel-4 (68).xls
茹かに,30,1Kg,3240,3240,3240,兵庫  他,令和6年1月12日（金）,suiexcel-4 (68).xls
かますごかまあげ,30,1Kg,1296,0,972,香川  他,令和6年1月12日（金）,suiexcel-4 (68).xls
くろまぐろ,683,1kg,3700,0,2700,長崎  和歌山  他,令和6年1月26日（金）,suiexcel-5 (63).xls
きわだ,1050,1kg,3700,0,500,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和6年1月26日（金）,suiexcel-5 (63).xls
あじ,599,1kg,2100,0,330,兵庫  他,令和6年1月26日（金）,suiexcel-5 (63).xls
さば,1437,1Kg,594,0,486,富山  ﾉﾙｳｪｰ  他,令和6年1月26日（金）,suiexcel-5 (63).xls
まいわし,0,0,0,0,0,,令和6年1月26日（金）,suiexcel-5 (63).xls
養成ぶり,1537,1kg,1650,0,900,愛媛  大分  他,令和6年1月26日（金）,suiexcel-5 (63).xls
養成まだい,3374,1Kg,1350,0,540,愛媛  他,令和6年1月26日（金）,suiexcel-5 (63).xls
さごし,332,1Kg,1080,0,864,富山  他,令和6年1月26日（金）,suiexcel-5 (63).xls
養成はまち,421,1kg,1300,0,900,高知  徳島  他,令和6年1月26日（金）,suiexcel-5 (63).xls
養成かんぱち,879,1Kg,2106,0,1080,鹿児島  愛媛  他,令和6年1月26日（金）,suiexcel-5 (63).xls
するめいか,372,1Kg,1296,0,1188,富山  他,令和6年1月26日（金）,suiexcel-5 (63).xls
さけ,1306,1Kg,2160,0,1944,ﾉﾙｳｪｰ  他,令和6年1月26日（金）,suiexcel-5 (63).xls
養成ふぐ,440,1kg,4800,0,1600,長崎  香川  他,令和6年1月26日（金）,suiexcel-5 (63).xls
たこ,137,1kg,3900,0,1600,兵庫  宮城  他,令和6年1月26日（金）,suiexcel-5 (63).xls
かに,202,1Kg,2700,0,2484,北海道  兵庫  他,令和6年1月26日（金）,suiexcel-5 (63).xls
はまぐり,247,1Kg,1944,0,756,千葉  中国  他,令和6年1月26日（金）,suiexcel-5 (63).xls
あさり,539,1Kg,1512,0,432,中国  熊本  他,令和6年1月26日（金）,suiexcel-5 (63).xls
かき,2451,1kg,5600,0,600,広島  他,令和6年1月26日（金）,suiexcel-5 (63).xls
冷凍もんごいか,125,1Kg,4320,3240,1080,ﾓﾛｯｺ  他,令和6年1月26日（金）,suiexcel-5 (63).xls
冷凍たこ,0,0,0,0,0,,令和6年1月26日（金）,suiexcel-5 (63).xls
冷凍えび,1486,1Kg,4320,1944,972,ｲﾝﾄﾞ  他,令和6年1月26日（金）,suiexcel-5 (63).xls
塩さば,800,1kg,1000,0,500,ﾉﾙｳｪｰ  他,令和6年1月26日（金）,suiexcel-5 (63).xls
塩さけ,2251,1kg,2520,0,500,ﾁﾘ  他,令和6年1月26日（金）,suiexcel-5 (63).xls
塩すけそうこ,133,1kg,2640,0,2190,ﾛｼｱ  他,令和6年1月26日（金）,suiexcel-5 (63).xls
塩いわし,1820,1kg,700,0,460,宮城  他,令和6年1月26日（金）,suiexcel-5 (63).xls
開干あじ,333,1Kg,1944,0,972,長崎  他,令和6年1月26日（金）,suiexcel-5 (63).xls
若干かれい,200,1Kg,1944,0,972,島根  他,令和6年1月26日（金）,suiexcel-5 (63).xls
ちりめん,667,1Kg,3240,0,972,愛知  他,令和6年1月26日（金）,suiexcel-5 (63).xls
茹かに,50,1Kg,3240,0,2700,北海道  他,令和6年1月26日（金）,suiexcel-5 (63).xls
かますごかまあげ,30,1Kg,1188,1188,1188,香川  他,令和6年1月26日（金）,suiexcel-5 (63).xls
くろまぐろ,863,1Kg,3996,3618,3024,和歌山  長崎  他,令和6年1月27日（土）,suiexcel-6 (58).xls
きわだ,483,1Kg,2700,2592,1728,和歌山  沖縄  他,令和6年1月27日（土）,suiexcel-6 (58).xls
あじ,264,1kg,2150,0,330,兵庫  他,令和6年1月27日（土）,suiexcel-6 (58).xls
さば,1425,1kg,1100,0,290,ﾉﾙｳｪｰ  富山  他,令和6年1月27日（土）,suiexcel-6 (58).xls
まいわし,1350,1Kg,486,0,378,岩手  静岡  他,令和6年1月27日（土）,suiexcel-6 (58).xls
養成ぶり,2232,1kg,1650,0,950,愛媛  大分  他,令和6年1月27日（土）,suiexcel-6 (58).xls
養成まだい,4555,1kg,1200,0,900,愛媛  他,令和6年1月27日（土）,suiexcel-6 (58).xls
さごし,644,1Kg,1080,0,864,富山  他,令和6年1月27日（土）,suiexcel-6 (58).xls
養成はまち,598,1Kg,1404,0,1026,徳島  高知  他,令和6年1月27日（土）,suiexcel-6 (58).xls
養成かんぱち,1046,1Kg,2106,0,1080,鹿児島  愛媛  他,令和6年1月27日（土）,suiexcel-6 (58).xls
するめいか,744,1Kg,1404,0,1296,富山  他,令和6年1月27日（土）,suiexcel-6 (58).xls
さけ,1665,1Kg,2052,0,1836,ﾉﾙｳｪｰ  他,令和6年1月27日（土）,suiexcel-6 (58).xls
養成ふぐ,354,1Kg,3780,0,3564,熊本  長崎  他,令和6年1月27日（土）,suiexcel-6 (58).xls
たこ,99,1kg,2500,0,810,宮城  他,令和6年1月27日（土）,suiexcel-6 (58).xls
かに,248,1kg,8600,0,510,兵庫  北海道  他,令和6年1月27日（土）,suiexcel-6 (58).xls
はまぐり,330,1Kg,1944,0,756,千葉  他,令和6年1月27日（土）,suiexcel-6 (58).xls
あさり,614,1Kg,1512,0,324,中国  熊本  他,令和6年1月27日（土）,suiexcel-6 (58).xls
かき,3763,1kg,5000,0,500,広島  他,令和6年1月27日（土）,suiexcel-6 (58).xls
冷凍もんごいか,130,1Kg,4320,3240,1080,ﾓﾛｯｺ  他,令和6年1月27日（土）,suiexcel-6 (58).xls
冷凍たこ,0,0,0,0,0,,令和6年1月27日（土）,suiexcel-6 (58).xls
冷凍えび,2019,1Kg,4320,1944,972,ｲﾝﾄﾞ  他,令和6年1月27日（土）,suiexcel-6 (58).xls
塩さば,2552,1kg,930,0,590,ﾉﾙｳｪｰ  他,令和6年1月27日（土）,suiexcel-6 (58).xls
塩さけ,3118,1kg,1600,0,680,ﾁﾘ  他,令和6年1月27日（土）,suiexcel-6 (58).xls
塩すけそうこ,175,1kg,2780,0,1050,ﾛｼｱ  他,令和6年1月27日（土）,suiexcel-6 (58).xls
塩いわし,2050,1kg,740,0,460,宮城  他,令和6年1月27日（土）,suiexcel-6 (58).xls
開干あじ,612,1Kg,1944,0,1080,長崎  他,令和6年1月27日（土）,suiexcel-6 (58).xls
若干かれい,300,1Kg,2592,0,972,島根  他,令和6年1月27日（土）,suiexcel-6 (58).xls
ちりめん,300,1Kg,2700,0,1728,兵庫  他,令和6年1月27日（土）,suiexcel-6 (58).xls
茹かに,100,1Kg,4320,0,3240,北海道  他,令和6年1月27日（土）,suiexcel-6 (58).xls
かますごかまあげ,70,1Kg,1188,1188,1188,香川  他,令和6年1月27日（土）,suiexcel-6 (58).xls
くろまぐろ,624,1Kg,3996,3780,3564,長崎  他,令和6年1月29日（月）,suiexcel-7 (57).xls
きわだ,727,1Kg,2916,0,2620,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和6年1月29日（月）,suiexcel-7 (57).xls
あじ,508,1Kg,810,0,702,徳島  兵庫  他,令和6年1月29日（月）,suiexcel-7 (57).xls
さば,2991,1Kg,540,0,432,長崎  ﾉﾙｳｪｰ  他,令和6年1月29日（月）,suiexcel-7 (57).xls
まいわし,1518,1kg,430,0,300,静岡  千葉  他,令和6年1月29日（月）,suiexcel-7 (57).xls
養成ぶり,1816,1kg,1650,0,900,愛媛  大分  他,令和6年1月29日（月）,suiexcel-7 (57).xls
養成まだい,4288,1kg,1300,0,920,愛媛  他,令和6年1月29日（月）,suiexcel-7 (57).xls
さごし,728,1Kg,972,0,756,京都  他,令和6年1月29日（月）,suiexcel-7 (57).xls
養成はまち,628,1kg,1300,0,930,高知  徳島  他,令和6年1月29日（月）,suiexcel-7 (57).xls
養成かんぱち,1366,1kg,1800,0,1550,愛媛  鹿児島  他,令和6年1月29日（月）,suiexcel-7 (57).xls
するめいか,320,1Kg,1350,0,1242,富山  他,令和6年1月29日（月）,suiexcel-7 (57).xls
さけ,1695,1kg,2800,0,1200,ﾉﾙｳｪｰ  他,令和6年1月29日（月）,suiexcel-7 (57).xls
養成ふぐ,279,1Kg,3780,0,3564,香川  長崎  他,令和6年1月29日（月）,suiexcel-7 (57).xls
たこ,120,1kg,6000,0,2000,宮城  他,令和6年1月29日（月）,suiexcel-7 (57).xls
かに,151,1Kg,2916,0,2700,島根  兵庫  他,令和6年1月29日（月）,suiexcel-7 (57).xls
はまぐり,295,1Kg,1944,0,756,千葉  他,令和6年1月29日（月）,suiexcel-7 (57).xls
あさり,748,1Kg,1512,0,432,中国  熊本  他,令和6年1月29日（月）,suiexcel-7 (57).xls
かき,2419,1kg,5000,0,600,広島  他,令和6年1月29日（月）,suiexcel-7 (57).xls
冷凍もんごいか,140,1Kg,4320,3240,1080,ﾓﾛｯｺ  他,令和6年1月29日（月）,suiexcel-7 (57).xls
冷凍たこ,0,0,0,0,0,,令和6年1月29日（月）,suiexcel-7 (57).xls
冷凍えび,2082,1Kg,4320,1944,972,ｲﾝﾄﾞ  他,令和6年1月29日（月）,suiexcel-7 (57).xls
塩さば,474,1kg,920,0,300,ﾉﾙｳｪｰ  他,令和6年1月29日（月）,suiexcel-7 (57).xls
塩さけ,266,1kg,1350,0,600,ﾁﾘ  他,令和6年1月29日（月）,suiexcel-7 (57).xls
塩すけそうこ,392,1kg,2780,0,700,ﾛｼｱ  他,令和6年1月29日（月）,suiexcel-7 (57).xls
塩いわし,3650,1kg,760,0,460,宮城  他,令和6年1月29日（月）,suiexcel-7 (57).xls
開干あじ,448,1kg,900,0,420,長崎  他,令和6年1月29日（月）,suiexcel-7 (57).xls
若干かれい,100,1Kg,1944,0,972,島根  他,令和6年1月29日（月）,suiexcel-7 (57).xls
ちりめん,273,1Kg,2160,0,1944,兵庫  他,令和6年1月29日（月）,suiexcel-7 (57).xls
茹かに,0,0,0,0,0,,令和6年1月29日（月）,suiexcel-7 (57).xls
かますごかまあげ,60,1Kg,1188,1188,1188,香川  他,令和6年1月29日（月）,suiexcel-7 (57).xls
くろまぐろ,529,1Kg,3996,3780,2160,長崎  他,令和6年1月30日（火）,suiexcel-8 (55).xls
きわだ,687,1Kg,2700,1944,1512,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和6年1月30日（火）,suiexcel-8 (55).xls
あじ,1239,1Kg,756,0,648,長崎  兵庫  他,令和6年1月30日（火）,suiexcel-8 (55).xls
さば,2423,1Kg,486,0,378,新潟  ﾉﾙｳｪｰ  他,令和6年1月30日（火）,suiexcel-8 (55).xls
まいわし,2273,1Kg,432,0,324,千葉  静岡  他,令和6年1月30日（火）,suiexcel-8 (55).xls
養成ぶり,1379,1kg,1650,0,900,愛媛  大分  他,令和6年1月30日（火）,suiexcel-8 (55).xls
養成まだい,2900,1Kg,1350,0,540,愛媛  他,令和6年1月30日（火）,suiexcel-8 (55).xls
さごし,1028,1Kg,864,0,648,京都  富山  他,令和6年1月30日（火）,suiexcel-8 (55).xls
養成はまち,370,1Kg,1404,0,1026,徳島  高知  他,令和6年1月30日（火）,suiexcel-8 (55).xls
養成かんぱち,825,1Kg,2106,0,1080,鹿児島  愛媛  他,令和6年1月30日（火）,suiexcel-8 (55).xls
