品目,数量,単位,高値,安値,主な産地,日付,元ファイル
くろまぐろ,473,1kg,5143.429175475687,3322,,平成27年1月5日（月）,suiexcel.xls
きわだ,4137,1kg,2540.3229813664598,540,,平成27年1月5日（月）,suiexcel.xls
あじ,16,1kg,2800,1100,,平成27年1月5日（月）,suiexcel.xls
さば,4105,1kg,600,270,,平成27年1月5日（月）,suiexcel.xls
まいわし,2307,1kg,500,162,,平成27年1月5日（月）,suiexcel.xls
養成ぶり,17074,1kg,1343.3497337053004,947,,平成27年1月5日（月）,suiexcel.xls
養成まだい,37843,1kg,1518.34317302377,432,,平成27年1月5日（月）,suiexcel.xls
さごし,1389,1kg,848,432,,平成27年1月5日（月）,suiexcel.xls
養成はまち,10652,1kg,1855.1325945739395,529,,平成27年1月5日（月）,suiexcel.xls
養成かんぱち,14079,1kg,2293.9471669218988,651,,平成27年1月5日（月）,suiexcel.xls
するめいか,2100,1kg,1197,324,,平成27年1月5日（月）,suiexcel.xls
さけ,5721,1kg,2230.5279319274878,1235,,平成27年1月5日（月）,suiexcel.xls
養成ふぐ,7553,1kg,4860,864,,平成27年1月5日（月）,suiexcel.xls
たこ,256,1kg,11600,200,,平成27年1月5日（月）,suiexcel.xls
かに,183,1kg,2268,977,,平成27年1月5日（月）,suiexcel.xls
はまぐり,698,1kg,1620,528,,平成27年1月5日（月）,suiexcel.xls
あさり,2178,1kg,994.7892918825562,432,,平成27年1月5日（月）,suiexcel.xls
かき,5379,1kg,3672,1404,,平成27年1月5日（月）,suiexcel.xls
冷凍もんごいか,200,1kg,3045,630,,平成27年1月5日（月）,suiexcel.xls
冷凍たこ,200,1kg,945,756,,平成27年1月5日（月）,suiexcel.xls
冷凍えび,912,1kg,2100,788,,平成27年1月5日（月）,suiexcel.xls
塩さば,218,1kg,1102,324,,平成27年1月5日（月）,suiexcel.xls
塩さけ,1072,1kg,1134,1116,,平成27年1月5日（月）,suiexcel.xls
塩すけそうこ,1109,1kg,3627.467989179441,1889,,平成27年1月5日（月）,suiexcel.xls
開干あじ,267,1kg,1847,270,,平成27年1月5日（月）,suiexcel.xls
若干かれい,58,1kg,1404,918,,平成27年1月5日（月）,suiexcel.xls
ちりめん,3455,1kg,3942,1429.0755555555556,,平成27年1月5日（月）,suiexcel.xls
茹かに,20,1kg,3510,3024,,平成27年1月5日（月）,suiexcel.xls
くろまぐろ,26,1kg,2168.3076923076924,2168.3076923076924,,平成27年1月6日（火）,suiexcel1.xls
きわだ,1345,1kg,2498.501291989664,216,,平成27年1月6日（火）,suiexcel1.xls
あじ,1011,1kg,2500,648,,平成27年1月6日（火）,suiexcel1.xls
さば,823,1kg,1000,320,,平成27年1月6日（火）,suiexcel1.xls
まいわし,3000,1kg,350,216,,平成27年1月6日（火）,suiexcel1.xls
養成ぶり,6391,1kg,1188,920,,平成27年1月6日（火）,suiexcel1.xls
養成まだい,8591,1kg,1404,162,,平成27年1月6日（火）,suiexcel1.xls
さごし,1812,1kg,756,503,,平成27年1月6日（火）,suiexcel1.xls
養成はまち,851,1kg,1717.8962536023055,545,,平成27年1月6日（火）,suiexcel1.xls
養成かんぱち,1557,1kg,2041,750,,平成27年1月6日（火）,suiexcel1.xls
するめいか,2530,1kg,2000,378,,平成27年1月6日（火）,suiexcel1.xls
さけ,1824,1kg,1697.418630751964,936,,平成27年1月6日（火）,suiexcel1.xls
養成ふぐ,578,1kg,4860,1080,,平成27年1月6日（火）,suiexcel1.xls
たこ,377,1kg,11400,610,,平成27年1月6日（火）,suiexcel1.xls
かに,241,1kg,5528.954545454545,1200,,平成27年1月6日（火）,suiexcel1.xls
はまぐり,978,1kg,1512,378,,平成27年1月6日（火）,suiexcel1.xls
