品目,数量,単位,高値,中値,安値,主な産地,日付,元ファイル
くろまぐろ,582,1Kg,3996,3888,3780,長崎  他,令和5年1月21日（土）,suiexcel (108).xls
きわだ,1017,1Kg,1728,1512,1080,和歌山  沖縄  他,令和5年1月21日（土）,suiexcel (108).xls
あじ,734,1Kg,918,0,810,兵庫  他,令和5年1月21日（土）,suiexcel (108).xls
さば,2198,1kg,2000,0,240,ﾉﾙｳｪｰ  鳥取  他,令和5年1月21日（土）,suiexcel (108).xls
まいわし,2570,1Kg,378,0,270,千葉  静岡  他,令和5年1月21日（土）,suiexcel (108).xls
養成ぶり,5224,1Kg,1620,0,1512,高知  愛媛  他,令和5年1月21日（土）,suiexcel (108).xls
養成まだい,4394,1Kg,1350,0,540,愛媛  他,令和5年1月21日（土）,suiexcel (108).xls
さごし,16,1Kg,1080,0,864,京都  他,令和5年1月21日（土）,suiexcel (108).xls
養成はまち,307,1kg,1700,0,1200,高知  徳島  他,令和5年1月21日（土）,suiexcel (108).xls
養成かんぱち,1292,1Kg,2106,0,1728,愛媛  他,令和5年1月21日（土）,suiexcel (108).xls
するめいか,1036,1Kg,1080,0,972,宮城  富山  他,令和5年1月21日（土）,suiexcel (108).xls
さけ,1997,1kg,2750,0,650,ﾉﾙｳｪｰ  他,令和5年1月21日（土）,suiexcel (108).xls
養成ふぐ,318,1Kg,3888,0,3564,香川  長崎  他,令和5年1月21日（土）,suiexcel (108).xls
たこ,265,1kg,3900,0,800,宮城  他,令和5年1月21日（土）,suiexcel (108).xls
かに,170,1kg,7170,0,1010,兵庫  島根  他,令和5年1月21日（土）,suiexcel (108).xls
はまぐり,305,1Kg,1944,0,1080,千葉  中国  他,令和5年1月21日（土）,suiexcel (108).xls
あさり,684,1Kg,1728,0,486,中国  熊本  他,令和5年1月21日（土）,suiexcel (108).xls
かき,4536,1kg,3600,0,700,広島  他,令和5年1月21日（土）,suiexcel (108).xls
冷凍もんごいか,98,1kg,3650,0,1350,青森  他,令和5年1月21日（土）,suiexcel (108).xls
冷凍たこ,0,0,0,0,0,,令和5年1月21日（土）,suiexcel (108).xls
冷凍えび,3007,1Kg,5400,3780,2160,ｲﾝﾄﾞ  他,令和5年1月21日（土）,suiexcel (108).xls
塩さば,1822,1Kg,756,648,540,ﾉﾙｳｪｰ  他,令和5年1月21日（土）,suiexcel (108).xls
塩さけ,2392,1kg,1300,0,370,ﾁﾘ  他,令和5年1月21日（土）,suiexcel (108).xls
塩すけそうこ,249,1kg,2570,0,1350,ﾛｼｱ  他,令和5年1月21日（土）,suiexcel (108).xls
塩いわし,180,1kg,700,0,500,宮城  他,令和5年1月21日（土）,suiexcel (108).xls
開干あじ,734,1kg,1200,0,600,長崎  他,令和5年1月21日（土）,suiexcel (108).xls
若干かれい,118,1Kg,1944,0,864,島根  他,令和5年1月21日（土）,suiexcel (108).xls
ちりめん,909,1kg,4800,0,1100,兵庫  他,令和5年1月21日（土）,suiexcel (108).xls
茹かに,50,1Kg,6480,0,1404,兵庫  他,令和5年1月21日（土）,suiexcel (108).xls
かますごかまあげ,124,1Kg,1188,0,972,香川  他,令和5年1月21日（土）,suiexcel (108).xls
くろまぐろ,300,1Kg,3996,3942,3780,長崎  他,令和5年1月24日（火）,suiexcel-1 (60).xls
きわだ,949,1kg,3500,0,1300,和歌山  沖縄  他,令和5年1月24日（火）,suiexcel-1 (60).xls
あじ,1520,1Kg,594,0,486,長崎  兵庫  他,令和5年1月24日（火）,suiexcel-1 (60).xls
さば,1838,1Kg,540,0,432,鳥取  ﾉﾙｳｪｰ  他,令和5年1月24日（火）,suiexcel-1 (60).xls
まいわし,2315,1Kg,378,0,270,千葉  静岡  他,令和5年1月24日（火）,suiexcel-1 (60).xls
養成ぶり,2304,1Kg,1620,0,1512,大分  愛媛  他,令和5年1月24日（火）,suiexcel-1 (60).xls
養成まだい,3098,1Kg,1350,0,540,愛媛  他,令和5年1月24日（火）,suiexcel-1 (60).xls
さごし,84,1Kg,1188,0,972,福井  富山  他,令和5年1月24日（火）,suiexcel-1 (60).xls
養成はまち,254,1kg,1650,0,1490,高知  徳島  他,令和5年1月24日（火）,suiexcel-1 (60).xls
養成かんぱち,863,1Kg,2106,0,1836,鹿児島  愛媛  他,令和5年1月24日（火）,suiexcel-1 (60).xls
するめいか,1104,1Kg,1080,0,972,宮城  富山  他,令和5年1月24日（火）,suiexcel-1 (60).xls
さけ,1759,1Kg,2052,0,1836,ﾉﾙｳｪｰ  他,令和5年1月24日（火）,suiexcel-1 (60).xls
養成ふぐ,176,1kg,4000,0,1600,長崎  熊本  他,令和5年1月24日（火）,suiexcel-1 (60).xls
たこ,155,1kg,3900,0,1800,宮城  他,令和5年1月24日（火）,suiexcel-1 (60).xls
かに,112,1kg,7170,0,1500,兵庫  島根  他,令和5年1月24日（火）,suiexcel-1 (60).xls
はまぐり,369,1Kg,2052,0,864,千葉  中国  他,令和5年1月24日（火）,suiexcel-1 (60).xls
あさり,645,1Kg,1620,0,486,中国  熊本  他,令和5年1月24日（火）,suiexcel-1 (60).xls
かき,3596,1kg,3600,0,630,広島  他,令和5年1月24日（火）,suiexcel-1 (60).xls
冷凍もんごいか,399,1kg,4000,0,600,青森  他,令和5年1月24日（火）,suiexcel-1 (60).xls
冷凍たこ,0,0,0,0,0,,令和5年1月24日（火）,suiexcel-1 (60).xls
冷凍えび,2540,1Kg,5400,3780,2160,ｲﾝﾄﾞ  他,令和5年1月24日（火）,suiexcel-1 (60).xls
塩さば,646,1kg,1430,0,480,ﾉﾙｳｪｰ  他,令和5年1月24日（火）,suiexcel-1 (60).xls
塩さけ,938,1kg,1550,0,850,ﾁﾘ  他,令和5年1月24日（火）,suiexcel-1 (60).xls
塩すけそうこ,216,1kg,2570,0,1050,ﾛｼｱ  他,令和5年1月24日（火）,suiexcel-1 (60).xls
塩いわし,710,1kg,660,0,480,宮城  他,令和5年1月24日（火）,suiexcel-1 (60).xls
開干あじ,644,1kg,1200,0,850,長崎  他,令和5年1月24日（火）,suiexcel-1 (60).xls
若干かれい,185,1Kg,1944,0,864,島根  他,令和5年1月24日（火）,suiexcel-1 (60).xls
ちりめん,450,1kg,3950,0,1100,兵庫  他,令和5年1月24日（火）,suiexcel-1 (60).xls
茹かに,0,0,0,0,0,,令和5年1月24日（火）,suiexcel-1 (60).xls
かますごかまあげ,92,1Kg,1188,0,1080,香川  他,令和5年1月24日（火）,suiexcel-1 (60).xls
くろまぐろ,437,1Kg,3996,3780,3672,長崎  他,令和5年1月26日（木）,suiexcel-2 (59).xls
きわだ,907,1Kg,1728,1404,1296,和歌山  沖縄  他,令和5年1月26日（木）,suiexcel-2 (59).xls
あじ,133,1kg,1750,0,750,兵庫  他,令和5年1月26日（木）,suiexcel-2 (59).xls
さば,1547,1Kg,540,0,432,鳥取  ﾉﾙｳｪｰ  他,令和5年1月26日（木）,suiexcel-2 (59).xls
