品目,数量,単位,高値,中値,安値,主な産地,日付,元ファイル
まいわし,1080,1Kg,378,0,270,宮城  静岡  他,令和5年1月26日（木）,suiexcel-2 (59).xls
養成ぶり,725,1kg,2350,0,1080,愛媛  大分  他,令和5年1月26日（木）,suiexcel-2 (59).xls
養成まだい,4435,1Kg,1350,0,540,愛媛  他,令和5年1月26日（木）,suiexcel-2 (59).xls
さごし,124,1Kg,1080,0,864,福井  他,令和5年1月26日（木）,suiexcel-2 (59).xls
養成はまち,295,1kg,1720,0,1150,高知  徳島  他,令和5年1月26日（木）,suiexcel-2 (59).xls
養成かんぱち,1131,1kg,1850,0,1300,愛媛  他,令和5年1月26日（木）,suiexcel-2 (59).xls
するめいか,86,1kg,2560,0,980,富山  他,令和5年1月26日（木）,suiexcel-2 (59).xls
さけ,1522,1kg,2500,0,1300,ﾉﾙｳｪｰ  他,令和5年1月26日（木）,suiexcel-2 (59).xls
養成ふぐ,483,1kg,3890,0,1600,長崎  香川  他,令和5年1月26日（木）,suiexcel-2 (59).xls
たこ,69,1kg,2400,0,930,宮城  他,令和5年1月26日（木）,suiexcel-2 (59).xls
かに,37,1kg,7170,0,1500,兵庫  島根  他,令和5年1月26日（木）,suiexcel-2 (59).xls
はまぐり,75,1Kg,1836,0,1080,千葉  中国  他,令和5年1月26日（木）,suiexcel-2 (59).xls
あさり,386,1Kg,1620,0,486,中国  熊本  他,令和5年1月26日（木）,suiexcel-2 (59).xls
かき,2496,1kg,3000,0,800,広島  他,令和5年1月26日（木）,suiexcel-2 (59).xls
冷凍もんごいか,0,0,0,0,0,,令和5年1月26日（木）,suiexcel-2 (59).xls
冷凍たこ,0,0,0,0,0,,令和5年1月26日（木）,suiexcel-2 (59).xls
冷凍えび,2961,1Kg,5400,3780,2160,ｲﾝﾄﾞ  他,令和5年1月26日（木）,suiexcel-2 (59).xls
塩さば,982,1Kg,756,648,540,国産  ﾉﾙｳｪｰ  他,令和5年1月26日（木）,suiexcel-2 (59).xls
塩さけ,1362,1kg,1500,0,450,ﾁﾘ  他,令和5年1月26日（木）,suiexcel-2 (59).xls
塩すけそうこ,103,1kg,2570,0,2190,ﾛｼｱ  他,令和5年1月26日（木）,suiexcel-2 (59).xls
塩いわし,1500,1kg,740,0,480,宮城  他,令和5年1月26日（木）,suiexcel-2 (59).xls
開干あじ,111,1kg,850,850,850,国産  他,令和5年1月26日（木）,suiexcel-2 (59).xls
若干かれい,32,1kg,850,0,650,島根  他,令和5年1月26日（木）,suiexcel-2 (59).xls
ちりめん,136,1Kg,4320,0,3672,兵庫  他,令和5年1月26日（木）,suiexcel-2 (59).xls
茹かに,0,0,0,0,0,,令和5年1月26日（木）,suiexcel-2 (59).xls
かますごかまあげ,80,1Kg,1188,0,972,香川  他,令和5年1月26日（木）,suiexcel-2 (59).xls
くろまぐろ,400,1Kg,3996,3888,3672,長崎  他,令和5年1月27日（金）,suiexcel-3 (59).xls
きわだ,866,1kg,3000,0,1450,和歌山  沖縄  他,令和5年1月27日（金）,suiexcel-3 (59).xls
あじ,286,1kg,1650,0,280,兵庫  長崎  他,令和5年1月27日（金）,suiexcel-3 (59).xls
さば,2150,1Kg,540,0,432,鳥取  ﾉﾙｳｪｰ  他,令和5年1月27日（金）,suiexcel-3 (59).xls
まいわし,696,1kg,370,0,320,静岡  徳島  他,令和5年1月27日（金）,suiexcel-3 (59).xls
養成ぶり,1770,1Kg,1620,0,1512,大分  愛媛  他,令和5年1月27日（金）,suiexcel-3 (59).xls
養成まだい,3621,1Kg,1350,0,540,愛媛  他,令和5年1月27日（金）,suiexcel-3 (59).xls
さごし,170,1kg,1200,0,700,富山  他,令和5年1月27日（金）,suiexcel-3 (59).xls
養成はまち,262,1kg,1700,0,1000,高知  徳島  他,令和5年1月27日（金）,suiexcel-3 (59).xls
養成かんぱち,1028,1Kg,2106,0,1728,愛媛  他,令和5年1月27日（金）,suiexcel-3 (59).xls
するめいか,753,1Kg,1080,0,972,宮城  富山  他,令和5年1月27日（金）,suiexcel-3 (59).xls
さけ,1457,1Kg,1944,0,1728,ﾉﾙｳｪｰ  他,令和5年1月27日（金）,suiexcel-3 (59).xls
養成ふぐ,720,1kg,4000,0,2400,長崎  熊本  他,令和5年1月27日（金）,suiexcel-3 (59).xls
たこ,80,1kg,3900,0,2200,宮城  他,令和5年1月27日（金）,suiexcel-3 (59).xls
かに,50,1kg,6000,0,1500,兵庫  島根  他,令和5年1月27日（金）,suiexcel-3 (59).xls
はまぐり,325,1Kg,2052,0,1080,千葉  他,令和5年1月27日（金）,suiexcel-3 (59).xls
あさり,595,1Kg,1620,0,486,中国  熊本  他,令和5年1月27日（金）,suiexcel-3 (59).xls
かき,2952,1kg,2800,0,700,広島  他,令和5年1月27日（金）,suiexcel-3 (59).xls
冷凍もんごいか,110,1kg,3650,0,1350,青森  他,令和5年1月27日（金）,suiexcel-3 (59).xls
冷凍たこ,0,0,0,0,0,,令和5年1月27日（金）,suiexcel-3 (59).xls
冷凍えび,2774,1Kg,5400,3780,2160,ｲﾝﾄﾞ  他,令和5年1月27日（金）,suiexcel-3 (59).xls
塩さば,1054,1Kg,756,648,540,ﾉﾙｳｪｰ  他,令和5年1月27日（金）,suiexcel-3 (59).xls
塩さけ,1200,1kg,1180,0,1000,ﾁﾘ  他,令和5年1月27日（金）,suiexcel-3 (59).xls
塩すけそうこ,43,1kg,2830,0,1550,ﾛｼｱ  他,令和5年1月27日（金）,suiexcel-3 (59).xls
塩いわし,660,1kg,700,0,460,宮城  他,令和5年1月27日（金）,suiexcel-3 (59).xls
開干あじ,467,1kg,1200,0,120,長崎  他,令和5年1月27日（金）,suiexcel-3 (59).xls
若干かれい,208,1Kg,2160,0,864,島根  他,令和5年1月27日（金）,suiexcel-3 (59).xls
ちりめん,660,1kg,4700,0,1700,兵庫  高知  他,令和5年1月27日（金）,suiexcel-3 (59).xls
茹かに,0,0,0,0,0,,令和5年1月27日（金）,suiexcel-3 (59).xls
かますごかまあげ,74,1Kg,2160,0,864,香川  他,令和5年1月27日（金）,suiexcel-3 (59).xls
くろまぐろ,246,1kg,3780,3672,3564,長崎  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
きわだ,635,1kg,1836,1620,1080,宮崎  沖縄  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
あじ,732,1kg,1500,0,260,兵庫  高知  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
さば,862,1kg,540,0,432,京都  ﾉﾙｳｪｰ  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
まいわし,868,1kg,378,0,270,宮城  静岡  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
養成ぶり,894,1kg,1620,0,1512,大分  愛媛  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
養成まだい,3931,1kg,1350,0,540,愛媛  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
さごし,260,1kg,1188,0,972,愛媛  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
養成はまち,194,1kg,1650,0,1550,高知  徳島  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
養成かんぱち,951,1kg,2106,0,1728,愛媛  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
するめいか,425,1kg,1080,0,972,宮城  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
さけ,690,1kg,2150,0,1900,ﾉﾙｳｪｰ  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
養成ふぐ,112,1kg,3500,0,3000,長崎  熊本  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
たこ,205,1kg,3900,0,1600,千葉  宮城  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
かに,30,1kg,7170,0,1880,兵庫  島根  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
はまぐり,175,1kg,1944,0,1080,千葉  中国  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
あさり,392,1kg,1080,0,486,中国  熊本  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
かき,1723,1kg,3600,0,700,広島  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
冷凍もんごいか,10,1kg,3900,3900,3900,青森  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
冷凍たこ,0,0,0,0,0,,令和5年1月11日（水）,suiexcel-4 (3).xlsx
冷凍えび,2555,1kg,5400,3780,2160,ｲﾝﾄﾞ  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
塩さば,1192,1kg,756,648,540,国産  ﾉﾙｳｪｰ  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
塩さけ,1704,1kg,1500,0,320,ﾁﾘ  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
塩すけそうこ,267,1kg,2780,0,1050,ﾛｼｱ  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
塩いわし,40,1kg,760,0,480,宮城  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
開干あじ,246,1kg,1944,0,1404,長崎  国産  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
若干かれい,100,1kg,1944,0,864,島根  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
ちりめん,100,1kg,4428,4428,4428,愛媛  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
茹かに,30,1kg,9720,0,5400,兵庫  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
かますごかまあげ,130,1kg,1296,0,1080,香川  他,令和5年1月11日（水）,suiexcel-4 (3).xlsx
くろまぐろ,252,1kg,3996,3780,3672,長崎  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
きわだ,470,1kg,2160,1512,1080,宮崎  沖縄  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
あじ,1250,1kg,594,0,486,長崎  兵庫  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
さば,1891,1kg,486,0,378,富山  ﾉﾙｳｪｰ  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
まいわし,1155,1kg,324,0,216,宮城  静岡  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
養成ぶり,674,1kg,2210,0,1370,愛媛  大分  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
養成まだい,3170,1kg,1350,0,540,愛媛  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
さごし,9,1kg,1000,0,730,富山  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
養成はまち,317,1kg,1750,0,1350,高知  徳島  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
養成かんぱち,858,1kg,2106,0,1782,愛媛  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
するめいか,356,1kg,1134,0,1026,宮城  富山  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
さけ,1049,1kg,2052,0,1836,ﾉﾙｳｪｰ  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
養成ふぐ,155,1kg,4000,0,1600,長崎  香川  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
たこ,217,1kg,3900,0,1600,宮城  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
かに,98,1kg,6000,0,1000,兵庫  島根  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
はまぐり,239,1kg,2052,0,864,千葉  中国  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
あさり,491,1kg,1188,0,486,中国  熊本  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
かき,2210,1kg,4000,0,800,広島  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
冷凍もんごいか,0,0,0,0,0,,令和5年1月12日（木）,suiexcel-5 (6).xlsx
冷凍たこ,200,1kg,1750,1750,1750,ﾓｰﾘﾀﾆｱ  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
冷凍えび,2665,1kg,5400,3780,2160,ｲﾝﾄﾞ  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
塩さば,1776,1kg,756,648,540,国産  ﾉﾙｳｪｰ  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
塩さけ,127,1kg,2080,0,1150,ﾁﾘ  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
塩すけそうこ,113,1kg,2830,0,2190,ﾛｼｱ  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
塩いわし,10,1kg,500,0,200,宮城  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
開干あじ,448,1kg,120,120,120,国産  長崎  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
若干かれい,169,1kg,1900,0,850,島根  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
ちりめん,1237,1kg,3456,0,3240,徳島  兵庫  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
茹かに,0,0,0,0,0,,令和5年1月12日（木）,suiexcel-5 (6).xlsx
かますごかまあげ,90,1kg,1296,0,864,香川  他,令和5年1月12日（木）,suiexcel-5 (6).xlsx
くろまぐろ,555,1kg,3996,3888,3672,長崎  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
きわだ,1087,1kg,3400,0,900,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
あじ,1161,1kg,432,0,324,長崎  兵庫  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
さば,1284,1kg,594,0,486,富山  ﾉﾙｳｪｰ  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
まいわし,1656,1kg,432,0,324,三重  静岡  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
養成ぶり,1325,1kg,1620,0,1512,大分  愛媛  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
養成まだい,3320,1kg,1350,0,540,愛媛  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
さごし,272,1kg,972,0,756,福井  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
養成はまち,328,1kg,1720,0,1350,高知  徳島  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
養成かんぱち,981,1kg,2106,0,1836,愛媛  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
するめいか,638,1kg,1080,0,972,宮城  富山  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
さけ,1430,1kg,2268,0,2052,ﾉﾙｳｪｰ  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
養成ふぐ,551,1kg,4000,0,3000,中国  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
たこ,176,1kg,3000,0,1500,宮城  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
かに,97,1kg,5292,0,5076,島根  兵庫  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
はまぐり,210,1kg,2052,0,864,千葉  中国  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
あさり,587,1kg,1728,0,378,北海道  熊本  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
かき,2894,1kg,3600,0,630,広島  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
冷凍もんごいか,0,0,0,0,0,,令和5年1月13日（金）,suiexcel-6 (8).xlsx
冷凍たこ,0,0,0,0,0,,令和5年1月13日（金）,suiexcel-6 (8).xlsx
冷凍えび,3063,1kg,5400,3780,2160,ｲﾝﾄﾞ  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
塩さば,810,1kg,1430,0,490,ﾉﾙｳｪｰ  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
塩さけ,3035,1kg,2780,0,850,ﾁﾘ  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
塩すけそうこ,167,1kg,2570,0,1350,ﾛｼｱ  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
塩いわし,100,1kg,500,500,500,宮城  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
開干あじ,275,1kg,2160,0,1404,長崎  国産  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
若干かれい,134,1kg,2160,0,1404,島根  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
ちりめん,691,1kg,4500,0,1200,兵庫  徳島  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
茹かに,60,1kg,6480,0,4320,兵庫  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
かますごかまあげ,87,1kg,1188,0,1080,香川  他,令和5年1月13日（金）,suiexcel-6 (8).xlsx
くろまぐろ,546,1kg,3996,3888,3780,長崎  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
きわだ,1198,1kg,1728,1404,1080,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
あじ,2614,1kg,432,0,324,長崎  兵庫  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
さば,2657,1kg,540,0,432,長崎  ﾉﾙｳｪｰ  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
まいわし,1892,1kg,432,0,324,千葉  静岡  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
養成ぶり,2025,1kg,2052,0,1944,大分  愛媛  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
養成まだい,4062,1kg,1404,0,216,愛媛  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
さごし,211,1kg,972,0,756,富山  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
養成はまち,353,1kg,1750,0,1350,高知  徳島  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
養成かんぱち,1082,1kg,2106,0,1728,愛媛  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
するめいか,765,1kg,1080,0,972,宮城  富山  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
さけ,2379,1kg,2160,0,1944,ﾉﾙｳｪｰ  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
養成ふぐ,349,1kg,4000,0,1600,長崎  香川  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
たこ,275,1kg,3000,0,1500,香川  宮城  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
かに,199,1kg,7170,0,1200,兵庫  島根  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
はまぐり,262,1kg,4968,0,4752,千葉  中国  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
あさり,524,1kg,1728,0,486,中国  熊本  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
かき,4157,1kg,3600,0,650,広島  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
冷凍もんごいか,0,0,0,0,0,,令和5年1月14日（土）,suiexcel-7 (9).xlsx
冷凍たこ,0,0,0,0,0,,令和5年1月14日（土）,suiexcel-7 (9).xlsx
冷凍えび,2846,1kg,5400,3780,2160,ｲﾝﾄﾞ  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
塩さば,1556,1kg,680,0,590,国産  ﾉﾙｳｪｰ  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
塩さけ,2356,1kg,1500,0,920,ﾁﾘ  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
塩すけそうこ,203,1kg,2570,0,1000,ﾛｼｱ  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
塩いわし,410,1kg,800,0,400,宮城  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
開干あじ,323,1kg,1944,0,1404,長崎  国産  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
若干かれい,118,1kg,2700,0,864,島根  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
ちりめん,200,1kg,3780,0,2916,徳島  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
茹かに,0,0,0,0,0,,令和5年1月14日（土）,suiexcel-7 (9).xlsx
かますごかまあげ,224,1kg,1296,0,972,香川  他,令和5年1月14日（土）,suiexcel-7 (9).xlsx
くろまぐろ,634,1kg,3996,3456,2700,長崎  他,令和5年1月16日（月）,suiexcel-8 (9).xlsx
きわだ,940,1kg,2160,1080,918,和歌山  沖縄  他,令和5年1月16日（月）,suiexcel-8 (9).xlsx
あじ,424,1kg,430,0,300,兵庫  長崎  他,令和5年1月16日（月）,suiexcel-8 (9).xlsx
さば,1835,1kg,540,0,432,宮城  ﾉﾙｳｪｰ  他,令和5年1月16日（月）,suiexcel-8 (9).xlsx
まいわし,97,1kg,486,0,378,徳島  他,令和5年1月16日（月）,suiexcel-8 (9).xlsx
養成ぶり,1250,1kg,2240,0,1150,愛媛  大分  他,令和5年1月16日（月）,suiexcel-8 (9).xlsx
養成まだい,4068,1kg,1350,0,540,愛媛  他,令和5年1月16日（月）,suiexcel-8 (9).xlsx
さごし,0,0,0,0,0,,令和5年1月16日（月）,suiexcel-8 (9).xlsx
養成はまち,451,1kg,2030,0,1350,高知  徳島  他,令和5年1月16日（月）,suiexcel-8 (9).xlsx
養成かんぱち,1108,1kg,2000,0,1550,愛媛  他,令和5年1月16日（月）,suiexcel-8 (9).xlsx
するめいか,473,1kg,1080,0,972,宮城  富山  他,令和5年1月16日（月）,suiexcel-8 (9).xlsx
