品目,数量,単位,高値,安値,主な産地,日付,元ファイル
くろまぐろ,1368,1kg,5300,2750,,令和2年1月5日（日）,suiexcel (62).xls
きわだ,1730,1kg,2320,440,,令和2年1月5日（日）,suiexcel (62).xls
あじ,1015,1kg,2000,275,,令和2年1月5日（日）,suiexcel (62).xls
さば,3100,1kg,550,280,,令和2年1月5日（日）,suiexcel (62).xls
養成ぶり,7473,1kg,2430,240,,令和2年1月5日（日）,suiexcel (62).xls
養成まだい,12201,1kg,3330,100,,令和2年1月5日（日）,suiexcel (62).xls
さごし,1272,1kg,550,30,,令和2年1月5日（日）,suiexcel (62).xls
養成はまち,3261,1kg,1210,70,,令和2年1月5日（日）,suiexcel (62).xls
養成かんぱち,4353,1kg,1980,990,,令和2年1月5日（日）,suiexcel (62).xls
するめいか,770,1kg,1260,275,,令和2年1月5日（日）,suiexcel (62).xls
さけ,8764,1kg,2560,430,,令和2年1月5日（日）,suiexcel (62).xls
養成ふぐ,1478,1kg,3500,1600,,令和2年1月5日（日）,suiexcel (62).xls
たこ,208,1kg,4330,1100,,令和2年1月5日（日）,suiexcel (62).xls
かに,139,1kg,8800,1830,,令和2年1月5日（日）,suiexcel (62).xls
はまぐり,285,1kg,2800,440,,令和2年1月5日（日）,suiexcel (62).xls
あさり,3462,1kg,1100,100,,令和2年1月5日（日）,suiexcel (62).xls
かき,7041,1kg,3400,250,,令和2年1月5日（日）,suiexcel (62).xls
冷凍もんごいか,278,1kg,3888,972,,令和2年1月5日（日）,suiexcel (62).xls
冷凍たこ,100,1kg,2484,1188,,令和2年1月5日（日）,suiexcel (62).xls
冷凍えび,1542,1kg,3780,740,,令和2年1月5日（日）,suiexcel (62).xls
塩さば,1064,1kg,760,450,,令和2年1月5日（日）,suiexcel (62).xls
塩さけ,56,1kg,1450,850,,令和2年1月5日（日）,suiexcel (62).xls
塩すけそうこ,976,1kg,2750,800,,令和2年1月5日（日）,suiexcel (62).xls
開干あじ,487,1kg,1320,140,,令和2年1月5日（日）,suiexcel (62).xls
ちりめん,1934,1kg,4400,900,,令和2年1月5日（日）,suiexcel (62).xls
くろまぐろ,162,1kg,2900,2750,,令和2年1月6日（月）,suiexcel-1 (14).xls
きわだ,468,1kg,2320,660,,令和2年1月6日（月）,suiexcel-1 (14).xls
あじ,1438,1kg,1800,380,,令和2年1月6日（月）,suiexcel-1 (14).xls
さば,1460,1kg,550,400,,令和2年1月6日（月）,suiexcel-1 (14).xls
養成ぶり,2408,1kg,2430,240,,令和2年1月6日（月）,suiexcel-1 (14).xls
養成まだい,4071,1kg,1375,550,,令和2年1月6日（月）,suiexcel-1 (14).xls
さごし,675,1kg,800,330,,令和2年1月6日（月）,suiexcel-1 (14).xls
養成はまち,657,1kg,1210,700,,令和2年1月6日（月）,suiexcel-1 (14).xls
養成かんぱち,1041,1kg,1980,1400,,令和2年1月6日（月）,suiexcel-1 (14).xls
するめいか,600,1kg,1320,1160,,令和2年1月6日（月）,suiexcel-1 (14).xls
さけ,2208,1kg,2580,360,,令和2年1月6日（月）,suiexcel-1 (14).xls
養成ふぐ,509,1kg,3000,1650,,令和2年1月6日（月）,suiexcel-1 (14).xls
たこ,203,1kg,4330,1400,,令和2年1月6日（月）,suiexcel-1 (14).xls
かに,213,1kg,5500,1880,,令和2年1月6日（月）,suiexcel-1 (14).xls
