品目,数量,単位,高値,安値,主な産地,日付,元ファイル
はまぐり,226,1kg,2200,500,,令和2年1月6日（月）,suiexcel-1 (14).xls
あさり,2431,1kg,1100,160,,令和2年1月6日（月）,suiexcel-1 (14).xls
かき,3799,1kg,3600,160,,令和2年1月6日（月）,suiexcel-1 (14).xls
冷凍もんごいか,200,1kg,3888,972,,令和2年1月6日（月）,suiexcel-1 (14).xls
冷凍たこ,100,1kg,2484,1188,,令和2年1月6日（月）,suiexcel-1 (14).xls
冷凍えび,933,1kg,3780,810,,令和2年1月6日（月）,suiexcel-1 (14).xls
塩さば,2778,1kg,660,330,,令和2年1月6日（月）,suiexcel-1 (14).xls
塩さけ,3648,1kg,1350,760,,令和2年1月6日（月）,suiexcel-1 (14).xls
塩すけそうこ,253,1kg,2750,850,,令和2年1月6日（月）,suiexcel-1 (14).xls
開干あじ,340,1kg,1320,100,,令和2年1月6日（月）,suiexcel-1 (14).xls
若干かれい,81,1kg,2000,990,,令和2年1月6日（月）,suiexcel-1 (14).xls
ちりめん,1468,1kg,2000,550,,令和2年1月6日（月）,suiexcel-1 (14).xls
きわだ,1365,1kg,2320,330,,令和2年1月7日（火）,suiexcel-2 (14).xls
あじ,2265,1kg,1500,250,,令和2年1月7日（火）,suiexcel-2 (14).xls
さば,3665,1kg,605,180,,令和2年1月7日（火）,suiexcel-2 (14).xls
まいわし,1470,1kg,330,220,,令和2年1月7日（火）,suiexcel-2 (14).xls
養成ぶり,4004,1kg,2430,240,,令和2年1月7日（火）,suiexcel-2 (14).xls
養成まだい,4174,1kg,1375,100,,令和2年1月7日（火）,suiexcel-2 (14).xls
さごし,1070,1kg,550,330,,令和2年1月7日（火）,suiexcel-2 (14).xls
養成はまち,546,1kg,1210,600,,令和2年1月7日（火）,suiexcel-2 (14).xls
養成かんぱち,952,1kg,1980,1000,,令和2年1月7日（火）,suiexcel-2 (14).xls
するめいか,1577,1kg,2060,640,,令和2年1月7日（火）,suiexcel-2 (14).xls
さけ,3043,1kg,1750,640,,令和2年1月7日（火）,suiexcel-2 (14).xls
養成ふぐ,251,1kg,2860,660,,令和2年1月7日（火）,suiexcel-2 (14).xls
たこ,268,1kg,4330,1200,,令和2年1月7日（火）,suiexcel-2 (14).xls
かに,172,1kg,5500,490,,令和2年1月7日（火）,suiexcel-2 (14).xls
はまぐり,330,1kg,2200,500,,令和2年1月7日（火）,suiexcel-2 (14).xls
あさり,2585,1kg,1100,250,,令和2年1月7日（火）,suiexcel-2 (14).xls
かき,4704,1kg,3400,330,,令和2年1月7日（火）,suiexcel-2 (14).xls
冷凍もんごいか,308,1kg,3888,972,,令和2年1月7日（火）,suiexcel-2 (14).xls
冷凍たこ,100,1kg,2484,1188,,令和2年1月7日（火）,suiexcel-2 (14).xls
冷凍えび,1524,1kg,15000,810,,令和2年1月7日（火）,suiexcel-2 (14).xls
塩さば,6268,1kg,3550,330,,令和2年1月7日（火）,suiexcel-2 (14).xls
塩さけ,1904,1kg,1980,750,,令和2年1月7日（火）,suiexcel-2 (14).xls
塩すけそうこ,445,1kg,2750,850,,令和2年1月7日（火）,suiexcel-2 (14).xls
塩いわし,10,1kg,540,540,,令和2年1月7日（火）,suiexcel-2 (14).xls
開干あじ,599,1kg,1320,100,,令和2年1月7日（火）,suiexcel-2 (14).xls
若干かれい,331,1kg,2000,880,,令和2年1月7日（火）,suiexcel-2 (14).xls
ちりめん,526,1kg,2200,700,,令和2年1月7日（火）,suiexcel-2 (14).xls
くろまぐろ,429,1kg,4500,2300,,令和2年1月10日（金）,suiexcel-3 (14).xls
きわだ,2243,1kg,2320,220,,令和2年1月10日（金）,suiexcel-3 (14).xls
あじ,2166,1kg,830,330,,令和2年1月10日（金）,suiexcel-3 (14).xls
さば,6007,1kg,2000,260,,令和2年1月10日（金）,suiexcel-3 (14).xls
まいわし,680,1kg,450,275,,令和2年1月10日（金）,suiexcel-3 (14).xls
養成ぶり,4777,1kg,2430,240,,令和2年1月10日（金）,suiexcel-3 (14).xls
養成まだい,5812,1kg,1375,390,,令和2年1月10日（金）,suiexcel-3 (14).xls
さごし,304,1kg,1430,430,,令和2年1月10日（金）,suiexcel-3 (14).xls
養成はまち,1233,1kg,1210,300,,令和2年1月10日（金）,suiexcel-3 (14).xls
養成かんぱち,1728,1kg,1980,1300,,令和2年1月10日（金）,suiexcel-3 (14).xls
するめいか,2250,1kg,935,600,,令和2年1月10日（金）,suiexcel-3 (14).xls
さけ,4178,1kg,3240,400,,令和2年1月10日（金）,suiexcel-3 (14).xls
養成ふぐ,1157,1kg,25000,1600,,令和2年1月10日（金）,suiexcel-3 (14).xls
たこ,402,1kg,4330,710,,令和2年1月10日（金）,suiexcel-3 (14).xls
かに,223,1kg,5200,500,,令和2年1月10日（金）,suiexcel-3 (14).xls
はまぐり,316,1kg,2200,500,,令和2年1月10日（金）,suiexcel-3 (14).xls
あさり,3206,1kg,1100,170,,令和2年1月10日（金）,suiexcel-3 (14).xls
かき,5463,1kg,3400,300,,令和2年1月10日（金）,suiexcel-3 (14).xls
冷凍もんごいか,256,1kg,3888,972,,令和2年1月10日（金）,suiexcel-3 (14).xls
冷凍たこ,100,1kg,2484,1188,,令和2年1月10日（金）,suiexcel-3 (14).xls
冷凍えび,1454,1kg,3780,810,,令和2年1月10日（金）,suiexcel-3 (14).xls
塩さば,3067,1kg,4060,330,,令和2年1月10日（金）,suiexcel-3 (14).xls
塩さけ,2872,1kg,2350,700,,令和2年1月10日（金）,suiexcel-3 (14).xls
塩すけそうこ,1467,1kg,3900,1230,,令和2年1月10日（金）,suiexcel-3 (14).xls
塩いわし,5,1kg,600,600,,令和2年1月10日（金）,suiexcel-3 (14).xls
開干あじ,285,1kg,1320,450,,令和2年1月10日（金）,suiexcel-3 (14).xls
若干かれい,140,1kg,1650,660,,令和2年1月10日（金）,suiexcel-3 (14).xls
ちりめん,1002,1kg,4235,660,,令和2年1月10日（金）,suiexcel-3 (14).xls
かますごかまあげ,500,1kg,1650,1650,,令和2年1月10日（金）,suiexcel-3 (14).xls
くろまぐろ,494,1kg,3000,2750,,令和2年1月11日（土）,suiexcel-4 (14).xls
きわだ,1782,1kg,2320,600,,令和2年1月11日（土）,suiexcel-4 (14).xls
あじ,1222,1kg,1750,385,,令和2年1月11日（土）,suiexcel-4 (14).xls
さば,5084,1kg,2000,270,,令和2年1月11日（土）,suiexcel-4 (14).xls
まいわし,800,1kg,385,275,,令和2年1月11日（土）,suiexcel-4 (14).xls
養成ぶり,5478,1kg,2430,240,,令和2年1月11日（土）,suiexcel-4 (14).xls
養成まだい,5028,1kg,2980,20,,令和2年1月11日（土）,suiexcel-4 (14).xls
さごし,140,1kg,500,430,,令和2年1月11日（土）,suiexcel-4 (14).xls
養成はまち,1022,1kg,1210,900,,令和2年1月11日（土）,suiexcel-4 (14).xls
養成かんぱち,1358,1kg,1980,1300,,令和2年1月11日（土）,suiexcel-4 (14).xls
さけ,3116,1kg,1760,760,,令和2年1月11日（土）,suiexcel-4 (14).xls
養成ふぐ,886,1kg,3600,1600,,令和2年1月11日（土）,suiexcel-4 (14).xls
たこ,335,1kg,4330,700,,令和2年1月11日（土）,suiexcel-4 (14).xls
かに,350,1kg,5500,490,,令和2年1月11日（土）,suiexcel-4 (14).xls
はまぐり,352,1kg,2200,500,,令和2年1月11日（土）,suiexcel-4 (14).xls
あさり,2490,1kg,1100,270,,令和2年1月11日（土）,suiexcel-4 (14).xls
かき,5106,1kg,3400,300,,令和2年1月11日（土）,suiexcel-4 (14).xls
冷凍もんごいか,300,1kg,3888,972,,令和2年1月11日（土）,suiexcel-4 (14).xls
冷凍たこ,100,1kg,2484,1188,,令和2年1月11日（土）,suiexcel-4 (14).xls
冷凍えび,1600,1kg,3780,810,,令和2年1月11日（土）,suiexcel-4 (14).xls
塩さば,6214,1kg,760,180,,令和2年1月11日（土）,suiexcel-4 (14).xls
塩さけ,2028,1kg,2200,650,,令和2年1月11日（土）,suiexcel-4 (14).xls
塩すけそうこ,501,1kg,2970,1320,,令和2年1月11日（土）,suiexcel-4 (14).xls
塩いわし,3975,1kg,770,480,,令和2年1月11日（土）,suiexcel-4 (14).xls
開干あじ,374,1kg,1320,120,,令和2年1月11日（土）,suiexcel-4 (14).xls
若干かれい,50,1kg,1870,1100,,令和2年1月11日（土）,suiexcel-4 (14).xls
ちりめん,200,1kg,2090,900,,令和2年1月11日（土）,suiexcel-4 (14).xls
かますごかまあげ,20,1kg,1980,1980,,令和2年1月11日（土）,suiexcel-4 (14).xls
くろまぐろ,130,1kg,2900,2750,,令和2年1月14日（火）,suiexcel-5 (14).xls
きわだ,1157,1kg,2320,880,,令和2年1月14日（火）,suiexcel-5 (14).xls
あじ,1640,1kg,1300,630,,令和2年1月14日（火）,suiexcel-5 (14).xls
さば,3724,1kg,2000,70,,令和2年1月14日（火）,suiexcel-5 (14).xls
まいわし,400,1kg,450,330,,令和2年1月14日（火）,suiexcel-5 (14).xls
養成ぶり,4715,1kg,2430,240,,令和2年1月14日（火）,suiexcel-5 (14).xls
養成まだい,6695,1kg,1375,100,,令和2年1月14日（火）,suiexcel-5 (14).xls
さごし,1314,1kg,550,330,,令和2年1月14日（火）,suiexcel-5 (14).xls
養成はまち,1604,1kg,1210,700,,令和2年1月14日（火）,suiexcel-5 (14).xls
養成かんぱち,1669,1kg,2100,1150,,令和2年1月14日（火）,suiexcel-5 (14).xls
するめいか,2700,1kg,1045,660,,令和2年1月14日（火）,suiexcel-5 (14).xls
さけ,4380,1kg,1850,520,,令和2年1月14日（火）,suiexcel-5 (14).xls
養成ふぐ,659,1kg,3080,1600,,令和2年1月14日（火）,suiexcel-5 (14).xls
たこ,355,1kg,4330,880,,令和2年1月14日（火）,suiexcel-5 (14).xls
かに,238,1kg,5500,440,,令和2年1月14日（火）,suiexcel-5 (14).xls
はまぐり,250,1kg,2200,500,,令和2年1月14日（火）,suiexcel-5 (14).xls
あさり,3117,1kg,1100,440,,令和2年1月14日（火）,suiexcel-5 (14).xls
かき,5721,1kg,3400,300,,令和2年1月14日（火）,suiexcel-5 (14).xls
冷凍もんごいか,332,1kg,3888,972,,令和2年1月14日（火）,suiexcel-5 (14).xls
冷凍たこ,472,1kg,2484,980,,令和2年1月14日（火）,suiexcel-5 (14).xls
冷凍えび,1338,1kg,3780,750,,令和2年1月14日（火）,suiexcel-5 (14).xls
塩さば,4080,1kg,1130,330,,令和2年1月14日（火）,suiexcel-5 (14).xls
塩さけ,2570,1kg,2420,630,,令和2年1月14日（火）,suiexcel-5 (14).xls
塩すけそうこ,500,1kg,2750,500,,令和2年1月14日（火）,suiexcel-5 (14).xls
塩いわし,1595,1kg,520,480,,令和2年1月14日（火）,suiexcel-5 (14).xls
開干あじ,387,1kg,1320,100,,令和2年1月14日（火）,suiexcel-5 (14).xls
若干かれい,114,1kg,1650,990,,令和2年1月14日（火）,suiexcel-5 (14).xls
ちりめん,714,1kg,4180,900,,令和2年1月14日（火）,suiexcel-5 (14).xls
かますごかまあげ,200,1kg,1650,1650,,令和2年1月14日（火）,suiexcel-5 (14).xls
きわだ,457,1kg,2320,1100,,令和2年1月15日（水）,suiexcel-6 (14).xls
あじ,1387,1kg,800,170,,令和2年1月15日（水）,suiexcel-6 (14).xls
さば,3179,1kg,1080,180,,令和2年1月15日（水）,suiexcel-6 (14).xls
まいわし,2020,1kg,380,180,,令和2年1月15日（水）,suiexcel-6 (14).xls
養成ぶり,1884,1kg,1580,240,,令和2年1月15日（水）,suiexcel-6 (14).xls
養成まだい,4051,1kg,1375,100,,令和2年1月15日（水）,suiexcel-6 (14).xls
養成はまち,758,1kg,1210,700,,令和2年1月15日（水）,suiexcel-6 (14).xls
養成かんぱち,779,1kg,1980,1400,,令和2年1月15日（水）,suiexcel-6 (14).xls
するめいか,890,1kg,1200,880,,令和2年1月15日（水）,suiexcel-6 (14).xls
さけ,1733,1kg,1750,740,,令和2年1月15日（水）,suiexcel-6 (14).xls
養成ふぐ,497,1kg,4500,2200,,令和2年1月15日（水）,suiexcel-6 (14).xls
たこ,330,1kg,4330,1000,,令和2年1月15日（水）,suiexcel-6 (14).xls
かに,144,1kg,5000,490,,令和2年1月15日（水）,suiexcel-6 (14).xls
はまぐり,163,1kg,2200,900,,令和2年1月15日（水）,suiexcel-6 (14).xls
あさり,1878,1kg,1100,310,,令和2年1月15日（水）,suiexcel-6 (14).xls
かき,3647,1kg,3400,200,,令和2年1月15日（水）,suiexcel-6 (14).xls
冷凍もんごいか,308,1kg,3888,972,,令和2年1月15日（水）,suiexcel-6 (14).xls
冷凍たこ,100,1kg,2484,1188,,令和2年1月15日（水）,suiexcel-6 (14).xls
冷凍えび,1438,1kg,15000,750,,令和2年1月15日（水）,suiexcel-6 (14).xls
塩さば,2550,1kg,3550,420,,令和2年1月15日（水）,suiexcel-6 (14).xls
塩さけ,300,1kg,2090,730,,令和2年1月15日（水）,suiexcel-6 (14).xls
塩すけそうこ,267,1kg,2750,850,,令和2年1月15日（水）,suiexcel-6 (14).xls
開干あじ,381,1kg,1320,140,,令和2年1月15日（水）,suiexcel-6 (14).xls
若干かれい,50,1kg,1650,990,,令和2年1月15日（水）,suiexcel-6 (14).xls
ちりめん,682,1kg,2200,1200,,令和2年1月15日（水）,suiexcel-6 (14).xls
かますごかまあげ,20,1kg,1650,1650,,令和2年1月15日（水）,suiexcel-6 (14).xls
くろまぐろ,228,1kg,2900,2550,,令和2年1月16日（木）,suiexcel-7 (14).xls
きわだ,661,1kg,5500,1000,,令和2年1月16日（木）,suiexcel-7 (14).xls
あじ,1738,1kg,1150,200,,令和2年1月16日（木）,suiexcel-7 (14).xls
さば,2327,1kg,900,340,,令和2年1月16日（木）,suiexcel-7 (14).xls
まいわし,326,1kg,380,220,,令和2年1月16日（木）,suiexcel-7 (14).xls
養成ぶり,2292,1kg,2430,240,,令和2年1月16日（木）,suiexcel-7 (14).xls
養成まだい,4147,1kg,1375,500,,令和2年1月16日（木）,suiexcel-7 (14).xls
さごし,80,1kg,770,550,,令和2年1月16日（木）,suiexcel-7 (14).xls
養成はまち,739,1kg,1210,900,,令和2年1月16日（木）,suiexcel-7 (14).xls
養成かんぱち,830,1kg,1980,1350,,令和2年1月16日（木）,suiexcel-7 (14).xls
するめいか,1545,1kg,1140,715,,令和2年1月16日（木）,suiexcel-7 (14).xls
さけ,2064,1kg,1600,1000,,令和2年1月16日（木）,suiexcel-7 (14).xls
養成ふぐ,412,1kg,3600,900,,令和2年1月16日（木）,suiexcel-7 (14).xls
たこ,431,1kg,4330,1000,,令和2年1月16日（木）,suiexcel-7 (14).xls
かに,198,1kg,5000,560,,令和2年1月16日（木）,suiexcel-7 (14).xls
はまぐり,242,1kg,2200,500,,令和2年1月16日（木）,suiexcel-7 (14).xls
あさり,2507,1kg,1100,300,,令和2年1月16日（木）,suiexcel-7 (14).xls
かき,3949,1kg,3600,300,,令和2年1月16日（木）,suiexcel-7 (14).xls
冷凍もんごいか,300,1kg,3888,972,,令和2年1月16日（木）,suiexcel-7 (14).xls
冷凍たこ,100,1kg,2484,1188,,令和2年1月16日（木）,suiexcel-7 (14).xls
冷凍えび,1362,1kg,3780,810,,令和2年1月16日（木）,suiexcel-7 (14).xls
塩さば,3553,1kg,930,410,,令和2年1月16日（木）,suiexcel-7 (14).xls
塩さけ,3333,1kg,1700,650,,令和2年1月16日（木）,suiexcel-7 (14).xls
塩すけそうこ,374,1kg,2750,800,,令和2年1月16日（木）,suiexcel-7 (14).xls
塩いわし,2120,1kg,600,440,,令和2年1月16日（木）,suiexcel-7 (14).xls
開干あじ,465,1kg,1700,650,,令和2年1月16日（木）,suiexcel-7 (14).xls
若干かれい,130,1kg,1650,1100,,令和2年1月16日（木）,suiexcel-7 (14).xls
ちりめん,626,1kg,2640,550,,令和2年1月16日（木）,suiexcel-7 (14).xls
かますごかまあげ,20,1kg,1650,1650,,令和2年1月16日（木）,suiexcel-7 (14).xls
くろまぐろ,257,1kg,2900,2500,,令和2年1月17日（金）,suiexcel-8 (14).xls
きわだ,768,1kg,2500,1070,,令和2年1月17日（金）,suiexcel-8 (14).xls
あじ,1196,1kg,1100,300,,令和2年1月17日（金）,suiexcel-8 (14).xls
さば,3703,1kg,2000,350,,令和2年1月17日（金）,suiexcel-8 (14).xls
まいわし,764,1kg,400,200,,令和2年1月17日（金）,suiexcel-8 (14).xls
養成ぶり,2965,1kg,2430,240,,令和2年1月17日（金）,suiexcel-8 (14).xls
養成まだい,4259,1kg,1375,20,,令和2年1月17日（金）,suiexcel-8 (14).xls
さごし,93,1kg,750,580,,令和2年1月17日（金）,suiexcel-8 (14).xls
養成はまち,769,1kg,1210,900,,令和2年1月17日（金）,suiexcel-8 (14).xls
養成かんぱち,1067,1kg,1980,1300,,令和2年1月17日（金）,suiexcel-8 (14).xls
するめいか,405,1kg,1080,935,,令和2年1月17日（金）,suiexcel-8 (14).xls
さけ,2534,1kg,1850,350,,令和2年1月17日（金）,suiexcel-8 (14).xls
養成ふぐ,551,1kg,3600,1000,,令和2年1月17日（金）,suiexcel-8 (14).xls
たこ,259,1kg,4330,800,,令和2年1月17日（金）,suiexcel-8 (14).xls
かに,163,1kg,5000,1880,,令和2年1月17日（金）,suiexcel-8 (14).xls
はまぐり,234,1kg,2200,500,,令和2年1月17日（金）,suiexcel-8 (14).xls
あさり,2395,1kg,1100,300,,令和2年1月17日（金）,suiexcel-8 (14).xls
かき,3670,1kg,3400,110,,令和2年1月17日（金）,suiexcel-8 (14).xls
冷凍もんごいか,320,1kg,3888,972,,令和2年1月17日（金）,suiexcel-8 (14).xls
冷凍たこ,100,1kg,2484,1188,,令和2年1月17日（金）,suiexcel-8 (14).xls
冷凍えび,1233,1kg,15000,810,,令和2年1月17日（金）,suiexcel-8 (14).xls
塩さば,2338,1kg,660,400,,令和2年1月17日（金）,suiexcel-8 (14).xls
塩さけ,212,1kg,1350,780,,令和2年1月17日（金）,suiexcel-8 (14).xls
塩すけそうこ,681,1kg,2750,1100,,令和2年1月17日（金）,suiexcel-8 (14).xls
塩いわし,200,1kg,660,320,,令和2年1月17日（金）,suiexcel-8 (14).xls
開干あじ,164,1kg,1320,650,,令和2年1月17日（金）,suiexcel-8 (14).xls
若干かれい,62,1kg,1650,1100,,令和2年1月17日（金）,suiexcel-8 (14).xls
ちりめん,974,1kg,2530,700,,令和2年1月17日（金）,suiexcel-8 (14).xls
かますごかまあげ,20,1kg,1650,1650,,令和2年1月17日（金）,suiexcel-8 (14).xls
くろまぐろ,461,1kg,3597.4223194748356,2600,,令和2年1月18日（土）,suiexcel-9 (14).xls
きわだ,665,1kg,3930.0055248618783,245,,令和2年1月18日（土）,suiexcel-9 (14).xls
あじ,2002,1kg,546.2428330522765,300,,令和2年1月18日（土）,suiexcel-9 (14).xls
さば,3899,1kg,1103.0373626373625,330,,令和2年1月18日（土）,suiexcel-9 (14).xls
まいわし,2260,1kg,330,220,,令和2年1月18日（土）,suiexcel-9 (14).xls
養成ぶり,3644,1kg,1526.921431206197,240,,令和2年1月18日（土）,suiexcel-9 (14).xls
養成まだい,5362,1kg,1893.5453350854139,935,,令和2年1月18日（土）,suiexcel-9 (14).xls
さごし,500,1kg,770,550,,令和2年1月18日（土）,suiexcel-9 (14).xls
養成はまち,1021,1kg,1359.5423728813557,900,,令和2年1月18日（土）,suiexcel-9 (14).xls
養成かんぱち,1284,1kg,2306.9004975124376,1300,,令和2年1月18日（土）,suiexcel-9 (14).xls
するめいか,1110,1kg,880,706,,令和2年1月18日（土）,suiexcel-9 (14).xls
さけ,3506,1kg,2420.4784140969164,1260,,令和2年1月18日（土）,suiexcel-9 (14).xls
養成ふぐ,440,1kg,4929.858823529412,600,,令和2年1月18日（土）,suiexcel-9 (14).xls
たこ,371,1kg,12500,1210,,令和2年1月18日（土）,suiexcel-9 (14).xls
かに,178,1kg,6234.324786324786,3192,,令和2年1月18日（土）,suiexcel-9 (14).xls
はまぐり,232,1kg,2200,1100,,令和2年1月18日（土）,suiexcel-9 (14).xls
あさり,2697,1kg,1100,130,,令和2年1月18日（土）,suiexcel-9 (14).xls
かき,5796,1kg,2133.775069637883,1087,,令和2年1月18日（土）,suiexcel-9 (14).xls
冷凍もんごいか,428,1kg,3888,972,,令和2年1月18日（土）,suiexcel-9 (14).xls
冷凍たこ,100,1kg,2484,1188,,令和2年1月18日（土）,suiexcel-9 (14).xls
冷凍えび,1459,1kg,3780,810,,令和2年1月18日（土）,suiexcel-9 (14).xls
塩さば,3492,1kg,660,440,,令和2年1月18日（土）,suiexcel-9 (14).xls
塩さけ,2680,1kg,844,844,,令和2年1月18日（土）,suiexcel-9 (14).xls
塩すけそうこ,356,1kg,3262.5178571428573,1638,,令和2年1月18日（土）,suiexcel-9 (14).xls
塩いわし,1830,1kg,594,475,,令和2年1月18日（土）,suiexcel-9 (14).xls
開干あじ,383,1kg,1320,536,,令和2年1月18日（土）,suiexcel-9 (14).xls
若干かれい,410,1kg,2420,880,,令和2年1月18日（土）,suiexcel-9 (14).xls
ちりめん,560,1kg,3134.5045454545457,1430,,令和2年1月18日（土）,suiexcel-9 (14).xls
かますごかまあげ,20,1kg,1650,1650,,令和2年1月18日（土）,suiexcel-9 (14).xls
くろまぐろ,233,1kg,2900,2750,,令和2年1月20日（月）,suiexcel-10 (14).xls
きわだ,483,1kg,2320,1100,,令和2年1月20日（月）,suiexcel-10 (14).xls
あじ,410,1kg,1400,220,,令和2年1月20日（月）,suiexcel-10 (14).xls
さば,5760,1kg,2000,160,,令和2年1月20日（月）,suiexcel-10 (14).xls
まいわし,260,1kg,385,170,,令和2年1月20日（月）,suiexcel-10 (14).xls
養成ぶり,3440,1kg,2430,240,,令和2年1月20日（月）,suiexcel-10 (14).xls
養成まだい,5238,1kg,1375,500,,令和2年1月20日（月）,suiexcel-10 (14).xls
さごし,436,1kg,600,500,,令和2年1月20日（月）,suiexcel-10 (14).xls
養成はまち,1125,1kg,1210,700,,令和2年1月20日（月）,suiexcel-10 (14).xls
養成かんぱち,1476,1kg,1980,1300,,令和2年1月20日（月）,suiexcel-10 (14).xls
するめいか,1006,1kg,2060,840,,令和2年1月20日（月）,suiexcel-10 (14).xls
さけ,2551,1kg,1850,620,,令和2年1月20日（月）,suiexcel-10 (14).xls
養成ふぐ,316,1kg,3600,1600,,令和2年1月20日（月）,suiexcel-10 (14).xls
たこ,323,1kg,4330,800,,令和2年1月20日（月）,suiexcel-10 (14).xls
かに,256,1kg,7140,670,,令和2年1月20日（月）,suiexcel-10 (14).xls
はまぐり,238,1kg,2200,500,,令和2年1月20日（月）,suiexcel-10 (14).xls
あさり,2768,1kg,1100,300,,令和2年1月20日（月）,suiexcel-10 (14).xls
かき,6801,1kg,3400,30,,令和2年1月20日（月）,suiexcel-10 (14).xls
冷凍もんごいか,300,1kg,3888,972,,令和2年1月20日（月）,suiexcel-10 (14).xls
冷凍たこ,100,1kg,2484,1188,,令和2年1月20日（月）,suiexcel-10 (14).xls
冷凍えび,1230,1kg,3780,810,,令和2年1月20日（月）,suiexcel-10 (14).xls
塩さば,2516,1kg,760,180,,令和2年1月20日（月）,suiexcel-10 (14).xls
塩さけ,96,1kg,1450,750,,令和2年1月20日（月）,suiexcel-10 (14).xls
塩すけそうこ,385,1kg,2200,850,,令和2年1月20日（月）,suiexcel-10 (14).xls
塩いわし,50,1kg,550,440,,令和2年1月20日（月）,suiexcel-10 (14).xls
開干あじ,310,1kg,1320,480,,令和2年1月20日（月）,suiexcel-10 (14).xls
若干かれい,130,1kg,2420,880,,令和2年1月20日（月）,suiexcel-10 (14).xls
ちりめん,714,1kg,2530,580,,令和2年1月20日（月）,suiexcel-10 (14).xls
茹かに,10,1kg,16500,9900,,令和2年1月20日（月）,suiexcel-10 (14).xls
かますごかまあげ,20,1kg,1650,1650,,令和2年1月20日（月）,suiexcel-10 (14).xls
くろまぐろ,81,1kg,4700,4700,,令和2年1月21日（火）,suiexcel-11 (12).xls
きわだ,1445,1kg,2320,600,,令和2年1月21日（火）,suiexcel-11 (12).xls
あじ,1990,1kg,1170,300,,令和2年1月21日（火）,suiexcel-11 (12).xls
さば,2951,1kg,2000,324,,令和2年1月21日（火）,suiexcel-11 (12).xls
まいわし,2700,1kg,378,230,,令和2年1月21日（火）,suiexcel-11 (12).xls
養成ぶり,2725,1kg,2430,240,,令和2年1月21日（火）,suiexcel-11 (12).xls
