品目,数量,単位,高値,中値,安値,主な産地,日付,元ファイル
くろまぐろ,753,1kg,4000,3132,2916,長崎  他,令和4年4月1日（金）,suiexcel.xlsx
きわだ,914,1kg,2700,1620,1080,和歌山  沖縄  他,令和4年4月1日（金）,suiexcel.xlsx
あじ,2716,1kg,5500,0,200,長崎  和歌山  他,令和4年4月1日（金）,suiexcel.xlsx
さば,2019,1kg,4200,0,210,千葉  長崎  他,令和4年4月1日（金）,suiexcel.xlsx
まいわし,1684,1kg,216,0,108,石川  他,令和4年4月1日（金）,suiexcel.xlsx
養成ぶり,396,1kg,1700,0,1080,愛媛  大分  他,令和4年4月1日（金）,suiexcel.xlsx
かつお,994,1kg,1100,0,432,鹿児島  宮崎  他,令和4年4月1日（金）,suiexcel.xlsx
養成まだい,4804,1kg,1350,0,300,愛媛  他,令和4年4月1日（金）,suiexcel.xlsx
さわら,822,1kg,2000,0,1150,福岡  韓国  他,令和4年4月1日（金）,suiexcel.xlsx
かれい,2163,1kg,7000,0,200,鳥取  青森  他,令和4年4月1日（金）,suiexcel.xlsx
養成はまち,407,1kg,1566,0,1260,徳島  愛媛  他,令和4年4月1日（金）,suiexcel.xlsx
養成かんぱち,942,1kg,1770,0,1250,愛媛  鹿児島  他,令和4年4月1日（金）,suiexcel.xlsx
さけ,1739,1kg,1950,0,730,ﾉﾙｳｪｰ  ｶﾅﾀﾞ  他,令和4年4月1日（金）,suiexcel.xlsx
たこ,128,1kg,5000,0,1100,岩手  他,令和4年4月1日（金）,suiexcel.xlsx
はまぐり,308,1kg,2268,0,864,千葉  他,令和4年4月1日（金）,suiexcel.xlsx
しじみ,522,1kg,1360,0,702,島根  他,令和4年4月1日（金）,suiexcel.xlsx
あさり,796,1kg,1404,0,432,中国  熊本  他,令和4年4月1日（金）,suiexcel.xlsx
ほたて貝,901,1kg,6220,0,324,北海道  他,令和4年4月1日（金）,suiexcel.xlsx
冷凍もんごいか,490,1kg,3240,1512,648,ﾓﾛｯｺ  他,令和4年4月1日（金）,suiexcel.xlsx
冷凍たこ,50,1kg,2592,1944,648,ﾓﾛｯｺ  他,令和4年4月1日（金）,suiexcel.xlsx
冷凍えび,2045,1kg,4860,1458,648,ｲﾝﾄﾞ  他,令和4年4月1日（金）,suiexcel.xlsx
塩さば,12346,1kg,1050,486,320,ﾉﾙｳｪｰ  千葉  他,令和4年4月1日（金）,suiexcel.xlsx
塩さけ,11602,1kg,2450,1566,400,ﾁﾘ  他,令和4年4月1日（金）,suiexcel.xlsx
塩すけそうこ,2542,1kg,3200,1836,580,大阪  ﾛｼｱ  他,令和4年4月1日（金）,suiexcel.xlsx
開干さんま,301,1kg,1944,1900,1404,北海道  他,令和4年4月1日（金）,suiexcel.xlsx
開干あじ,476,1kg,2000,0,110,長崎  他,令和4年4月1日（金）,suiexcel.xlsx
若干かれい,328,1kg,8600,0,864,島根  他,令和4年4月1日（金）,suiexcel.xlsx
ちりめん,647,1kg,2310,0,500,兵庫  大分  他,令和4年4月1日（金）,suiexcel.xlsx
なまりぶし,49,1kg,1600,0,920,静岡  他,令和4年4月1日（金）,suiexcel.xlsx
ほたるいか,1425,1kg,5500,0,500,富山  兵庫  他,令和4年4月1日（金）,suiexcel.xlsx
くろまぐろ,928,1kg,3294,3186,2800,長崎  他,令和4年4月2日（土）,suiexcel-1.xlsx
きわだ,1105,1kg,2700,1620,1080,和歌山  沖縄  他,令和4年4月2日（土）,suiexcel-1.xlsx
あじ,1600,1kg,5500,0,330,長崎  和歌山  他,令和4年4月2日（土）,suiexcel-1.xlsx
さば,2470,1kg,1700,0,180,長崎  千葉  他,令和4年4月2日（土）,suiexcel-1.xlsx
まいわし,1296,1kg,216,0,108,石川  他,令和4年4月2日（土）,suiexcel-1.xlsx
養成ぶり,539,1kg,1650,0,1080,愛媛  大分  他,令和4年4月2日（土）,suiexcel-1.xlsx
かつお,1849,1kg,1100,0,400,鹿児島  宮崎  他,令和4年4月2日（土）,suiexcel-1.xlsx
養成まだい,6855,1kg,1350,0,540,愛媛  他,令和4年4月2日（土）,suiexcel-1.xlsx
さわら,166,1kg,2000,0,1296,京都  韓国  他,令和4年4月2日（土）,suiexcel-1.xlsx
かれい,1471,1kg,2040,0,260,鳥取  青森  他,令和4年4月2日（土）,suiexcel-1.xlsx
養成はまち,579,1kg,1566,0,1300,徳島  愛媛  他,令和4年4月2日（土）,suiexcel-1.xlsx
養成かんぱち,1327,1kg,1728,0,1250,愛媛  鹿児島  他,令和4年4月2日（土）,suiexcel-1.xlsx
さけ,2142,1kg,2052,0,730,ﾉﾙｳｪｰ  ｶﾅﾀﾞ  他,令和4年4月2日（土）,suiexcel-1.xlsx
たこ,152,1kg,4330,0,1700,岩手  他,令和4年4月2日（土）,suiexcel-1.xlsx
はまぐり,442,1kg,2376,0,864,千葉  中国  他,令和4年4月2日（土）,suiexcel-1.xlsx
しじみ,623,1kg,1300,0,648,島根  他,令和4年4月2日（土）,suiexcel-1.xlsx
あさり,1797,1kg,1650,0,378,熊本  中国  他,令和4年4月2日（土）,suiexcel-1.xlsx
ほたて貝,1257,1kg,6220,0,432,北海道  他,令和4年4月2日（土）,suiexcel-1.xlsx
冷凍もんごいか,472,1kg,3240,1512,648,ﾓﾛｯｺ  ｵﾏｰﾝ  他,令和4年4月2日（土）,suiexcel-1.xlsx
冷凍たこ,40,1kg,2592,1944,648,ﾓﾛｯｺ  他,令和4年4月2日（土）,suiexcel-1.xlsx
冷凍えび,1662,1kg,4860,1458,648,ｲﾝﾄﾞ  他,令和4年4月2日（土）,suiexcel-1.xlsx
塩さば,1558,1kg,648,540,350,千葉  ﾉﾙｳｪｰ  他,令和4年4月2日（土）,suiexcel-1.xlsx
塩さけ,2299,1kg,1404,1350,860,ﾁﾘ  他,令和4年4月2日（土）,suiexcel-1.xlsx
塩すけそうこ,1250,1kg,2376,1836,850,大阪  ﾛｼｱ  他,令和4年4月2日（土）,suiexcel-1.xlsx
開干さんま,311,1kg,1944,1900,1404,北海道  他,令和4年4月2日（土）,suiexcel-1.xlsx
開干あじ,355,1kg,1620,0,620,長崎  他,令和4年4月2日（土）,suiexcel-1.xlsx
若干かれい,200,1kg,1620,0,864,島根  他,令和4年4月2日（土）,suiexcel-1.xlsx
ちりめん,1042,1kg,2200,0,864,宮崎  大分  他,令和4年4月2日（土）,suiexcel-1.xlsx
なまりぶし,55,1kg,1600,0,950,静岡  他,令和4年4月2日（土）,suiexcel-1.xlsx
ほたるいか,1907,1kg,3250,0,500,富山  兵庫  他,令和4年4月2日（土）,suiexcel-1.xlsx
くろまぐろ,545,1kg,4000,3186,1700,長崎  他,令和4年4月4日（月）,suiexcel-2.xlsx
きわだ,353,1kg,2350,2200,864,和歌山  沖縄  他,令和4年4月4日（月）,suiexcel-2.xlsx
あじ,2324,1kg,5500,0,260,和歌山  他,令和4年4月4日（月）,suiexcel-2.xlsx
さば,2658,1kg,4200,0,150,石川  千葉  他,令和4年4月4日（月）,suiexcel-2.xlsx
まいわし,1522,1kg,216,0,108,石川  他,令和4年4月4日（月）,suiexcel-2.xlsx
養成ぶり,416,1kg,1650,0,1080,大分  愛媛  他,令和4年4月4日（月）,suiexcel-2.xlsx
かつお,2192,1kg,1050,0,432,鹿児島  宮崎  他,令和4年4月4日（月）,suiexcel-2.xlsx
養成まだい,5412,1kg,1350,0,270,愛媛  他,令和4年4月4日（月）,suiexcel-2.xlsx
さわら,484,1kg,1800,0,850,京都  韓国  他,令和4年4月4日（月）,suiexcel-2.xlsx
かれい,1043,1kg,2500,0,270,青森  鳥取  他,令和4年4月4日（月）,suiexcel-2.xlsx
養成はまち,746,1kg,1620,0,800,徳島  愛媛  他,令和4年4月4日（月）,suiexcel-2.xlsx
養成かんぱち,1306,1kg,1782,0,1250,鹿児島  愛媛  他,令和4年4月4日（月）,suiexcel-2.xlsx
さけ,2798,1kg,2052,0,830,ﾉﾙｳｪｰ  ｶﾅﾀﾞ  他,令和4年4月4日（月）,suiexcel-2.xlsx
たこ,135,1kg,4330,0,1080,岩手  兵庫  他,令和4年4月4日（月）,suiexcel-2.xlsx
はまぐり,408,1kg,2376,0,300,千葉  中国  他,令和4年4月4日（月）,suiexcel-2.xlsx
しじみ,383,1kg,1300,0,648,島根  他,令和4年4月4日（月）,suiexcel-2.xlsx
あさり,1137,1kg,1404,0,486,中国  熊本  他,令和4年4月4日（月）,suiexcel-2.xlsx
ほたて貝,675,1kg,6220,0,324,北海道  他,令和4年4月4日（月）,suiexcel-2.xlsx
冷凍もんごいか,440,1kg,3240,1512,648,ﾓﾛｯｺ  他,令和4年4月4日（月）,suiexcel-2.xlsx
冷凍たこ,40,1kg,2592,1944,648,ﾓﾛｯｺ  他,令和4年4月4日（月）,suiexcel-2.xlsx
冷凍えび,1435,1kg,4860,1458,500,ｲﾝﾄﾞ  他,令和4年4月4日（月）,suiexcel-2.xlsx
塩さば,1338,1kg,740,540,250,千葉  ﾉﾙｳｪｰ  他,令和4年4月4日（月）,suiexcel-2.xlsx
塩さけ,1821,1kg,1500,972,918,ﾁﾘ  他,令和4年4月4日（月）,suiexcel-2.xlsx
塩すけそうこ,694,1kg,2376,1836,1620,大阪  ﾛｼｱ  他,令和4年4月4日（月）,suiexcel-2.xlsx
開干さんま,202,1kg,1944,1900,1404,北海道  他,令和4年4月4日（月）,suiexcel-2.xlsx
開干あじ,496,1kg,1620,0,110,長崎  他,令和4年4月4日（月）,suiexcel-2.xlsx
若干かれい,100,1kg,1620,0,864,島根  他,令和4年4月4日（月）,suiexcel-2.xlsx
ちりめん,776,1kg,2000,0,900,兵庫  大分  他,令和4年4月4日（月）,suiexcel-2.xlsx
なまりぶし,38,1kg,1800,0,920,静岡  他,令和4年4月4日（月）,suiexcel-2.xlsx
ほたるいか,2020,1kg,3500,0,600,富山  兵庫  他,令和4年4月4日（月）,suiexcel-2.xlsx
くろまぐろ,300,1kg,3240,3132,3024,長崎  他,令和4年4月5日（火）,suiexcel-3.xlsx
きわだ,542,1kg,2320,1620,1200,千葉  沖縄  他,令和4年4月5日（火）,suiexcel-3.xlsx
あじ,4266,1kg,5500,0,220,和歌山  他,令和4年4月5日（火）,suiexcel-3.xlsx
さば,2678,1kg,4200,0,270,長崎  千葉  他,令和4年4月5日（火）,suiexcel-3.xlsx
まいわし,1677,1kg,216,0,108,石川  他,令和4年4月5日（火）,suiexcel-3.xlsx
養成ぶり,348,1kg,1650,0,1080,愛媛  他,令和4年4月5日（火）,suiexcel-3.xlsx
かつお,2392,1kg,1600,0,360,鹿児島  宮崎  他,令和4年4月5日（火）,suiexcel-3.xlsx
養成まだい,3727,1kg,1350,0,300,愛媛  他,令和4年4月5日（火）,suiexcel-3.xlsx
さわら,655,1kg,1800,0,1188,愛媛  韓国  他,令和4年4月5日（火）,suiexcel-3.xlsx
かれい,2790,1kg,2200,0,260,鳥取  青森  他,令和4年4月5日（火）,suiexcel-3.xlsx
養成はまち,359,1kg,1620,0,1150,徳島  愛媛  他,令和4年4月5日（火）,suiexcel-3.xlsx
養成かんぱち,998,1kg,1782,0,1250,愛媛  鹿児島  他,令和4年4月5日（火）,suiexcel-3.xlsx
さけ,1816,1kg,2000,0,1620,ｶﾅﾀﾞ  ﾉﾙｳｪｰ  他,令和4年4月5日（火）,suiexcel-3.xlsx
たこ,131,1kg,6000,0,2000,岩手  他,令和4年4月5日（火）,suiexcel-3.xlsx
はまぐり,332,1kg,3240,0,300,千葉  中国  他,令和4年4月5日（火）,suiexcel-3.xlsx
しじみ,1004,1kg,1360,0,648,島根  他,令和4年4月5日（火）,suiexcel-3.xlsx
あさり,1109,1kg,8400,0,378,中国  熊本  他,令和4年4月5日（火）,suiexcel-3.xlsx
ほたて貝,841,1kg,6220,0,324,北海道  他,令和4年4月5日（火）,suiexcel-3.xlsx
冷凍もんごいか,498,1kg,3240,2800,648,ﾓﾛｯｺ  ｵﾏｰﾝ  他,令和4年4月5日（火）,suiexcel-3.xlsx
冷凍たこ,935,1kg,2592,1944,648,ﾓｰﾘﾀﾆｱ  ﾓﾛｯｺ  他,令和4年4月5日（火）,suiexcel-3.xlsx
冷凍えび,1708,1kg,4860,1458,648,ｲﾝﾄﾞ  他,令和4年4月5日（火）,suiexcel-3.xlsx
塩さば,2626,1kg,700,486,324,千葉  ﾉﾙｳｪｰ  他,令和4年4月5日（火）,suiexcel-3.xlsx
塩さけ,2412,1kg,1728,1620,960,ﾁﾘ  ﾛｼｱ  他,令和4年4月5日（火）,suiexcel-3.xlsx
塩すけそうこ,335,1kg,3000,0,1300,大阪  他,令和4年4月5日（火）,suiexcel-3.xlsx
開干さんま,207,1kg,1944,1900,1404,北海道  他,令和4年4月5日（火）,suiexcel-3.xlsx
開干あじ,521,1kg,1620,0,620,長崎  他,令和4年4月5日（火）,suiexcel-3.xlsx
若干かれい,116,1kg,1620,1400,864,島根  他,令和4年4月5日（火）,suiexcel-3.xlsx
ちりめん,1111,1kg,2310,0,950,鹿児島  大分  他,令和4年4月5日（火）,suiexcel-3.xlsx
なまりぶし,79,1kg,1800,0,850,静岡  他,令和4年4月5日（火）,suiexcel-3.xlsx
ほたるいか,1509,1kg,2500,0,430,富山  兵庫  他,令和4年4月5日（火）,suiexcel-3.xlsx
くろまぐろ,664,1kg,3600,3600,2916,長崎  他,令和4年4月7日（木）,suiexcel-4.xlsx
きわだ,509,1kg,2700,1620,1080,和歌山  沖縄  他,令和4年4月7日（木）,suiexcel-4.xlsx
あじ,3333,1kg,5500,0,200,和歌山  他,令和4年4月7日（木）,suiexcel-4.xlsx
さば,3133,1kg,2690,0,230,長崎  千葉  他,令和4年4月7日（木）,suiexcel-4.xlsx
まいわし,1426,1kg,216,0,108,石川  他,令和4年4月7日（木）,suiexcel-4.xlsx
養成ぶり,390,1kg,1650,0,1000,大分  愛媛  他,令和4年4月7日（木）,suiexcel-4.xlsx
かつお,2070,1kg,850,0,200,宮崎  他,令和4年4月7日（木）,suiexcel-4.xlsx
養成まだい,4113,1kg,1350,0,330,愛媛  他,令和4年4月7日（木）,suiexcel-4.xlsx
さわら,2010,1kg,1300,0,864,三重  韓国  他,令和4年4月7日（木）,suiexcel-4.xlsx
かれい,2261,1kg,2500,0,216,鳥取  青森  他,令和4年4月7日（木）,suiexcel-4.xlsx
養成はまち,686,1kg,1760,0,800,徳島  愛媛  他,令和4年4月7日（木）,suiexcel-4.xlsx
養成かんぱち,1220,1kg,1782,0,1350,愛媛  鹿児島  他,令和4年4月7日（木）,suiexcel-4.xlsx
さけ,2006,1kg,2000,0,780,ｶﾅﾀﾞ  ﾉﾙｳｪｰ  他,令和4年4月7日（木）,suiexcel-4.xlsx
たこ,185,1kg,3780,0,430,岩手  他,令和4年4月7日（木）,suiexcel-4.xlsx
はまぐり,290,1kg,2160,0,300,千葉  中国  他,令和4年4月7日（木）,suiexcel-4.xlsx
しじみ,660,1kg,1600,0,648,島根  他,令和4年4月7日（木）,suiexcel-4.xlsx
あさり,1331,1kg,1620,0,410,中国  熊本  他,令和4年4月7日（木）,suiexcel-4.xlsx
ほたて貝,910,1kg,6220,0,324,北海道  他,令和4年4月7日（木）,suiexcel-4.xlsx
冷凍もんごいか,400,1kg,3240,1512,648,ﾓﾛｯｺ  他,令和4年4月7日（木）,suiexcel-4.xlsx
冷凍たこ,40,1kg,2592,1944,648,ﾓﾛｯｺ  他,令和4年4月7日（木）,suiexcel-4.xlsx
冷凍えび,1809,1kg,4860,1458,648,ｲﾝﾄﾞ  他,令和4年4月7日（木）,suiexcel-4.xlsx
塩さば,4692,1kg,1230,486,324,千葉  ﾉﾙｳｪｰ  他,令和4年4月7日（木）,suiexcel-4.xlsx
塩さけ,3557,1kg,1460,0,900,ﾁﾘ  他,令和4年4月7日（木）,suiexcel-4.xlsx
塩すけそうこ,898,1kg,3200,1836,1080,大阪  ﾛｼｱ  他,令和4年4月7日（木）,suiexcel-4.xlsx
開干さんま,216,1kg,1944,0,750,北海道  他,令和4年4月7日（木）,suiexcel-4.xlsx
開干あじ,253,1kg,2000,0,620,長崎  他,令和4年4月7日（木）,suiexcel-4.xlsx
若干かれい,200,1kg,1620,0,864,島根  他,令和4年4月7日（木）,suiexcel-4.xlsx
ちりめん,808,1kg,4800,0,864,大分  鹿児島  他,令和4年4月7日（木）,suiexcel-4.xlsx
なまりぶし,49,1kg,1600,0,950,静岡  他,令和4年4月7日（木）,suiexcel-4.xlsx
ほたるいか,1159,1kg,2500,0,430,富山  兵庫  他,令和4年4月7日（木）,suiexcel-4.xlsx
くろまぐろ,785,1kg,3600,3186,2800,長崎  他,令和4年4月8日（金）,suiexcel-5.xlsx
きわだ,1210,1kg,2450,1620,1000,和歌山  沖縄  他,令和4年4月8日（金）,suiexcel-5.xlsx
あじ,2289,1kg,5500,0,180,和歌山  他,令和4年4月8日（金）,suiexcel-5.xlsx
さば,2196,1kg,3830,0,150,千葉  長崎  他,令和4年4月8日（金）,suiexcel-5.xlsx
まいわし,939,1kg,270,0,130,石川  他,令和4年4月8日（金）,suiexcel-5.xlsx
養成ぶり,270,1kg,1650,0,1080,愛媛  他,令和4年4月8日（金）,suiexcel-5.xlsx
かつお,707,1kg,1100,0,324,宮崎  鹿児島  他,令和4年4月8日（金）,suiexcel-5.xlsx
養成まだい,4281,1kg,1350,0,500,愛媛  他,令和4年4月8日（金）,suiexcel-5.xlsx
さわら,3368,1kg,1200,0,648,和歌山  韓国  他,令和4年4月8日（金）,suiexcel-5.xlsx
かれい,2607,1kg,2000,0,200,鳥取  青森  他,令和4年4月8日（金）,suiexcel-5.xlsx
養成はまち,551,1kg,1566,0,1200,徳島  愛媛  他,令和4年4月8日（金）,suiexcel-5.xlsx
養成かんぱち,1103,1kg,1782,0,1350,愛媛  鹿児島  他,令和4年4月8日（金）,suiexcel-5.xlsx
さけ,2565,1kg,1950,0,850,ﾉﾙｳｪｰ  ｶﾅﾀﾞ  他,令和4年4月8日（金）,suiexcel-5.xlsx
たこ,144,1kg,5000,0,1600,岩手  兵庫  他,令和4年4月8日（金）,suiexcel-5.xlsx
はまぐり,263,1kg,3240,0,240,千葉  中国  他,令和4年4月8日（金）,suiexcel-5.xlsx
しじみ,549,1kg,1440,0,648,島根  他,令和4年4月8日（金）,suiexcel-5.xlsx
あさり,840,1kg,1620,0,432,中国  熊本  他,令和4年4月8日（金）,suiexcel-5.xlsx
ほたて貝,988,1kg,6220,0,324,北海道  他,令和4年4月8日（金）,suiexcel-5.xlsx
冷凍もんごいか,426,1kg,3240,2800,648,ﾓﾛｯｺ  ｵﾏｰﾝ  他,令和4年4月8日（金）,suiexcel-5.xlsx
冷凍たこ,40,1kg,2592,1944,648,ﾓﾛｯｺ  他,令和4年4月8日（金）,suiexcel-5.xlsx
冷凍えび,1490,1kg,4860,1458,648,ｲﾝﾄﾞ  他,令和4年4月8日（金）,suiexcel-5.xlsx
塩さば,1206,1kg,648,540,410,千葉  ﾉﾙｳｪｰ  他,令和4年4月8日（金）,suiexcel-5.xlsx
塩さけ,2688,1kg,1550,0,850,ﾁﾘ  他,令和4年4月8日（金）,suiexcel-5.xlsx
塩すけそうこ,1164,1kg,2376,1620,180,大阪  ﾛｼｱ  他,令和4年4月8日（金）,suiexcel-5.xlsx
開干さんま,205,1kg,1944,1600,1404,北海道  他,令和4年4月8日（金）,suiexcel-5.xlsx
開干あじ,491,1kg,2000,0,330,長崎  他,令和4年4月8日（金）,suiexcel-5.xlsx
若干かれい,100,1kg,1620,0,864,島根  他,令和4年4月8日（金）,suiexcel-5.xlsx
ちりめん,1114,1kg,2000,0,500,大分  鹿児島  他,令和4年4月8日（金）,suiexcel-5.xlsx
なまりぶし,140,1kg,1100,1080,800,静岡  他,令和4年4月8日（金）,suiexcel-5.xlsx
ほたるいか,622,1kg,4500,0,430,兵庫  富山  他,令和4年4月8日（金）,suiexcel-5.xlsx
くろまぐろ,897,1Kg,3294,3186,2900,長崎  他,令和4年4月9日（土）,suiexcel-6.xlsx
きわだ,1185,1Kg,2900,1404,700,沖縄  和歌山  他,令和4年4月9日（土）,suiexcel-6.xlsx
あじ,3204,1Kg,5500,0,200,和歌山  他,令和4年4月9日（土）,suiexcel-6.xlsx
さば,1957,1Kg,4200,0,120,和歌山  千葉  他,令和4年4月9日（土）,suiexcel-6.xlsx
まいわし,1290,1Kg,216,0,108,石川  他,令和4年4月9日（土）,suiexcel-6.xlsx
養成ぶり,443,1Kg,1650,0,1080,愛媛  他,令和4年4月9日（土）,suiexcel-6.xlsx
かつお,1987,1Kg,1300,0,324,鹿児島  宮崎  他,令和4年4月9日（土）,suiexcel-6.xlsx
養成まだい,6598,1Kg,1350,0,540,愛媛  他,令和4年4月9日（土）,suiexcel-6.xlsx
さわら,1352,1Kg,1100,0,850,愛媛  韓国  他,令和4年4月9日（土）,suiexcel-6.xlsx
かれい,2181,1kg,5000,0,216,鳥取  青森  他,令和4年4月9日（土）,suiexcel-6.xlsx
養成はまち,596,1kg,1760,0,1270,徳島  愛媛  他,令和4年4月9日（土）,suiexcel-6.xlsx
養成かんぱち,1534,1Kg,1800,0,1250,愛媛  鹿児島  他,令和4年4月9日（土）,suiexcel-6.xlsx
さけ,2459,1Kg,2000,0,780,ｶﾅﾀﾞ  ﾉﾙｳｪｰ  他,令和4年4月9日（土）,suiexcel-6.xlsx
たこ,162,1Kg,3348,0,1300,岩手  徳島  他,令和4年4月9日（土）,suiexcel-6.xlsx
はまぐり,398,1Kg,2916,0,200,千葉  中国  他,令和4年4月9日（土）,suiexcel-6.xlsx
しじみ,535,1Kg,1360,0,648,島根  他,令和4年4月9日（土）,suiexcel-6.xlsx
あさり,1141,1Kg,2630,0,432,中国  熊本  他,令和4年4月9日（土）,suiexcel-6.xlsx
ほたて貝,1525,1Kg,5110,0,324,北海道  他,令和4年4月9日（土）,suiexcel-6.xlsx
冷凍もんごいか,430,1Kg,3240,1512,648,ﾓﾛｯｺ  他,令和4年4月9日（土）,suiexcel-6.xlsx
冷凍たこ,40,1Kg,2592,1944,648,ﾓﾛｯｺ  他,令和4年4月9日（土）,suiexcel-6.xlsx
冷凍えび,1478,1Kg,4860,1458,648,ｲﾝﾄﾞ  他,令和4年4月9日（土）,suiexcel-6.xlsx
塩さば,6042,1kg,700,486,324,ﾉﾙｳｪｰ  千葉  他,令和4年4月9日（土）,suiexcel-6.xlsx
塩さけ,1488,1kg,1450,0,730,ﾁﾘ  他,令和4年4月9日（土）,suiexcel-6.xlsx
塩すけそうこ,434,1kg,2376,1728,648,大阪  ﾛｼｱ  他,令和4年4月9日（土）,suiexcel-6.xlsx
開干さんま,204,1Kg,1944,1900,1404,北海道  他,令和4年4月9日（土）,suiexcel-6.xlsx
開干あじ,600,1kg,1620,0,620,長崎  他,令和4年4月9日（土）,suiexcel-6.xlsx
若干かれい,148,1Kg,1620,0,864,島根  他,令和4年4月9日（土）,suiexcel-6.xlsx
ちりめん,830,1kg,2310,0,500,大分  兵庫  他,令和4年4月9日（土）,suiexcel-6.xlsx
なまりぶし,36,1kg,1600,0,950,静岡  他,令和4年4月9日（土）,suiexcel-6.xlsx
ほたるいか,1003,1kg,2500,0,380,兵庫  富山  他,令和4年4月9日（土）,suiexcel-6.xlsx
くろまぐろ,700,1Kg,3294,3186,3024,長崎  他,令和4年4月11日（月）,suiexcel-7.xlsx
きわだ,952,1Kg,2230,1404,200,和歌山  沖縄  他,令和4年4月11日（月）,suiexcel-7.xlsx
あじ,2172,1Kg,5500,0,270,和歌山  他,令和4年4月11日（月）,suiexcel-7.xlsx
さば,2055,1Kg,3660,0,210,富山  千葉  他,令和4年4月11日（月）,suiexcel-7.xlsx
まいわし,1535,1Kg,216,0,108,石川  他,令和4年4月11日（月）,suiexcel-7.xlsx
養成ぶり,233,1Kg,1650,0,1080,大分  愛媛  他,令和4年4月11日（月）,suiexcel-7.xlsx
かつお,2162,1Kg,1050,0,320,鹿児島  宮崎  他,令和4年4月11日（月）,suiexcel-7.xlsx
養成まだい,4938,1kg,1350,0,540,愛媛  他,令和4年4月11日（月）,suiexcel-7.xlsx
さわら,1650,1Kg,1000,0,648,愛媛  韓国  他,令和4年4月11日（月）,suiexcel-7.xlsx
かれい,906,1kg,2500,0,432,鳥取  青森  他,令和4年4月11日（月）,suiexcel-7.xlsx
養成はまち,662,1kg,1620,0,800,徳島  愛媛  他,令和4年4月11日（月）,suiexcel-7.xlsx
養成かんぱち,1221,1kg,1782,0,1250,鹿児島  愛媛  他,令和4年4月11日（月）,suiexcel-7.xlsx
さけ,1836,1Kg,2400,0,1000,ｶﾅﾀﾞ  ﾉﾙｳｪｰ  他,令和4年4月11日（月）,suiexcel-7.xlsx
たこ,184,1kg,3240,3240,1000,岩手  徳島  他,令和4年4月11日（月）,suiexcel-7.xlsx
はまぐり,350,1Kg,2916,0,864,千葉  他,令和4年4月11日（月）,suiexcel-7.xlsx
しじみ,485,1Kg,1500,0,648,島根  他,令和4年4月11日（月）,suiexcel-7.xlsx
あさり,1361,1Kg,1620,0,432,中国  熊本  他,令和4年4月11日（月）,suiexcel-7.xlsx
ほたて貝,805,1Kg,6220,0,324,北海道  他,令和4年4月11日（月）,suiexcel-7.xlsx
冷凍もんごいか,490,1Kg,3240,1512,648,ﾓﾛｯｺ  他,令和4年4月11日（月）,suiexcel-7.xlsx
冷凍たこ,50,1Kg,2592,1944,648,ﾓﾛｯｺ  他,令和4年4月11日（月）,suiexcel-7.xlsx
冷凍えび,1646,1Kg,4860,1458,648,ｲﾝﾄﾞ  他,令和4年4月11日（月）,suiexcel-7.xlsx
塩さば,3120,1Kg,1230,540,250,千葉  ﾉﾙｳｪｰ  他,令和4年4月11日（月）,suiexcel-7.xlsx
塩さけ,2316,1kg,2000,0,880,ﾁﾘ  他,令和4年4月11日（月）,suiexcel-7.xlsx
塩すけそうこ,403,1kg,2140,0,1090,大阪  他,令和4年4月11日（月）,suiexcel-7.xlsx
開干さんま,202,1Kg,1944,1900,1404,北海道  他,令和4年4月11日（月）,suiexcel-7.xlsx
開干あじ,294,1Kg,1620,0,620,長崎  他,令和4年4月11日（月）,suiexcel-7.xlsx
若干かれい,341,1Kg,2100,0,864,島根  他,令和4年4月11日（月）,suiexcel-7.xlsx
ちりめん,2423,1kg,2310,0,864,大分  兵庫  他,令和4年4月11日（月）,suiexcel-7.xlsx
なまりぶし,49,1kg,1100,0,800,静岡  他,令和4年4月11日（月）,suiexcel-7.xlsx
ほたるいか,698,1kg,3500,0,500,兵庫  富山  他,令和4年4月11日（月）,suiexcel-7.xlsx
くろまぐろ,343,1Kg,3300,3300,3024,長崎  他,令和4年4月12日（火）,suiexcel-8.xlsx
きわだ,1349,1Kg,2320,1404,700,和歌山  沖縄  他,令和4年4月12日（火）,suiexcel-8.xlsx
あじ,2810,1Kg,5500,0,230,福岡  和歌山  他,令和4年4月12日（火）,suiexcel-8.xlsx
さば,1986,1Kg,1700,0,200,富山  千葉  他,令和4年4月12日（火）,suiexcel-8.xlsx
まいわし,2091,1Kg,270,0,150,石川  他,令和4年4月12日（火）,suiexcel-8.xlsx
養成ぶり,365,1kg,1650,0,750,愛媛  大分  他,令和4年4月12日（火）,suiexcel-8.xlsx
かつお,2172,1Kg,1100,0,340,鹿児島  宮崎  他,令和4年4月12日（火）,suiexcel-8.xlsx
養成まだい,3355,1kg,1350,0,300,愛媛  他,令和4年4月12日（火）,suiexcel-8.xlsx
さわら,1515,1Kg,1000,0,432,愛媛  韓国  他,令和4年4月12日（火）,suiexcel-8.xlsx
かれい,1657,1kg,5000,0,200,青森  鳥取  他,令和4年4月12日（火）,suiexcel-8.xlsx
養成はまち,373,1kg,1620,0,1150,徳島  愛媛  他,令和4年4月12日（火）,suiexcel-8.xlsx
